chapter one .	de cauteri de dolor de cap per frigiditat e humiditat .	0.2
on the single cauterization of the head .	le capitol primier .	0.616667
this cauterization helps against excessive humidity and coldness on the brain , which cause headache , abundance of defluxions from the head to the regions of the eyes and ears , excess of sleep , toothache , sore throat , and in general any sort of disorder arising from frigidity , such as palsy , fits , apoplexy , and diseases similar to these .	aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas , so es causa de soda e multitut de flux raumatic , apelat corissa , del cap a las partidas dels huelhs e de las aurelhas fluent , e multitut de dormir , e de dolor de dentz e del guolayro , e universalment de tota malautia que ve per fregiditat , ayssi cum paraliticament , sodo e apoplexio , e semblantz en aquelas malautias .	1.09021
the manner of performing this operation is first to bid the patient open the bowels with an evacuant which will also clear his head , for three or four nights , according to the strength , age , and habits of the patient .	la forma de aquesta cauterizacio es aquesta , que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant , per tres o per quatre nueytz , segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma .	0.86
then tell him to have his head shaved ; then seat him cross-legged before you , with his hands on his breast .	e aprop comanda li que raza le sieu cap am razor , e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu .	0.786798
then place the lower part of your palm upon the root of his nose between his eyes ; and where your middle finger reaches mark that place with ink .	e aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus .	0.408971
then heat an olivary cautery .	mays empero , cum le tieu dit del mieg loc es pervengut , signa aquel loc am tenta , e aprop igneys le cauteri olivar del qual aquesta es la forma :	0.0956044
then bring it down upon the marked place with one downward stroke with gentle pressure , revolving the cautery ; then quickly take your hand away while observing the place .	e aprop pausa aquel sobre le loc senhat am tenta , a manieyra que descent , am la qual la tieua ma sia constrengida petit a petit , e tu revolveys aquel .	0.62378
if you see that some bone is exposed , the size of the head of a skewer or a grain of vetch , then take your hand away ; otherwise repeat with the same iron , or , if that has got cold , with another , till the amount of bone i have mentioned is exposed .	e aprop leva la tua ma leugerament e reguarda le loc , e si veses ja del os esser descubert alcuna quantitat del cap , ayssi cum la quantitat de gra de errs , lahoras eleva la tua ma , e si no torno la tua ma am aquel ferr , am autre de aquel , si es enfrigidat , entro que sia vist del os aquo que yeu he dit a tu .	0.84233
then take a little salt dissolved in water ; soak some cotton in it , apply to the place and leave for three days .	e aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns .	1.07906
then apply some cotton soaked in butter and leave it on till the eschar falls off ; then dress with tetrapharmacum ointment till healed .	e aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc . ~~~ e aprop cura le loc am anguent tetrafarmacon entro que sia sanat .	0.212088
the ancients said that the more a wound is kept open , discharging pus , the better and more efficacious .	e ja diyssero que quant la plagua roman uberta , tant mielhs geta le brac , per que es milhor e mays juvatiu .	1.2511
some said the skin was to be cauterized through to the bone and the cautery held until some of the thickness of the bone was burnt .	e diyssero alcus de lor que sia cauterizada la codena entro al os , e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os .	0.680908
then the burnt bone was to be scraped out , then dressed .	e aprop sia ras aquo que es adhust del os , e aprop sia curat .	1.14438
others said that the cautery should be carried through to burn a deep impression in the bone so that there should come out of the bone a piece shaped like a grain of a carob tree or a small spindle-whorl ; they asserted that the vapours of the head would be exhaled through this place .	e diyssero autres que am lo cauteri pervengua al derier , entro que enprema en le os forta enprecio entro que le os caga , e aquesta es la forma de alphecati petit :	0.333835
the wound should be kept open a long while , then dressed until healed .	e estiman de aquel loc expiran la vapors del cap .	0.668293
but these two methods of cauterization i do not consider right except on certain men ; and i regard them as risky .	e sia tenguda la plagua uberta per lonc temps , e aprop sia curada entro que sia consolidada .	0.683766
in my opinion , to let the patient alone is preferable and safer , if it is to be . ~~~ for the head is weakened when its natural continuity is broken , as we see in other parts , and particularly when the patient's head is weak by nature .	mays a mi no so vistas aquestas doas specias de cauteri de tot , sino en alcus homes segon via de temor ; e layssa aquel , deves mi , milhor es am salut , quan es ; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres , e majorment quan le cap del malaute es de freul natura .	0.185093
in my opinion the first type of cauterization is safer and better ; therefore use that and be safe .	e la specia de cauteri primieyra es mays salva e milhor deves mi ; e de aquela husi e am aquela obra am salut .	1.27805
		0.3
