chapter forty-one .	capitol . xli .	0.934615
on cauterization for sciatica .	de cauterizacio de la vena sciatica .	1.25714
when pain occurs in the hip joint and is due to cold and humidities , and the patient has been treated by those means mentioned in the section , and the treatment is ineffectual , and the pain becomes chronic , the patient should be purged of the heavy humours with foetid pills or pills of tamarind or the like ; then cauterize him .	quan dolor ve en la partida de anqua , e so causa de lu freg et humiditatz , le malaute es curat am aquo que havem dit e no confereys , e aquo es antiquat , lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz ; e aprop cauteriza aquel .	0.840478
the means of cauterization in this case is twofold : either with caustic chemicals or with fire .	e la manieyra del cauteri en aquela es segon dos manieyras : o cauteri am medicinas comburentz , o cauteri am foc .	0.883431
the actual cautery will serve for several methods . ~~~ one of them is to make three cauterizations over the femoral joint itself in a triangular manner ; and let them be of a fair depth ; and the space between them a finger's breadth .	sira segon dos manieyras scientas , de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma ; e fay am aquels bona profunditat .	0.265291
the cautery should be an olivary one .	e sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran .	0.7375
sometimes there will also be one cauterization in the middle over the actual head of the femur , making four cauterizations in all .	mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris .	0.778788
the burning may be done with the circular cautery which has been mentioned under cauterization of a dislocated hip ; a single cauterization so that the circle embrace the whole joint .	e si vols , cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua , la i que sia cercle continent e comburey la ispicitut de tota la codena .	0.841507
burn through the whole thickness of the skin .		-0.3
this is the form of cauterization for sciatica when the pain is localized in the hip joint and does not extend to the femur and the leg .	e aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa .	0.969474
but if it extends to the femur and the leg , cauterize him over the thigh with two burns at the place where the patient indicates the pain to be ; and one burn four fingers above the great tendon of the heel , a little to the outer side .	mays si es estenduda entro a la coyssa , lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor ; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra .	0.907483
the cautery should be edged , and the depth of the burn only to the thickness of the skin .	e si le cauteri cutellar , e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena .	0.805675
but if the patient points out that the pain reaches to the toes , then cauterize where he has indicated to you , with a punctate cautery , three or four or more perforations if he needs it .	e si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes , lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel .	0.894118
if he indicates that the pain is under the knee towards the shank , give him one burn there with the edged cautery .	e si le malaute envireys dolor esser dejos le donolh ves la coyssa , lahoras cauteriza aquel aqui am un cauteri cutellar .	1.15266
be careful in all your cauterizing not to carry the cautery so far as to burn a nerve or a large artery ; for thence arises grave harm , or crippling , to the patient .	e guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria , e que per aquo a tu es sobre le malaute mal noccument o contraccio .	0.691973
i myself have seen more than one person cauterizing over the tendon of achilles , the cauterization being excessive , and the leg was affected with a defluxion of humours which eventually reached the foot and the whole was riddled ; after that came diarrhoea , and , after that , death .	e yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio , e la cama foc inflada entro que la tumor aconseguit lo pe , e foc perforat e corromput tot le pe .	0.901626
if there is pain in two places , cauterize both in this way .	e aprop accidic fort solucio de ventre , e aprop aquo la mort .	1.28776
certain learned doctors have mentioned a cauterization applicable to the hip in this manner : make a bowl of iron with a diameter of half a span ; the thickness of the edge of its mouth should be that of a date-stone or a little less .	e si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra .	0.359683
another bowl is introduced into this , and a third into that ; and there is a distance between the bowls of a thumb-joint .	e diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra : fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm ; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc .	0.570923
the bowls are open on both sides ; and the depth of them should be a thumb-joint or two . ~~~ make an iron handle for them firmly fitted to the bowls . ~~~ here is the figure .	e dedintz aquel cercle sia un autre tertz ; e sia le spazi le qual es entre lor la quantitat del notz del pous ; e sian aquels cercles ubertz de dos partidas ; e sia la longitut de aquels cays un notz o dos notz , e fay en aquels margue de ferr decentment apparelhat en les cercles ; e aquesta es la forma de lu :	0.173389
