chapter forty-five .	capitol . xlv .	0.911538
on the cauterization of hernia .	de cauterizacio de rompeduras .	0.8
when a rupture occurs in the groin , and part of the intestine and omentum comes down into the scrotum , being the onset of the disease , forbid the patient to take food for one day and have him use laxatives to empty the bowel .	quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu , e aquo es comensan de aprop , lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre .	0.742935
then let him lie on his back in front of you and bid him hold his breath till the intestine or omentum comes out ; then put it back with your finger .	e aprop segua le malaute entre las tuas mas sobre le sieu dos , e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels .	0.547059
then , below the hernia over the pubic bone , mark a semicircle whose extremities point upward .	e aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors .	1.10526
	e aprop igneys le cauteri del qual aquesta es la forma de lu :	-0.3
then heat a cautery of this type .	entro que sia mot rog e gete cintilhas .	0.913095
when it is white hot and emits sparks then return the intestine or omentum into his abdominal cavity , and have an assistant put his hand over the place to prevent the exit of the intestine .	e aprop reduzeys le budel o l’atela a la sua conquavitat , e aprop pause la sua ma sobre le loc per so que le budel no yesqua .	0.532
you should first have parted his legs and put a pillow under him ; let another assistant sit on his legs and another on his chest , holding his hands .	e tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi , et autre servent sia sus las cambas de lu , e autre sus le pietz de lu , le qual tengua las suas mas .	0.62582
then apply the cautery to the mark , keeping the cautery upright , and hold it till it reaches the bone ; or apply the cautery again a second time if it does not reach the bone the first time .	e aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt , e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni ; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os .	0.901299
you must take the greatest care that the intestine does not come out while you are cauterizing , lest you burn it and it result in death or grave injury to the patient .	e observa saviament del ysiment del budel en la hora de la tua cauterizacio , que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia .	0.634098
you must understand that if you do not bring the cauterization down to the bone your operation will not be successful .	e sapias que quan tu am le cauteri no atenhas le os , no confereys la tua operacio .	0.756716
for boys the cautery should be slender according to their proportions , and for adults according to theirs .		-0.3
then dress the site of the cauterization till it heals .	e cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor .	1.19149
after three days , treat the site of cauterization with butter until the eschar from the burn departs .	e aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc .	0.869231
then treat with the usual ointments till healed .	e aprop cura aquel am les autres enguentz entro que sia sanat .	0.828571
the patient should lie on his back for forty days so that the wound may cicatrize .	e le malaute sia jasent sobre le sieu dos per . xl .	0.745296
throughout the course of his treatment you must make his diet such as will be gentle with his inside , so that the intestine should not come down during the effort of defaecation .		-0.3
then when he wants to get up after the forty days , employ a tight bandage and keep this on another forty days .	dias entro que sia sigillat le loc e la plagua .	0.907692
he should be moderate in his exertion , his eating , drinking , and shouting .	e cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu , e que le budel no yesca fora deves le esforsament de guerir .	0.802665
thus under these rules he will be completely cured .	e aprop quan se vol levar aprop . xl .	0.705455
i shall speak of the treatment of rupture by scission in the appropriate chapter .	dias , lahoras aministra liament decentment fayt , e tengua aquel per autres . xl .	0.675
when a rupture occurs elsewhere in the belly and is at its inception and you wish it not to grow , cauterize the rupture with a round cautery in proportion to its size ; burn about two-thirds through the thickness of the skin and treat as we have said ; he will be cured and the rupture will not grow .	jorns . ~~~ e sia mermat de trebalh e de replecio de vianda e de beure , e de votz vehementz , quar quan usa de aquest regiment de sanacio entiera sira sanat .	0.0950893
one of the ancients said that ruptures were to be cauterized with a three-armed cautery like this .	e yeu diyre la curacio de las rupturas en las autras partidas del ventre , e so al comensament , e vols que no treguan , lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu , e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu ; e aprop cura aquel am aquo que havem dit , e no es ajustat .	0.743817
first mark the rupture with ink ; put the transverse line on the upper margin of the rupture and the other towards the lower , and apply a single claviform cautery in the middle .	e ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma , pus que es senhada am tenta :	0.323165
but the first cauterization is easier and better .	e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura , e autra linha al desus ; e depausa la tua ma am un cauteri clavilh , mays le primier cauteri es pus leugier e milhor .	0.711628
		0.3
