on cauterization	de cauteri am foc e am medicina aguda e rememoracio de la opperacio .	1.53125
before we expatiate on the actual operation of cautery it is necessary to mention its advantages and disadvantages and the temperament upon which it is to be used .	am aquel comensa le tractat de tot le libre .	0.0346437
i say that a discourse on the advantage and disadvantage of cautery is a long one , a subtle learning , a hidden secret .	cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu , e en qual compleccio sia prohibit cauteri .	0.727865
a great number of wise men have spoken on the subject with differing opinions . ~~~ lest i should be over long i have reduced their opinions to a summary .	donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs , e subtil per sciensa , e secret amaguat ; e ja de lu a parlat gran multitut de savis , e de lu se son desacordatz , et a mi abasta un petit dels sermons de lor , temen perlonguacio .	0.4377
now i say that the cautery has universal application for every ill constitution , whether organic or functional , with the exception of two : the functional hot temperament and the functional dry temperament .	e donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia , exceptat dos compleccios , las quals son compleccios caudas ses materia .	0.615816
about the organic dry temperament the ancients differed , some saying that cautery helps in a constitution of this kind , while others said the opposite : that cautery is of no use in a disease caused by heat or dryness ; for fire is naturally hot and dry and it is obviously absurd to treat a hot dry sickness with a hot dry remedy .	en la compleccio cauda e secca am materia se desecordero ; quar alcus dyssero que cauteri es juvatiu ad aquela , e les autres dyssero le contrari de aquel , que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat , quar natura del foc es qualiditat e siccitat , e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada .	0.848756
but he who holds the opposite view says that actual cautery may help in the case of such hot dry illnesses as arise in the human body ; for when you compare the human body , humid as it is , with the nature of fire you find the human body cold .	e diysec aquel que ditz le contrari de aquel , que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes , quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc , atrobas le cors de home freg .	0.725888
i myself from much experience agree with this last opinion .	e yeu dic per le sermo de aquel , que esperiment aquo ja a mi alscunas vetz a descubert .	0.932353
however , no one should attempt this operation unless he has had long training and practice in the use of the cautery , and is fully acquainted with the various human temperaments , and the character of the complaints in themselves ; their causes , symptoms , and duration .	mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici , e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas , e las causas de aquelas , e·ls accidentz de lor , e l’espasi del temps de aquelas .	0.84974
concerning the rest of the temperaments there is no reason for fear , particularly the cold and humid distempers ; all medical men are agreed and none differs concerning the utility of the cautery in such cases .	mays en las autras compleccios , no es sobre vos temor , e majorment en las malautias fregas e humidas , quar ja totz les metges se son acordatz sobre aquels , e no so desecordatz en le juvament am cauteri en aquelas .	0.761538
now you should know , my sons , that the actual cautery and its superiority over cauterization with chemical caustics is one of the secrets of medicine . ~~~ for fire is a simple substance having no action except upon the actual part cauterized ; nor does it do more than slightly harm any adjacent part .	e sapiatz , filhs , que del secret de curacio per cauteri am foc e de la bontat de lu , so sobre cauteri am medicina comburent , es quar le foc es simple , la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument .	0.346069
but the effect of cauterization with caustic may spread to parts at a distance from that burnt ; and also in the part cauterized it may give rise to a disease difficult to cure or even fatal .		-0.3
whereas fire , on the other hand , on account of the nobility of its nature and its superiority has no such effect unless it is overdone .	mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat , e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit .	0.853725
that has become clear to us by experience through length of service , devotion to the art , and acquaintance with the facts of the matter . ~~~ so i need not prolong this discourse . ~~~ were it not inappropriate to this my book i should relate to you a deep secret concerning fire , the manner of its action on bodies and its expulsion of diseases ; with a reasoned philosophical discourse too subtle for your understanding .	mays le foc , per la sua sublimitat e de la sua substancia bontat , no fa aquo sino que superfluisca e ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas ; e per aquo yeu so excusat de la longitut del sermo e si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc , e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias , am sermo philosophic demostratiu , le qual siria acuit en las vostras pessas .	0.153896
know also , my sons , that the ancients disagreed also as to the fit time for cautery , affirming that spring was the best .	e sapiatz , filhs , que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra .	0.951667
