chapter twenty-three .	capitol . xxii .	0.9
on the couching of cataract .	de la curacio de la aygua descendent del huel .	0.989143
we have already mentioned in the appropriate section the varieties of cataract and those in which depression is useful , in full detail ; so you may take it accurately from there .	ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant , lahoras aquel segon la sanetat .	0.519444
you should cause the patient to sit down cross-legged before you , facing the light in full sun , and firmly bind up his sound eye .	lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa , lu mot stringent .	0.713517
then lift up his eyelid with your left hand , if it be the left eye in which the humour is ; or with the right hand if it be the right eye .	e aprop pausa prop de la palpebra del sieu huel la tua ma senestra , si le huel en le qual es l’aygua es le huel senestra ; o am la tua ma dreyta , si le huel es le dextre .	1.00198
then take the couching needle in your right hand if it be the left eye ; or in your left hand if it be the right eye .	e aprop am la tua ma dextra pren almagda , si le huel es senestre ; o am la tua ma senestra , si le huel es de dreyt .	0.914023
then put the tip of the needle near the corona , about the thickness of a probe away , onto the white of the eye itself , on the side of the lesser canthus .	e aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal , e aprop enpelleys almagda am vertut e revol la tua ma am aquel .	0.803495
then thrust the needle firmly in , at the same time rotating it with your hand , until it penetrates the white of the eye , and you feel that the needle has reached something empty .	e aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda .	0.59589
the depth the needle goes in should measure as the distance from the pupil to the edge of the iris , which is the corona of the eye ; you will see the metal in the pupil itself because of the transparency of the corneal tunic .	e cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror , e es la corona del huel ; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea .	0.599313
then put the needle up to the place containing the humour ; then press the point downwards time after time . ~~~ if the humour comes down at once , the patient will at once see whatever his vision is opened upon while the needle is still in his eye .	e aprop pausa almagda entro al loc en le qual es l’aygua , e aprop tu la atira en jos una veguada aprop autra , e donc si la aygua descen tantost , lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost , e almagda en le sieu huel .	0.337848
then let him rest a little while ; and if the humour goes back up again depress it a second time without taking the needle out .		-0.3
