chapter three .	capitol . iii .	1.02692
on the extraction of the temporal arteries .	de extraccio de las arcerias las quals so en las templas .	0.554386
when a man has a chronic migraine or acute catarrh , on account of acrid humidities and heat in the temporal muscles , or a violent chronic headache , or the like , and he has been treated with various medical treatments without success , we have sometimes in these diseases tried extraction of the arteries from the temples or cauterization of them , already described .	quan ad alcu accideys emigranea antiqua o catertz agutz , per humiditatz agrimonials e per qualiditat en les lacertz des templas , o sodo antiqua vehement e semblantz ad aquels , e es medicat am las manieyras de curacio de medicina e aquo no comfereys , lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas , o cauterizacio de aquelas ayssi cum havem mostrat .	0.765686
the manner of extraction is for the patient to shave the temporal hair ; then you press upon the artery appearing on the temple ; for it will be manifest to you by its pulsation , and is rarely invisible save in a few people or on account of severe cold .	e la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas ; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols , e·s occultada sino en paucs homes per vehemencia de freg .	0.745513
but if it is not plain to you then let the patient bind his neck with the end of his garment ; then do you rub the place with a piece of cloth or foment with hot water , till the artery is obvious to you ; then take a scalpel shaped thus ; then with it gently scrape away the skin till you come to the artery , then stick a hook in it and draw it upward till you extract it from the skin and free it all round from the membranes that are beneath it .	e si a tu es occultada , lahoras le col del malaute sia strengut am alcun drap ; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament . ~~~ e lahoras tu pren le spatum del qual aquesta es la forma :	0.127936
but if the artery be thin , twist it with the tip of the hook and cut out enough of it for the two ends to be well separated from one another and contract so that no haemorrhage occurs ; for if it is not divided and cut it will not let blood flow at all .	e aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria ; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela , de tota partida .	0.714444
	mays si la arteria es subtil , lahoras envolveys aquela am la extremitat del oncii , e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas , e no endevindra flux de sanc , quar si no so inscididas no pujara le sanc de tot .	-0.3
then let blood , from six to three ounces .	e aprop evacua del sanc de vi unc .	0.825
if the artery be large it should be ligated in two places with a strong double thread ; the threads should be either silken or lute-string , lest corruption attack them before the wound is healed , and haemorrhage occur .	entro a tres . ~~~ e si la arceria es gran , lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc , e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc .	0.2832
then cut away what remains between the two ligatures ; do that immediately or later .	e aprop incideys la superfluitat la qual es entre dos liamentz ; e fay aquo en aquela hora o aprop autra ora .	1.1063
if you wish , you may cauterize it down to the bone with an edged cautery so that the ends of the artery be divided ; for this will replace that operation .	e si vols , cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu , e stara en loc de aquela meteyssa obra .	0.740145
it is in fact better , as we have said , unless the patient is feverish or of a hot constitution ; cauterization is one of the means of eliminating humidities , so it will be of surer efficacy .	e es milhor obra sino que·l malaute aia febre o es de escalfada compleccio ; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras , e donc es milhor en juvament .	1.03378
after extraction of the arteries the place must be packed with teased-out cotton wool , and on top of that must be put firm pads .	e cove aprop la extraccio de las arcerias que huomplas le loc de coto antic , e sian pausatz sobre lu polvils decentement fayt , e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat .	0.865514
and after loosening the ligature , dress with dry medicaments that encourage growth of flesh , and with bandages , , till it heals .	e si mentre obres autra veguada endeventa flux de sanc de la arceria , lahora tu te coyta a restrenger aquel sanc , o am cauteri , o que omplas le loc de coto , e strenh la tua ma entro que sia restreyt le sanc .	0.948059
but if arterial bleeding hinders you in the course of your operation , hasten to stanch it either by cauterization or by filling the place with vitriol , compressing it with your hand till the blood stays ; or , if you have nothing of this kind by you , put your finger on it till the blood clots and rinse over the place till the flow dies down ; then tie off as you should .	e si deguna causa de aquelas no es a tu present , lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat , e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa , e sia strengut segon que cove .	0.726761
