chapter forty .	capitol . xl .	1
a general dissertation on the perforation and incision of tumours .	en le qual es la suma del sermo en apercio de apostemas e en seccio de lor .	1.03966
the kinds of tumour are many and various , as will be mentioned in order in this book .	les apostemas so motas specias , de motas manieyras , segon que ve rememoracio de lor , de quascuna en aquest libre .	0.938571
they differ in the way they are to be perforated or incised , according to two criteria . ~~~ one is the kind of tumour it is in itself and the humidities it contains .	e so diversas en perforacio e seccio de lor per doas manieyras , de las quals la una es per la specia de apostemas en si meteys ; e per aquo que comprem de las humiditatz .	0.437818
the other is the part of the body where it occurs . ~~~ for the tumour occurring in the head is different from the tumour occurring on the posterior , and a tumour occurring in a fleshy part differs from one on the joints ; each having its separate category of operation .	e la segonda manieyra es prop les locs en les quals accideys del cos , quar le apostema accident en le cap es autra de la apostema accident en le cul ; e le apostema en le loc carnos accident es autra del apostema accident en junctura ; e a quascun de lor es son juguament per operacio .	0.249279
there are some tumours that should not be opened till after the pus in them is matured and ripe . ~~~ but others should be opened when still raw and immature , such as a tumour near the joints .	e mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor .	0.232
for when a tumour occurring near a joint lasts long enough to putrefy its surroundings , it often breaks down the ligaments or the tendons of the joint and causes paralysis in the limb . ~~~ or if the tumour be near a major organ , if you delay the opening of it until it ripens you will damage that major organ .	so autras apostemas les quals cove que sian traucatz quan son cruzes , e no son maturatz segon lor compliment , ayssi cum apostemas que son propdas a las juncturas , quar apostema quan ve prop junctura , lo esser de lu es prolonguat entro que·s poyreys aquo que es en le circuit de lu , e fort leu son corromputz les liamentz o les nervis de aquela junctura , per que es fayta causa de contraccio de aquel membre ; o es apostema prop de membre principal , e si tu tardas la perforacio de lu entro sia madurat nosira al membre principal ; o es prop le cul , donc perfora aque no-madurat ; e no cove que·l perforas cru , de no-complida degestio , sino aquel que es prop del cul , per so que no poyresca le preon de lu e sia elonguat a las partidas dedintz del cul , e sia fayta fistula , o que sia fayt en le terme de lu que no sia sanat .	0.335325
in the same way , if it be near the anus you must open it , although unripe for opening .	mays cove que tu sapias la hora de la perforacio de la apostema , e aysso es quan es maturat .	0.824026
the reason why you must open an abscess near the anus while still unripe , before it is brought to a head , is to prevent it from putrefying the cleft and penetrating to the inner part of the anus and becoming a fistula , and incurable .	e sapias que es madurat quan es la cedacio de la dolor e la cessacio de la febre , e aprop la diminucio de la rogor e de la pulsacio , e la acuitat del cap del apostema , e les autres senhals .	0.82053
it is necessary too to know the time to open fully mature swellings : it is when the pain of the swelling is lessened , the fever departs , the redness and the throbbing are reduced , and the head of the abscess becomes wrinkled , with other signs .		-0.3
the perforation should be made in the lower part of the swelling if possible , so that the pus may more easily drain downwards ; or else in the thinnest and most swollen part of the swelling .		-0.3
your incision should be longitudinal if the swellings are in such places as hands or feet or in the site of joints , tendons , nerves , or arteries ; and , in short , in all flat places where there is no curvature .		-0.3
in curved places let the perforation proceed according to the place .	e quar cove que sapias la perforacio cazer en le loc pus dejos del apostema e de pus venient de curacio de la eminencia .	1.48631
but when the swelling is in the fleshy parts it is best to leave the perforation , as we have said , until it is fully matured .	e perforacio tostemps sia per le lonc de la carn o del cors , si las apostemas son en las partidas de las mas o dels pes , e en loc dels lacertz , de las cordas dels nervis , de las arcerias ; e , al derier , en totz locs enguals en les quals no es reflecio ; quar en aquels que so reflectitz , usa de perforacio segon aquel membre .	0.763387
for if you perforate it prematurely the sanious discharge will go on longer and will be excessively foul ; and often both the edges and the depths of the opening will become indurated .	mays quan le apostema es en loc carnos , lahoras miels es que leysses la perforacio de lu entro que sia confermada la digestio de lu segon compliment , ayssi quo havem dit ; quar si tu perforas aquel denant aquo , es prolonguat le cors del poyre de lu e de mota sordicia , e fort leu las labias de lu so enduradas e la profunditat de lu .	0.756303
