chapter fifty-four .	capitol . liv .	0.911538
on the treatment of dropsy .	de curacio de ydropici .	1.75714
we have mentioned in the section the kinds of hydrops , and the manner in which the fluid collects ; the signs of each kind ; and the medical treatment of them .	nos ja havem recomtat , en la divisio , de las specias de ydropici de l’aygua , e les senhals de quascuna especia , de la curacio de lu am medicinas .	0.911364
the only kind which is to be treated by operation is the one called 'ascites' . ~~~ but neither the kind called 'tympanites' nor general anasarca are to be treated by operation at all , for that would be fatal .	e aquela la qual es curada am ferr no es sino la specia de althitas sola , e no es aproximat am ferr a la specia de timpanistres ni a la especia de yposarcha , quar aquo es mortal .	0.210629
when you have been trying medical treatment for this kind , for ascites , and your treatment is ineffectual , then consider ; and if the patient be in a low state or suffer from other disease beside the ascites , such as cough or diarrhoea or some such , then beware of attempting operative treatment since it will be of uncertain outcome .	e quan tu ja has medicat aquesta especia de ydropici timpanistre am medicinas e no comfereys la tua medicacio , lahoras considera , quar si al malaute ja es conseguida debelitat , o es am aquel autra malautia otra ydropici , ayssi cum si es en lu tos o cos de ventre e semblant ad aquels , lahoras guarda te que no le mediques am ferr , quar temor es sobre aquo .	0.469507
but if you see that the patient has plenty of strength and suffers under no other complaint beside the dropsy , and is of neither tender nor advanced age , then the operative procedure in this case is for you to place the patient , standing , before you , with an assistant behind him to apply manual pressure to his abdomen and push the fluid down into the pelvis .	mays si tu vezes le malaute de vertut exuberant , e am lu no es autra malautia sino ydropici tant solament , e no enfant ni vielh , lahoras la manieyra de la operacio de lu es que tu eleves le malaute entre las tuas mas , e le ministre aprop lu exprema le ventre de lu am la sua ma , enpellen la aygua a la partida dejos del pentenilh , e aprop pren spatum spinos segon aquesta forma :	0.540909
then take a pointed scalpel of this shape , sharp along both sides , long , and very sharp at the end like a scalpel , but slightly stubby so that in operating you do not reach the intestines and damage them .	sia de dos partz agudas lonc , de aguda extremitat ayssi cum spatum ; mays empero sia en lu alcuna brevitat petit a petit , per so que en la operacio am aquel no passes entro al budel , e que ledas aquel .	0.631707
then consider ; and if the dropsy arises from the region of the intestines then you should make an incision three fingers' breadth directly below the umbilicus , above the pubes .	e aprop considera si la generacio de ydropici es de part dels budels , quar lahoras cove que tu am la seccio te alonhes del ombelic per la quantitat de tres ditz a las partidas dejos , en le dreyt de lu sobre le pentenilh .	0.875961
if the dropsy arises from disease of the liver , let your incision be three fingers to the left of the umbilicus .	mays si la generacio de hydropici es per malautia del fietge , lahoras la tua seccio sia sinistra del ombilic per tres ditz .	0.892742
if it arises from disease of the spleen , let the incision be three fingers to the right .	e si la generacio de lu es per la melsa , lahoras la tua seccio sia en le las dreyt .	0.718182
moreover , the incision must not be on the side which the patient wishes to lie on , so that the superfluities may not flow to the damaged part .	e no cove que la tua seccio sia sobre le costat sobre le qual vol jaser le malaute per que no corron las superfluitatz ad aquel loc freul .	0.586607
