chapter sixty .	capitol . lx .	1
on the extraction of the stone .	de extraccio de peyra .	0.695
we have already in the due place reviewed the different kinds of stone and the medical treatment of them .	nos ja havem dit en la divisio las specias de peyra e curacio de lu am medicinas , e la diferencia entre peyra engendrada en los ronhos e peyra engendrada en la vesica , e les senhals de aquela .	1.06477
i mentioned too the difference between stones arising in the kidney and those arising in the bladder , and gave all the symptoms of them .	e havem dit la peyra en la qual catz operacio am ma , e seccio .	0.621882
i also mentioned the kind of stone to which manipulation and incision are appropriate .	e la peyra engendrada en la vesica propriament es aquela que es ficada en la vesica .	0.657857
this is in particular the stone arising in the bladder , and the sort impacted in the urethra .	e yeu so narrant aquel am exposicio manifesta e abreviacio .	0.891176
i shall now give a short description of this with a clear explanation and summary . ~~~ now i say that a vesical calculus most frequently occurs in boys .	donc dic que peyra engendrada en la vesica majorment ve als enfantz ; e dels senhals de lu es que la urina que es eyssida de la vesica es semblant a aygua en la sua subtilitat , e apar en aquela arena ; e le malaute fregua la sua vergua , e motas veguadas pen , e aprop es dressada ; e am aquo yeys foro le cul en motz de aquels .	0.456847
among the symptoms is that the urine passed out of the bladder is of a thin consistency like water , and sand appears in it ; and the patient keeps on rubbing and playing with his penis ; and often it hangs flaccid and then is erected ; at the same time many of them get a prolapse of the rectum .	e es laugiera la sanacio dels enfants de aquela entro que han conseguitz xiiii ans ; e es dificil curacio en les viels .	0.47449
the cure of boys under the age of fourteen years is easy ; but the treatment of old people is difficult ; and that of young men midway between the two .	mays en les joves es migiera per aquo quar es entre aquels .	0.0673469
and the larger the stone the easier the cure ; with a small stone the cure is otherwise .	e de aquel del qual la peyra es major e la curacio es pus leugiera ; e si es pauca , es contraria ad aquela .	0.995833
when we undertake treatment the patient must first have an enema to empty his bowel completely ; for sometimes the faeces prevent the calculus being found when it is looked for .	donc cum pervenem a la curacio de aquela , cove al comensament de aquela que mondifiquem le malaute am cristeri le qual extragua tota la fenda la qual es en les sieus budels ; quar aquela fenda alcunas veguadas prohibeys la envencio de la peyra deves la inquisicio de lu .	0.875246
then the patient should be taken by the feet and jarred to and fro and shaken downwards to bring the calculus down into the neck of the bladder ; or else let him jump down from a height a number of times .	e aprop sia pres le malaute am les sieus pes e sia contosit e maugut enjos per so que la peyra descenda al preon de la vesica , o que saute de loc aut alcunas veguadas .	0.785467
then have him sit down upright before you with his hands beneath his thighs , to make the whole bladder incline downwards .	e aprop fay aquel cezer entre las tuas mas preparat , e las mas de lu sian dejos las coysas de lu , per so que la vesica tota sia fayta declinant a las partidas dejos .	0.958824
then examine him and palpate him externally .	e aprop perquier aquela e tota aquela deforo .	1.3
if you feel the stone in the empty place , immediately hasten and cut down upon it .	donc si sentes la peyra en l’espazi , lahoras tu te coyta tantost am seccio sobre lu .	0.764861
but if there is not the slightest sign of it to the touch then you should anoint with oil the forefinger of your left hand if it be a boy , or the middle finger if it be a fully grown young man , and introduce it into the anus and search around for the calculus , until , when it comes under the finger , you can work it slowly towards the neck of the bladder .	e si no catz de tot dejos le tieu tocament , lahoras cove que tu untes am oli le tieu dit indic de la ma sinistra , si malaute es enfant , o le dit miga si es jove complit , e entrometas aquel en le sieu cul .	0.552222
then press upon it with your finger and push it outwards toward the place where you wish to make your incision .	e perquier de la peyra entro que stia dejos le tieu dit . ~~~ e converteys aquela petit a petit entro al col de la vesica .	0.313276
and bid an assistant squeeze the bladder with his hand ; and bid another assistant raise the scrotum with his left hand and with the other hand stretch the skin under the testicles away from the place where the incision is going to be .	e aprop prem sobre aquel am lo tieu dit , e expelleys aquel a las partidas defora ves le loc del qual vos la seccio .	0.421864
