chapter sixty-one .	capitol . lxi .	0.934615
on the extraction of a stone from the female .	de extraccio de peyra de las femnas .	0.565591
it is very uncommon for women to have stone .	peyra en las femnas pauc es engendrada .	0.606863
but if it should happen to a woman the treatment is indeed difficult and is hindered by a number of things .	mays si ve peyra ad alcuna de aquelas , lahoras dificil es la curacio de lu , e es prohibida per tropas manieyras .	0.543824
one is that the woman may be a virgin .	la una de lor es quar la femna fort leu es verges .	1.03109
another is that you will not find a woman who will expose herself to a ( male ) doctor if she be chaste or married .	e la segonda es quar tu no trobas femna be scient que descroba si meteyssa al metge quan es casta , o es de las femnas haventz maritz .	0.581159
a third is that you will not find a woman competent in this art , particularly not in surgery .	la tersa es quar tu no hatrobas femna be sabent aquesta art , majorment la operacio am ma .	1.03784
then a fourth is that the place for cutting upon the stone in a woman is a long way from where the stone lies , so the incision has to be deep , which is dangerous .	e la quarta es que·l loc de la seccio sobre peyra en las femnas es longinc del loc de la peyra , per que indigeys de seccio preonda , e en aquela es temor .	0.86626
if necessity compels you to this kind of case , you should take with you a competent woman doctor .	mays si necessitat provoca a tu ad aquo , lahoras cove que tu prenguas una femna metga be scient , e pauc es atrobada .	0.673016
as these are very uncommon , if you are without one then seek a eunuch doctor as a colleague , or bring a midwife experienced in women's ailments or a woman to whom you may give some instruction in this art .	mays si tu es privat de aquela , lahoras cerca metga quast e subtil , o presenta una femna matrona be esenhada en le feyt de las femnas , o femna que en aquesta art ennueys partida del art .	0.634275
have her with you and bid her do all that you enjoin ; first of all , in searching for the stone . ~~~ if she perceive that the woman is a virgin she should pass her finger into the anus and palpate for the stone .	donc fay aquela present , e comanda a lu que fassa tot aquo que tu li mandaras , de la enquisicio sobre la peyra al comensament ; la qual causa es que reguarde si la femna es verges , lahoras cove que meta lo sieu dit en le cul de lu e quiera la peyra .	0.472321
if she finds it and keeps her finger on it , then bid her cut down upon it .	donc si atroba aquela , coarte aquela dejos le sieu dit , e lahoras comanda a lu que inscida sobre aquela .	0.607627
but if the patient be not a virgin bid the midwife pass her finger into the vulva and palpate for the stone , after she has placed her left hand upon the bladder and applied a good pressure .	mays si no es verge , lahoras comanda a la matrona que entrometa lo sieu dit en le conh de la malauta e enquiera sobre la peyra , pus que pausa la sua ma sinistra sobre la vesica , e comprem aquela am bona comprecio .	0.937987
if she finds the stone she should gradually push it down from the outlet of the bladder as far as she can until it reaches the bottom of the pelvis .	donc si atroba aquela , lahoras cove que gradantment maugua aquela de l’orrifici de la vesica a las partidas dejos am somman de la sua vertut entro que pervengua am aquel a la razit de la coyssa .	0.66875
then she should cut down upon it from about the middle of the pudenda near the root of the hip on whichever side she can conveniently feel it ; she must keep her finger on the stone , pressing from below .	e aprop inscida sobre aquela apposicio de la maytat del conh deves la razit de la coyssa de qualque part sia a lu parada e cent la peyra en aquela partida , e·l dit de lu no sia remaugut de la peyra coartan dejos lu .	0.843594
the incision should start by being small ; then let her introduce a sound into the small incision , and when she finds the stone then she will enlarge the incision until she knows that it is big enough for the exit of the stone .	e la seccio sia pauca al comensament ; e aprop entrometa lo ray sobre aquela seccio , e si sent la peyra , lahoras ajuste en seccio segon la quantitat la qual sap que la peyra sira getada de aquela .	0.824554
you should know that there are many kinds of calculus : some are large and some are small ; smooth and rough ; long , rounded , and pronged .	e sapias que las specias de peyra son motas : quar de aquelas es pauca e gran , e leon e aspra , e longua e redonda , e havent ramps .	0.951458
learn to recognize these types and you will have an indication of what to do .	donc tu sapias quantas specias so de lu per aquo que tu signifiques sobre aquo que vols .	0.434283
if you are hindered by a haemorrhage , scatter powdered vitriol on the place and keep it there for a time until the haemorrhage has ceased , and then return to your operating until the stone is out .	e si tu veus flux de sanc , ajusta en le loc vetriol trissat e te aquela per una hora entro que sia abscindit le sanc , e aprop retorna a la tua operacio entro que la peyra sia fora-getada .	0.878146
see also that you have ready the instruments mentioned for the extraction of stone from the male , to assist you in operating .	e fay que prepares am tu dels instrumentz les quals e ditz en la extraccio de peyra en les homes , per so que sias ajudat per aquels en la tua operacio .	0.731429
if you are hindered by a haemorrhage and you know , by the spurting of the blood , that it comes from an artery that has been cut , then put styptic powder on the place and bind up tightly with bandages and leave it and do not come back to it ; let the stone be and do not extract it , for often that loses the patient ; then dress the wound .	e si tu veus flux de sanc , e sabes que la expulcio del sanc es de la arceria que es insciza , lahoras tu pausa polvera sobre le loc e estrenh aquel am pulvils e strictura descent , e no iteras aquo ; e layssa la peyra e no extraguas aquela , quar fort leu morira la malauta . ~~~ e aprop cura la plagua .	0.275626
and after some days , when the acute haemorrhage has subsided and suppuration has set in , return to your operating until you get the stone out .	donc cum es cedada la acuitat del sanc aprop alcus jorns , e·l loc se poyreys , lahoras tu retorna a la tua operacio entro que la peyra sia fora-getada .	0.908085
		0.3
