chapter sixty-two .	capitol lxii .	0.934615
on opening a watery hernia .	de seccio sobre ernia acoza .	0.716071
a watery hernia is a collection of fluid in the white membrane lying beneath the skin surrounding the testicle , which is called the scrotum .	hernia ayguoza no es sino agregacio de humiditat en le ciphac blanc lo qual es dejos la codena dels genetius contenent le huou , e es nompnat ciphac .	0.953955
sometimes it has a capsule of its own which nature has formed alongside the testis so that one would think it another testicle ; it may also form between the skin of the scrotum and the white membrane which we mentioned ; however , this occurs very rarely .	e alcunas veguadas es en le propri pannicol le qual a lu preparec natura en la partida del huou , entro que sia cuyat que ja es autre huou ; e es la codena del genetiu entre le ciphac blanc le qual havem dit , e no es aquo sino tart .	0.857609
this hernia arises from a weakness occurring in the testicles and this matter drains into it ; sometimes it happens from a blow upon the testicles .	e la generacio de aquest hernia es per debelitat la qual accideys als genetius , per que ad aquels es efundunda aquesta materia , e alcunas vetz accideys per percuscio fayta sobre les genetius .	0.850174
the fluid is of different colours , sometimes yellowish , sometimes blood-red , sometimes like lees , black , and sometimes the fluid is watery-pale ; this actually is the commonest .	e aquesta humiditat es havent motas colors , quar la color de lu o es declinant a citrina o a sanguinent , o rog , o es negra feculenta , o es ayguosa blanqua , e es aquo que es mays .	1.00852
now these are the signs whereby we know where the fluid is collecting : if it be in the tunica albugínea , as we have said , the tumour will be round and slightly elongated like the shape of an egg . ~~~ the testis is not apparent since the fluid hems it in all round .	e les senhals per les quals es saubut on es aquesta agreguacio de aygua so aquestz : quar si es en le ciphac blanc le qual havem dit , lahoras le apostema es redon declinant un pauc a longitut ayssi cum figura de huou , e appar le genetiu , quar la humiditat conte aquel de tota part .	0.289437
but if the fluid be contained in a capsule of its own the tumour will be round , to one side of the testicle ; therefore one imagines that it is another testicle .	e si la humiditat es en le propri pannicol , lahoras le apostema es redon am partida del huou e per aysso hom estima que es autre huou .	0.83945
if the fluid be situated between the skin of the scrotum and the tunica albugínea it will be obvious to the touch .	e si la humiditat es entre la codena dels genetius e·l ciphac blanc , lahoras catz dejos le centiment .	0.839664
if you wish to know the colour of the fluid , take a sample from the tumour by means of the four-sided exploring needle which has been figured previously ; and by what comes out in the track of the explorer you may know the colour of the contained fluid .	e cum tu vols la cognicio de la color de la humiditat , lahoras tu esproa la color de la humiditat en le apostema am entromes cayrat del qual la forma es precedida ; e segon aquo que es eyssit en le vestigi del entromes , jutga de aquo que es dedintz lu .	0.930182
when we begin operative treatment the patient should be told to be venesected , if possible , if you see that he is of a plethoric bodily habit .	donc quan nos vinem a la curacio de lu am ferr , lahoras cove que comandem al malaute que sia fleubotomat si aquo es a tu possibla , e vezes le cos de lu ple .	1.0822
then let him lie on his back upon something a little raised , and have a heap of material placed beneath him .	e aprop sia resupinat sobre le sieu dos sobre alcuna causa un pauc auta , e pausa dejos lu motz draps .	0.800052
then sit down on his left side , and bid an assistant sit on his right side and draw out his penis toward one side or other of the scrotum and toward the hypogastrium .	e aprop setz tu sobre la part sinistra de lu , e comanda al ministra que segua a la dextra de lu , le qual extenda la sua vergua a hun de dos latz a la codena dels genetius e a la partida del mirac del ventre .	0.818889
then take a broad scalpel and make a longitudinal incision in the scrotum , from the middle almost to the pubes .	e aprop pren spatum lat e scindeys la codena dels genetius del mieg loc per la longitut entro prop le pentenilh .	0.952174
the incision should be straight , on a parallel with the median raphe of the scrotum , down to the tunica albuginea , and dissect away from it carefully lest you cut it .	e sia fayta la seccio segon rectetut engualment distant de la linha que deveseys la pel dels genetius , entro que pervengua al ciphac blanc comprehendent .	0.71011
you should dissect chiefly on the side where the testicle is most adherent , and take your dissection as far as possible .	e excorja aquel , e observa , e guarda te per aysso que tu no inscidas aquel ; e la tua excoriacio am la qual aquel excorjas per partida jassia que sia suspenduda am le huou mays e subtilment escruta am la excoriacio segon la quantitat a tu possibla .	0.87203
then open up the membrane containing the fluid with a wide perforation and draw off all the fluid .	e aprop perfora le ciphac ple de aygua am perforacio ampla , e extratz tota l’aygua .	0.915238
then with hooks separate the two edges of the incision and draw the membrane upwards but do not touch the skin overlying the testes ; then cut away the membrane in whatever way is possible , either as a whole or piecemeal , particularly the side piece ; for unless you use the utmost diligence in cutting it away you cannot be certain that the fluid will not come back .		-0.3
if the testicle should protrude from its covering of skin while you are operating , return it when you have finished cutting the membrane ; then bring together the two edges of your incision with a suture .	e aprop separa entre doas labias de la seccio am uncis , e exten le ciphac a las partidas desus ; e no toques la codena les genetius comprehendent , e inscideys le ciphac en aquela manieyra que es a tu possible .	1.22131
then dress with the usual dressings for wounds until healed . ~~~ if you find the testicle corrupted by some other disease , you will have to tie off the vessels which are in the suspensor , for fear of haemorrhage .	e inscideys aquel am la sua totalitat o en pessas , e majorment le sieu latz subtil , quar si tu no perscrutas exquisidament la inscizio de lu , no es fayta segurtat que la aygua no retorne .	0.318255
then cut the testicle from the suspensor and remove it and dress as we said above . ~~~ if the accumulation of fluid be on both sides you may know it to be a double hydrocele ; so make another incision on the other side as you did for the first .	mays si le huou procezeys de aquela defora de la sua codena en la ora de la tua operacio , lahoras quan tu auras complida la seccio del ciphac , retorna dedintz aquel , e aprop ajusta las doas labias de la codena dels genetius am sutura , e aprop cura aquel ayssi cum las autras plagua , entro que sia sanat .	0.216374
if it is convenient for you to make one operation of it , do so .	e si atrobas le huou corromput per autra malautia , lahoras cove que tu lies les vayssels les quals so sore le suspensori , e extrat le huou , e aprop cura aquel am aquo que havem dit .	0.788235
then wipe away the blood and apply to the incisions wool that has been soaked in olive-oil or oil of roses and on that again more wool that has been soaked in wine and oil , and spread that over the testicles and over the hypogastrium ; and over that again folded pieces of linen forming pads and bind them down with a bandage having six heads .	mays si l’aygua es agreguada en doas partidas esemps , lahoras sapias que doas son las ernias ; donc inscideys aquela partida segon que has feyt en l’autra engualment ; e si es a tu vist que sia una opera , lahoras tu la fay .	0.459259
