chapter sixty-five .	capitol . lxv .	0.911538
on the treatment of intestinal hernia .	de la cura de hernia entestinal .	0.985714
this hernia is due to a split occurring in the membrane stretched from the hypogastrium over the belly in the region of the groin . ~~~ through this opening the bowel descends upon one of the testes ; this opening is due to the membrane's splitting or stretching .	le adveniment de aquesta hernia es per seccio que endeve en le ciphac extendut sobre le ventre de part dels angunars del mirac del ventre , per que deysendo les budels de aquela ruptura ad alcu dels budels .	0.0292735
and these two kinds occur from a number of causes : from a blow or jumping or shouting , or lifting a heavy weight , or a similar cause .	e aquesta ruptura es o del ciphac o de excencio de lu , e accideysso aquestas doas specias per motas causas : o percussio , o per sautz , o per clamor , o per elevacio de alcuna causa greu , o per semblantz .	0.726517
the symptoms of it , when it arises from a stretching of the membrane , are that it is a slow and chronic development and does not happen on a sudden , and the swelling is even and deep down , because the membrane is pressing the bowel .	e·l senhal de aquo , quan es per extencio del ciphac , es que accideys pauc a pauc en lonc temps , e no accideys soptament , e es apostema engual entro ves le preon per so quar le ciphac comprem le budel .	0.78364
when it is due to a split in the membrane , the signs will be that it starts with a sudden severe pain , and the lump varies in consistency , appearing close under the skin ; that is due to the emergence of the bowel and its passage outside the membrane .	e le senhal de lu es quan es per seccio del ciphac , quar al comensament fa accidir dolor vehement sobtament ; e es apostema divers aparent dejos la codena propdana aparent , e aquo es per eyssiment del budel , e·l cos de lu a las partidas deforo del ciphac .	0.802081
sometimes also the omentum comes out with the bowel , and this hernia is called intestinal and omental ; sometimes it contains wind .	e alcunas veguadas es fora-getat am le budel la tela , e es apelada aquesta hernia entestinal zirbal .	0.958235
sometimes also the excrement comes down with the bowel and gets held up there , and this involves the patient's death , for thence arises an intractable pain and borborygmi , specially when pressed upon .	e alcunas veguadas es fayta am ventositat , e alcunas veguadas corr en le budel fenda , e aqui es retenguda , e es am aquo gran pernitia3 del malaute , e alcunas veguadas fa endevenir dolor malvada e majorment quan es premut .	1.0861
the treatment of the varieties of this disease with the knife is dangerous ; so be cautious of rushing at it .	e en la curacio de las especias de aquesta malautia am ferr es temor , per que cove que sia esquivat le cazament en aquela .	0.657971
the manner of operating is to bid the patient reduce the bowel back into the belly if it be disposed to return , then lie back before you and raise his legs .	e la manieyra de la operacio de aquela es que comandes al malaute que redugua le budel am la sua ma a las partidas dedintz de la sua conquavitat si obezeys al sieu retornament , e aprop sia envessat sobre le sieu col entre las tuas mas , e eleva las cambas de lu .	0.542751
then do you stretch upward the skin adjacent to the groin , and cut the whole length of the skin of the testicles ; then attach to the edges of the incision as many hooks as are necessary to open the incision .	e aprop sten la codena la qual siec la codena dels testicols a las partidas desus , e inscideys la codena dels testicols tota per le lonc ; e aprop fiqua en doas labias de la seccio uncis segon que indigeysses a hubrir la seccio am aquels .	0.664712
