chapter seventy-five .	capitol . lxxv .	0.9
on the training of midwives in how to treat living foetuses when not brought forth in the natural manner .	a ensenhar las matronas en qual manieyre les enbrios bius sian medicatz quan yeysso segon figura no-natural .	0.440849
to begin with , the midwife must know the manner of normal labour . ~~~ among the signs of it are these .	necessaria causa es que la matrona conogua en le comensament la figura del enfantament natural per senhals de lu , e es que quan tu vezas la femna expremar a las partidas dejos e desira odorar le ayre , e sobre aquo es enleujada per aquo que sobre ela es del part , e festina le eyssiment del enbrio , lahoras sapias que aquest part es segon figura natural , e es l’eyssiment de lu sobre le sieu cap , e la segondina am aquel o suspensa o pendent del ombelic .	0.147992
if you see the woman strain her abdomen and desire to breathe more air , and the pangs come easily to her and she hastens to deliver the child , by this you may know that the labour will follow a natural course and that the presentation will be vertex with the afterbirth , either together with the child or hanging by the umbilical cord .	donc cum tu vezes aquels senhals , lahoras cove que·l ventre de lu sia compremut per so que l’embrio deysenda leugerament quar quan deyssen sobre le sieu cap , deysen a lu la segondina , e es mondada de aquelas superfluitatz am bona mondificacio . ~~~ mays aquel que es otra aquest part es no-natural e no-lausable , quar quan le enbrio es eyssit sobre sos pes e·l cos de lu es eyssit devant le cap de lu e·ls pes de lu , e la ma de lu una , o al pe de lu . i . ,	0.176055
and when you observe these signs it will be necessary to put pressure upon the abdomen to bring forth the foetus quickly .	o es eyssit le cap de lu e la ma de lu , o al ventre de lu , e fort leu es convertit sobre le sieu col , e semblant de las figuras de lu no-lausablas .	0.758416
for when it presents the vertex the afterbirth comes down with it and she is thoroughly cleansed of those superfluities .	don necessaria causa es a la matrona que sia savia e subtil en totas aquelas causas , e que·s guarde de error e de decepcio .	0.978848
but a delivery that is contrary to this is unnatural and wrong .	e yeu so mostrant tota figura de aquelas , e qual engen es en aquelas per so que sia significat per aquo e sia stat sobre aquo .	1.09407
sometimes the infant is delivered by its feet ; or by its hands before either head or feet ; or a single hand or foot ; or the head comes out together with a foot .	quan le feyt es eyssit sobre le sieu cap per egrecio natural , e aquel es vehement sobre la femna e es fayt a lu part dificil , e vezes la vertut de lu ja debelitada , lahoras fay aquela sezer , o que las femnas tenguan lu , e evapora le conh de lu am fenugrec coyt e am olis humitz .	1.13944
or it comes out all twisted , often with the nape of the neck first ; or in other wrong positions .	e aprop entrometa la metrona entre les sieus ditz espatum petit e fenda am aquel la segondina , o secce aquela am la sua ungla entro que corro aquo que es en ela de humiditat .	0.582499
so the midwife must have wisdom and dexterity and be skilled in all these cases and beware of failures and mistakes .	e preme le ventre de la femna entro que deyssenda le fet .	0.409422
i shall explain the technique in these modes of delivery so that she may be instructed and may be acquainted with them all .	mays si no deyssen , lahoras cove que la femna sia cristirizada de mucellage de ptilli e mucellage de fenugrec am cizami .	0.67203
