chapter seventy-six .	capitol . lxxvi .	0.95
on the extraction of the dead foetus .	de extraccio del fet quan es mort .	0.935632
when you have dealt with a dead foetus by those methods mentioned in their chapter , and it does not come out , and you are compelled to operate , you should examine to see if the woman be in a healthy state and not having any disease on account of which you might entertain a fear for her life .	quan tu curas le fet mort am aquo que havem dit en la divisio de la medicacio e no es defora eyssit , e tu yest forsat usar de opperacio am ma , lahoras cove que consideras si la femna es de sana vertut e no es am alcu dels accidentz per les quals sobre ela es temuda perdicio .	0.670261
the woman should lie on her back on a couch , her head tilted back and her legs raised .	lahoras cove que la femna sia envessada sobre le lieyt sobre le sieu dos , e sia le cap de lu enclinat enjos e las coyssas de lu sian elevadas .	0.821429
an assistant on either side should hold her down firmly or she should be bound down to the couch , lest the body be drawn out of position in extracting the foetus .	e·l ministre tengua aquela de doas partz o sia liada en le lieyt per so que·l cos de lu no se extenda deves la extraccio del fet .	0.423243
then the opening should be anointed with moistening oils and with mucilage of marsh mallow and fenugreek and with linseed .	e aprop tu humecta la boca de la mayre de lu am olis humitz e am mucellage de altea e de fenugrec e de semensa de li .	0.942688
then the midwife should anoint her hand with these oils and mucilages and gently introduce it into the vagina and with it locate a place in the foetus to fix hooks in .	e aprop unte la matrona la sua ma am aquels olis e mucellages , e aprop entrometa la sua ma am fecilitat en la mayre , e aprop cerque am la ma loc en le qual fique les uncis en le fet .	0.814083
the suitable places for that : consider , and if the foetus present the vertex then she should fix the hooks in its eyes or in the neck or in the mouth or palate or beneath the chin , or the collarbone , or about the ribs , or beneath the false ribs .	e locs convenient en aquo : adonc tu considera si le fet es preparat que deysenda sobre le sieu cap , e lahoras tu fique les uncis en les huels de lu , o en le col , o en la boca , o en le palat , o dejos la barba , o en la furcula de lu , o en les locs propdas de las costas , o dejos les ypocondres .	0.744175
but if it present the feet let the hooks be fixed in the pubic region or middle ribs .	mays si le deysendiment es sobre les pes de lu , lahoras en le pentenilh , o en le mieg de las costas .	0.697826
she should hold the hook in the right hand and put the curved part between the fingers of the left hand , and introduce the hand gently and fix a hook in one of the places before mentioned , driving it in until it comes to a hollow .	e cove que tengua le unci am la ma dreyta , e pausa la curvitat de lu en aquel loc le qual es entre les ditz de la ma senestra , e entrometa la ma am facilitat e fique le unci en alcu de aquels locs les quals havem ditz , entro que pervengua a la causa boyda .	0.812581
then opposite it let her fix another or a third if need be , so as to give even traction , not pulling to one side .	e aprop pause e fique en la apposicio de lu un autre unci , o le tertz si es necessitat , per so que sia atraccio engual , e no sia extencio segon la sua rectetut tant solament .	0.992308
then she should pull evenly , not just in a straight line but with the foetus moved from side to side so that its exit may be eased , as is done in extracting a tooth .	ans sia maugut a tota partida , per so que l’eyssiment de lu sia alleujat ayssi cum es fayt en dent deves la eradicacio de lu .	0.958824
from time to time the tension must be relaxed , and if any part of it be held up the midwife must oil some of her fingers and introduce them to one side to manipulate the retained part .	e cove en lu aquo que es entre lor que la extencio sia mollificada ; e si alcuna partida de lu es retenguda , lahoras cove que la matrona unte alcus sieus ditz am oli e entrometa aquels espertament e revolva am aquels aquo que es retengut .	0.809396
and if a part only of the foetus come away she should shift the hooks to other parts a little higher up , and so on , until the whole of the foetus has come out .	donc si la partida del fet es fora-getada , lahoras les uncis sian permudatz entra loc le qual sia pus aut ; e fay aysso entro que tot le fet sia fora-getat .	0.652941
if the hand should come out before any other part and it is impossible to reduce it on account of the pressure , then a tape should be wound round it and she should pull on it until it is all out ; then it should be cut off at either the carpal or the elbow joint .	mays si la ma es eyssida denant l’autra , e no es possible reduzir aquela per la coartacio de lu , lahoras cove que drap sia envolopat sobre aquela ; e aprop extratz aquela entro que tota sia fora-getada , e inscideys aquela o en la junctura de la ma o en le coyde .	0.72283
in the same manner should the other hand be dealt with , and the feet .	e ayssi cove que fassas en l’autra ma e en les dos pes .	1.01136
