on the treatment of fistulae occurring in the lower parts .	de curacio de las fistulas que endeveno dejos .	0.825
fistulae in the lower parts are a knotting and thickening of the tissues occurring externally near the anus or in the perineum to one side .	las fistulas que endeveno en la partida dejos pus bassa so nodacio e grossetut las quals endeveno prop del cul defora o en l’espazi de la una partida .	0.612644
a fistula may be single or multiple .	e es una fistula o motas .	1.28214
when a thickening of this kind has become chronic it opens and there flows out a white watery humidity or thin pus . ~~~ these fistulae may be perforating into the rectum or bowel , or non-perforating .	e cum aquela nodacio es antiquada e corr de la humiditat aygosa blanca o poyridura subtil , e alcunas veguadas so de aquestas fistulas alcunas penetrantz .	0.467391
the former may be known by faeces or flatus coming out of them when the patient opens the bowel . ~~~ often also worms come out of them .	e aquelas penetrantz so conogudas per aquo que es eyssit de aquelas per la egressio e per ventosetat ; e alcunas vetz use le malaute de egressio , e fort leu es eyssit de aquelas verm .	0.372149
sometimes also there are fistulae occurring in the perineum which penetrate to the urinary bladder and to the urethra ; and some also penetrate to the hip-joint and to the coccyx .	e so de aquelas fistulas alcunas veguadas en l’espazi penetrantz entro a la vesica , e entro al meat de la vergua ; e so de aquelas penetrantz entro la junctura de la coyssa e entro al notz de la coeta .	0.819455
a fistula penetrating to the anus may also be distinguished from one not so penetrating by introducing the finger into the anus and a fine probe into the fistula , made of either bronze or iron , if there be no bend in the course of the fistula .	e aquo en que es conoguda fistula penetrant entro al cul e no-penetrant , es que tu metas le tieu dit endic en le cul , e entrometas tenta subtil de eram o de ferr en la fistula quan no y es turtuositat .	0.764815
but if the course of the fistula be tortuous , then introduce a thin leaden probe or a horse-hair , until you feel the probe or horse-hair come on to your finger .	mays si en aquela es turtuositat , lahoras entromet en aquela tenta subtil de plom o de pels de caval entro que tu sentas la tenta o le pel en le tieu dit .	0.545351
but if you do not feel it at all and if no faeces nor flatus nor worm come out of the opening , as we said , you may know it is not perforating ; so hurry on with treatment .	e si no sentas aquela de tot ni no procezeys del trauc alcuna causa de egestio ni verm ni ventositat , ayssi cum havem dit , lahoras sapias que es no-penetrant , e lahoras coyta te a la curacio .	0.763306
when the fistula penetrates to the bladder or the urinary passages it is signified by the passage of urine and by the fact that medical remedies cannot cure it .	e quan la fistula es penetrant entro a la vesica o entro al meat de la vergua , lahoras la significacio de lu es eyssiment de urina de aquela e prohibicio de lu ad aysso que·l loc am medicina sia consolidat .	0.608149
but if it penetrate to the hip-joint or coccyx , this will be signified by the probe's passing right through to there if it be a straight passage to the bone ; and by the pain felt in that part ; and by the chronic purulent discharge ; and the fact that medical treatment does no good and ointment does not heal it .	mays si es penetrant entro la junctura de la coyssa o entro al os e envencio de dolor en le circuit , lahoras senhal de lu es que la tenta perve entro aqui si en lu no es turtuositat entro al os , e envencio de dolor en le circuit de la partida ; e que de lu yeys poyredura tostemps ; e que no val en aquela medicacio , ni es consolidada am enguent .	0.597093
there is in these perforating sinuses no cure whatever ; and their treatment is labour in vain for all the ignorant doctors who pretend that they understand them .	e en totas aquelas fistulas penetrant no es curacio de tot , e la curacio de aquelas es trebalh e vanetat dels folyls metges sobre·l qual so fermatz .	0.668293
but there is hope in operative treatment for those that are not perforating and chronic , as i know from experience and shall now describe .	mays en aquela que no es penetrant e no antiqua , sanacio am ferr es sperada segon que yeu a tu recomtare , e aquo que ja yeu e proat .	0.938365
thus : have the patient lying on his back before you and let both his legs be raised with the thighs flexed back upon his belly ; then introduce a probe of bronze , or of lead if the course be tortuous , until you determine where the probe reaches .	e es que le malaute jagua entre las tuas mas sobre le sieu dos e eleva las cambas de lu entro sus , las coyssas sian enclinadas al ventre de lu , e aprop entromet tenta de plom , o de eram si es en la fistula turtuositat , entro que sapias le loc on perve la tenta .	0.748038
then , if the patient feel the probe somewhere in the region of the anus , put your forefinger into the anus .	e si aquela sent le malaute entorn le cuol , lahora cove que tu entrometas le tieu dit endic en le cuol .	0.782143
if you feel the probe itself with your finger , coming through bare , and you do not feel anything interposing between your finger and the probe , either membrane or flesh , then you may know for certain that it is a perforating fistula ; do not spend your energy over it , for , as we have said , there is no cure .	e si sentas en le tieu dit la tenta ja per si meteyssa descuberta penetrar , otra aquo que sentas entre le tieu dit e aquela siphac o carn , lahoras sapias certanament que aquela es penetrant ; e adonc no trebalhes en aquela , quar no es en aquela sanacio , ayssi cum havem dit .	0.728017
yet some have said that it may be cured in certain cases , but rarely .	mays empero diyssero alcus que es sana en alcus homes tart .	0.488769
the treatment from which some relief may be hoped is to heat a fine cautery corresponding to the width of the fistula , as we have said before , and pass this , hot , through the fistula to the anus ; then repeat this two or three times until you know that all those compact tags of superfluous flesh , which resemble quills , are burnt away .	e de la medicacio per la qual es sperat juvament en lu es que tu ignes cauteri subtil segon le ample de la fistula , ayssi cum es precedit , e intrometas aquel ignit en la fistula entro que pervengua entorn le cuol ; e aprop itera aquel doas o tres vetz entro que sapias que ja son adhustas totas aquelas carns ajustadas fistuladas que so semblantz a cana de pluma de ausel .	0.699224
then dress with a pad soaked in oil until the burnt tissue comes away . ~~~ then treat with healing ointments and , if it heals , well and good . ~~~ if not , it will never heal with any other treatment .	e aprop cura aquela am calguas envolopadas en boder entro que en yescan totas aquelas carns que so adhustas , e aprop cura aquela am medicinas la carn engendrantz e consolidantz , e si es sanada , bo es ; e sino , lahoras no es sana en degun temps per autra curacio .	0.287129
if you introduce the probe and it does not come through to your finger in the anus , and there be between your finger and the probe something firm interposing , either tissue or lining , and you see the fistula to be close under the skin , then cut open the skin at the origin of the fistula and continue your incision , with the probe in the fistula , until you come to the place where the tip of the probe has reached and the probe is freed and falls out .	e si la tenta intra , e no penetra entro·l tieu dit le qual es en le cul , e entre aquel e la tenta que es velament spes de carn o de ciphac , e vezes la fistula en aquo que siec la superficia de la codena , lahoras secca la codena del comensament de la fistula , e tu ve seccan am la tenta , e sia en la fistula entro que la seccio pervengua al loc en le qual perve la extremitat de la tenta , e per la tenta es liberat e catz .	0.87027
then clean out all the solid quill-like pieces of tissue and let none remain . ~~~ then treat with healing salve until healed .	e aprop mundifiqua aquelas carns fistuladas las quals so asembladas a canula de pena de ausel e no romangua de aquelas alcuna causa .	0.271154
if the haemorrhage be too much for you and interferes with your operating when cutting away the tissues , then the best and most speedily efficacious thing you can do is to cauterize , either with fire or with caustics .		-0.3
