chapter eighty-four .	de curacio de las plaguas .	1.005
on the cure of wounds . ~~~ i have already mentioned in the appropriate section the treatment of such wounds as are suitable for cauterization . ~~~ here i shall describe the operative and medical treatment in full .	yeu ja e dit en la divisio de la curacio de las plaguas aquo que convenia al libre , e yeu dic assi la curacio de aquelas am ma e am medicinas segon le conpliment .	0.233468
so i begin by saying that wounds differ according to that which causes them and according to the site .	donc dic que las plaguas son diversificadas segon aquo en que son faytas las plaguas e segon le loc sobre le qual cazo las plaquas .	0.647395
those things that cause wounds are many : a knock from a stone , a cut from a sword or a knife , a blow by a spear , stick , or arrow ; and many such things .	e las causas per que motas vetz son faytas las plaguas so ayssi cum getament de peyra , o inscisio d’espaza o de cotel , o percussio am lansa , o am fustz , o am sageta , o semblantz ad aquels de motas causas .	0.71343
to consider wounds according to their site on the body , they are such as a wound occurring in the head , or neck , or chest , or belly , or liver , and so on .	mays las plaguas que so en les locz del cos so ayssi cum plagua la qual catz sobre le cap , o·l col , o·l pietz , o·l ventre , o·l fitge , e semblantz ad aquels dels membres .	0.883933
now i am going to describe the treatment of certain wounds , so that you may take them as a standard and a guide for other wounds .	e yeu so recomtant la curacio de alcunas plaguas per que pauses aquela ratiocinacio e regla sobre las autras plaguas .	1.23636
i shall begin particularly with the simple wounds of the head ; for mention of the compound wounds will be made at the beginning of the third book .	e yeu comensare de las plaguas del cap simplas , quar la rememoracio de las compostas vindra al comensament del tertz capitol .	0.757547
i say then , that when there occurs a simple wound of the head , with no accompanying bone-fracture , you should look ; and if it be caused by a knock from a stone or the like , and has only broken the skin , but it is a big wound and you fear lest there occur an abscess , then bleed the cephalic vein at once without delay ; draw off from him blood in proportion to his vigour if there is no contra-indication to venesection ; and particularly if the haemorrhage from the wound be slight .	donc dic que quan accideys en le cap plagua simpla e no es fractura , lahoras considera : si es per getament de peyra o de semblant , e ja ha trinquada la codena tant solament e es gran plagla e temes sobre aquel malaute havinement de apostema caut , lahoras tu te coyta e fleubotoma la cephalica tantost , e no tardas aquo ; e extrats ad aquel del sanc segon la quantitat de la vertut de lu si no mes alcuna causa prohibent de fleubotomia , majorment si·l sanc que es eyssit de la plagua es pauc .	0.799607
the venesection should be on the opposite side to the wound ; and caution the patient against gluttony and wine and rich food .	e sia la flaubotomia del contrari de la partida plaguada ; e guardase le malaute de replecio e de vi e de viandas grossas .	1.005
but if from any cause venesection is prevented , he should be on a light diet and avoid meat and wines .	mays si de la minuicio prohibeys alcuna causa , lahoras sia aminorat de la vianda e no apropinque a carn ni a vi .	0.923602
and apply to the wound , if there be any inflammation , cotton wool soaked in oil of roses , either alone or with a somewhat astringent wine .	e pausa sobre la plagua , si a lu accideys apostema caut , coto enfus en oli rozat solet o en vi en le qual es stipticat .	0.964763
and if you are sure there is no inflammatory swelling , then apply directly to the wound , if its blood is fresh and it is unaltered by the air , the powder that i shall describe to you a little later .	mays si est segur de apostema caut , lahoras pausa sobre la plagua , si es recent am le sieu sanc e le ayre no ha mudat aquela la polvera la qual yeu recomtare aprop petit .	0.723684
but if the air has already changed the wound , apply to it one of the ointments to cause it to discharge the pus ; then dress until healed .	e si le ayre ja ha mudada aquela , lahoras pausa sobre alscus enguentz entro que sia sanada .	0.607895
now if it be a great wound , being caused by a sword-cut or the like , and dressings will not bring the edges of the wound together , you should suture them together in the manner i shall describe in dealing with the suture of abdominal wounds .	mays si la plagua es gran o es per inscizio d’espaza e de semblantz , e no so ajustadas las labias de lu per puvils , lahoras ajusta aquelas am sutura segon que yeu recomtare de la sutura de lor .	0.935942
