chapter eighty-five .	de las plaguas del ventre .	1.005
on wounds of the abdomen , and protrusion of the intestine ; and on suturing them .	l’indisposicio la qual accideys en le ventre es o gran , o pauc , o migiera .	0.770968
the tear that occurs in the abdomen may be great or small or it may be middle-sized .		-0.3
from a large tear one or more segments of gut may protrude . ~~~ the reduction of this and the suture of the wound is an exceedingly hard and difficult matter .	de la gran alcunas veguadas yeys le budel o nervi del budel , per que es fayta intromissio de lor e la sutura de lor esser pus vehement e pus subtil .	0.524464
small openings may also be difficult in another way , for they are bound to be harder to reduce , and if you do not hurry to return the gut to its place at once it will swell up and enlarge , thus rendering reduction difficult .	e disrupcio petita es fayta dificil per autra manieyra , e siec se que la reduccio de lor es pus dificil , si no te coytes de la intromissio de lor al sieu loc tantost , quar se ubre e es engrossat per que le intrament de lu es fayt difficil .	1.03361
so the best tear is the medium-sized , for in this case the reduction of the intestine will not be as difficult as in the two other cases .	e donc la milhor disrupcio es migiera , quar en aquela no es dificil la reduccio del budel , ayssi cum es dificil en las doas specias denant ditas .	0.878571
then you should know that suturing the abdomen may be carried out in four ways . ~~~ two of them are general ; suitable both for suture of the abdomen and for other wounds of the body .	e sapias que sutura del ventre es segon quatre manieyras , mays doas suturas son comunas que conveneysso en suturas de las autras plaguas del cors .	0.378603
the other two sutures are special ; they may be used for other wounds , but are more suitable for abdominal wounds .	e duas autras suturas proprias comunican a las autras plaguas , mays empero so mays proprias en la sutura del ventre .	0.9427
i shall describe each one to you separately , with comments and explanation .	e yeu recomti a tu quascuna am exposicio e declaracio .	0.926087
i begin then by saying that when the wound is small , and a piece of intestine protrudes from it , rendering the reduction of it difficult , the difficulty will be due to one of two causes : either on account of the smallness of the fissure , as we said ; or because the gut has become inflated on account of the coldness of the air .	donc dic que quan la plagua es petita e es eyssit alcuna causa del budel per aquela , e es fayt dificil a reduzir aquel , lahoras aquo es en una de doas manieyras : o per parvitat de la disrupcio ayssi cum havem dit , o quan al budel es venguda inflacio per la frigiditat de l’ayre .	0.895575
if the latter case obtains , the gut must be warmed by fomenting with a sponge or piece of cloth bathed with warm water or water in which have been boiled rushes and cyperus and hyacinth , bathing the gut until the inflation is gone down .	e donc quan aquo es ayssi , lahora cove que tu scalfes aquel enayssi que tu submerges una sponga ho drap humit en aygua tebeza sola , o que coguas en aygua squinant , e cyperum , e spic , e embroques am aquela le budel entro que la imflacio sia resolvuda .	0.78299
wine that is somewhat astringent may do ; in bringing down the swelling it is better than plain water .	e alcunas veguadas fa aquo vi en le qual ha stipticitat , e es milhor que la aygua sola en resolucio de la imflacio .	0.839664
when you see that the swelling has come down , bathe the gut with water in which have been infused althea and mallows ; for with this the reduction of the bowel becomes easy , using the lightest effort .	e donc cum tu vezes la imflacio esser resolvuda , lahoras tu humecta le budel am aygua en la qual es coyta altea e malvas , quar per aquo es alleujat le intrament de lu am pauca causa .	0.865541
but if after this treatment the reduction is still difficult , open up the wound a little with the instrument for opening up haemorrhoids .	mays si es escusat le intrament de lu aprop aquesta curacio , lahoras scindeys la disrupcio un petit am strument am le qual so inscididas emorroydas .	0.853647
the first method , if possible , is better than incision , but one may be compelled to incise when other means have failed .	e la curacio primieyra es milhor , quan es propriada que no es seccio , e no sia occupacio a seccar aprop necessitat e defaliment .	0.974486
this is the form of the instrument .	del instrument , sec se la forma de lu :	0.613333
the curved side should be sharpened , but not the other ; the slender extremity should not be as slender as a scalpel , but rather blunt ; it is an instrument like a small polo-stick , as you see .	la una partida de lu torta aguda , e l’autra partida no-acuta , e la extremitat subtil , e no sia am la subtilitat de spatum , abantz sia obtusa un pauc .	1.00875
when the wound is opened up a little with the instrument and the bowel is reduced , it is important to return it to its natural shape and proper position , if you can , for that is better .	e donc cum la plagua es amplificada e yeys fora le budel , lahoras cove que la sua reduccio sia segon la forma de lu natural , en le sieu loc propri , si es possible sobre aquo , quar milhor es .	0.806235
when the wound is large and in the lower abdomen the patient should lie on his back and have his legs higher than his head ; but if it be in the upper abdomen his head and chest should be placed higher than his lower parts .	mays quan la disrupcio es ampla , e es en la partida pu bassa del ventre , lahoras cove que tu fassas jazer le malaute sobre le sieu dos , e pausa las suas cambas pus autas que·l sieu cap ; e si es en la partida pus desus del ventre , lahoras tu pause le cap de lu e·l pietz pus autz que las partidas dejos .	0.819413
and in the same way if the opening be on one side of the abdomen you should always make it your object to put the wounded side higher than the other .	e semblantment si la disrupcio es en una de las doas partz del ventre , lahoras pausa la tua entencio e la tua consideracio tostemps en aysso per que la partida en la qual es la plagua sia pus auta que l’autra .	0.902273
so must you proceed in large or middling wounds .	e ayssi cove que tu aministres aquo en las plaguas grans e en las plaguas migieras .	0.913304
but in small wounds put the patient in a position convenient to yourself . ~~~ then have an assistant under your direction to enclose within his hands the whole of the wound and bring the edges together , and then uncover it bit by bit for the one who is putting in the stitches .	e en las plaguas petitas , pausa aquo que es a tu preparat , e aprop fay que·l ministre sia entre las tuas mas pyatados , le qual tengua la disrupcio tota am la sua ma e ajusta las labias de lu , e aprop descuebre de aquela ad aquel que siec la sutura alcuna causa aprop autra .	0.415323
now this is the description of one general suture , namely : one or more needles are taken , depending on the size of the wound ; then , leaving about the width of the little finger from the end of the opening , pass an unthreaded needle from within through both edges of the skin together with both edges of the peritoneum which lies beneath the skin , piercing from one side to the other ; thus you will have brought together both skin edges and both peritoneal edges , making four layers .	e aquesta es la manieyra de sutura comuna : una que prenguas la agula , o comte de agula segon la cantitat de la amplitut de la plagua ; e aprop layssa de la extremitat de la disrupcio del dit anular , e strenh la agula una , otre que tu no metas fiel en las doas extremitatz de la codena , am doas extremitatz del ciphac que es dejos la codena de las partidas dedintz , entro que fassas aquela penetrar de aquela partida ; e tu ja has agreguadas doas extremitatz de la codena e doas extremitatz del ciphac , e so faytas quatre ordes .	0.996194
then wind a double thread several times round the needle , and tighten up from both sides so as to bring the two edges of the wound perfectly together . ~~~ then again leave about a finger's breadth and put in another needle and fasten it with thread as you did in the first instance ; and go on doing this with as many needles as you need until you have finished mending the whole wound .	e aprop strenh am fiel doble en le circuit de la agula , e alcunas veguadas de doas partz ensemps , e aprop agregua las doas labias e la plagua per agreguacio decent ; e aprop layssa la grossitut del dit e fiqua una autra agulha en aquela , e aprop lia aquela am fiel ayssi cum fiest am la primieyra agulha ; e no cesses far aquo si es necessitat am las agulhas entro que ajas complida tota la contriccio de la plagua .	0.403871
the needles should be of medium fineness ; for the very fine needles soon cut into the flesh ; while thick needles , on the other hand , are difficult to pass through the skin ; so they should be medium between fineness and thickness .	e sian las agulhas migieras entre groceza e subtilitat , quar las agulhas subtils mot leugierament insciden la carn ; e las grossas so de dificil intrament en la codena , e donc per aquo cove que sian migieras en subtilitat e grosseza .	1.02862
you should not introduce the needle too near the edge of the skin lest the tissues be soon cut through and the wound gape before it has joined .	e no cove que la agulha sia ficada en doas extremitatz de la codena propdana mot , per so que la carn no sia inscidida leugierament e que la plagua se huebra devant la sua consolidacio .	0.812821
nor should there be too great an interval between the stitches , lest the wound be prevented from scarring up .	e no sian prolonguadas de sutura per que la plagua no sia prohibida de consolidacio .	0.91715
then cut off the ends of the needles lest they hurt the patient during sleep ; and make for him pads of linen scraps to cover the needle ends on both sides ; and let them be until you know the wound is healed up .	e aprop inscideys las extremitatz de las agulhas per so que no ledescan le malaute deves le sieu dormier ; e pausaras sobre la sutura pulvils expanduts de tota partida , les quals tenguan las extremitatz de las agulhas ; e layssa aquelas entro que sapias que la plagua ja es consolidada .	0.817588
this method of suture with needles is most suitable in small wounds , for one or two needles or thereabouts will probably be enough for such .	e aquestas specias de sutura am agulhas en cal manieyra es pus convenient en las plaguas petitas , quar habasta en la sutura de lor una agulha o doas o entorn aquelas .	0.784432
now the second kind of general suture is to bring together all four edges , the two skin edges and the two peritoneal edges , at one and the same time , with a needle furnished with a twisted thread of medium thickness .	mays la segonda sutura es cominal : e es que tu aministres am sutura las quatre extremitatz , de la codena e doas extremitatz del ciphac , en una veguada , am agulha en la qual sia fiel envolopat engual en subtilitat e grosseza .	0.953184
then when the needle has pierced these four edges bring it back precisely to where you began , so that the thread may lie knitted over the wound to make a stitch in the manner of sewing up the bags in which goods are packed .	e aprop quan am la agulha auras penetrat aquestas quatre extremitatz , reduzeys la agulha de aquela meteyssa partida de la qual comensest , per so que le fiel retrayt caja de la pus subirana partida a la plagua , per so que la sutura sia segon sutura de drap am la qual les draps so strengutz .	0.971482
the distance between stitches should be a little finger's breadth .	e pausa entre quascuna sutura la quantitat del gros del dit mendre .	0.794737
everybody is familiar with this stitch .	e aquesta sutura sabo les homes .	0.975
with this stitch i once sewed up a wound that a man got in the belly . ~~~ he had been wounded with a knife ; and the opening of the wound was more than a span long ; and by that time there protruded some two spans' length of his mid-gut . ~~~ the opening was in the middle of his belly ; and i reduced it after the bowel had been outside the wound for twenty-four hours .	e am tal sutura yeu cozegui la plagua la qual era accidida a un home en le sieu ventre le qual era stat plaguat am un cotel , e era la disrrumpcio de la plagua major de un palm , e era eyssit dels budels entorn dos palms del budel del mieg loc e era la disrupcio en le mieg del membre ; e adonc yeu reduzegui aquel depus que le budel havia stat foro la plagua per xxiiii horas .	0.284551
the wound healed in about a fortnight , and i treated him until he was better ; and he lived for many years after this , carrying on as usual . ~~~ the verdict of the doctors was that he could not be healed .	e la plagua fo consolidada en le spazi de xv dias o entorn , e curegui aquel e es sanat ; e aprop aquo visquec per motz ans , e es conversat en las suas disposicios .	0.713265
the remarkable thing is that i did not treat him with any ointment , for i was in a place where there was no sort of medicine ; so twice a day i applied teased-out cotton wool to the wound , and carefully washed it with honey-water until he was healed .	e les autres metges havian jutgat que no fora sanat ; e per miracle foc , quar yeu no curegui aquel am enguent , quar era en loc en le qual enguent no era atrobat ni deguna medicina , mays pausegui sobre la plagua coto viel dos veguadas lo dia e ablucio assiduo am aygua de mel entro que foc sanat .	0.982647
i shall now describe one of the two kinds of special suture according to the text of galen .	mays yeu diyre dos specias de sutura proprias segon narracio de paraula .	0.665668
you begin at the skin , running the needle from without inwards .	e es que tu comenses am sutura de la codena , e entrometas agulha de la partida deforo a la partida dedintz .	0.753968
