on the treatment of defluxions and fistulae .	de curacio de zuchem e fistula .	0.541667
you should know that any wound or tumour , when it becomes old and chronic , and turns into an ulcer , and does not heal over , but discharges pus chronically and constantly , is generally called a fistula , in whatever part of the body it may be ; but we call it a defluxion .	sapias que tota plagua e apostema quan se envilheseys e se antiqua , e es fayt ulcus , e no es consolidat e geta braç tot temps e no es abscindit , lahoras , en qualque membre sia , universalment es nompnada fistula e nos la apelam aquela azukem .	1.03154
the fistula proper is a compact hard white painless induration with a central hollow like a bird's quill ; on which account some call it a quill .	e fistula segon veritat es nodacio feutrada , dura , blanqua am la qual no es dolor e a la qual es conquavitat ayssi cum es conquavitat de pena de ausel ; e per aysso nompnat aquela alcus rizatz , id est pena .	0.904138
at certain times it may be moist , constantly discharging pus ; and again at certain times the moisture may cease ; and the discharge may be greater or less ; and it may be thick or thin .	e es en alcus homes humida , la qual geta brac ; e fort leu la humiditat es abscidida en alcunas horas .	0.429217
i said previously in the appropriate section , when i was discussing abscesses , that any ulcer that would not heal nor show growth of tissue was due to one of nine causes .	e alcunas veguadas aquesta humiditat es mota , e es pauca , e es grossa , e es subtil .	0.558385
one is lack , or poorness , of blood in the body ; or it may be because the hardness of the tissues , internally and at the edges of the opening , prevents the growth of sound tissue ; or it may be because of the abundance of foul and evil matter ; or it may be because the ulcer is necrotic in itself and the matter that it discharges is of bad quality ; as also it may be because the remedy used in treating it is not suitable ; or again it may be because of corruption arising at that locality , of the nature of pestilence ; or it may be due to something special and peculiar in the locality—as happens in the city of saragossa , where diseases tend to linger and tumours are naturally slow to heal ; or it may be due to one or more bones in it .	e yeu ja he denant dit en la divisio , lahoras cum yeu diyssi las plaguas , que tot ulcus que no es sanat ni no es en lu nuda carn , no es aquo sino per una de ix causas : de las quals la una es o per pauquesa de sanc en le cos ; o per malicia de lu ; o quar entre lu e las labias es carn dura prohibent nativitat de carn ; o quar es de mota legesa ; o quar aquel ulcus en si meteys es poyrit e la materia que es a lu tramesa es de mala qualitat ; o quar la medicina es enconvenient en la curacio de lu ; o quan corrupcio catz en la regio , e es pestilencia ; o per proprietat de regio ayssi cum endeve a saragossa , en la qual es fayta difficil degestio de las malautias , e es tardada en aquela sanacio de apostema per natura ; o quar en lu es os un , o motz osses .	0.698229
i have indeed already , in their proper place , explained all these causes and their symptoms and their medical treatments .	ja e mostrat totas aquelas causas , e·ls senhals de aquelas e la curacio de lor am medicinas en la divisio .	0.897628
now here i must explain to you the operative treatment of fistula and defluxion .	e cove assi que yeu fassa a tu saber la curacio de fistula la qual es fayta per via de operacio am ma .	0.805147
you should know that a fistula may happen in any part of the body ; and some fistulae reach as far as some great vein or artery or nerve or membrane or intestine or the urinary bladder , or one of the ribs or dorsal vertebrae , or some highly complex joint such as the hand or foot , while some terminate quite near some major organ , and so on .	e sapias que fistula accideys en totz les membres del cos ; quar de aquelas son fistulas que perveno a las venas grantz e arterias , o als nervis , o al ciphac , o al budel , o a la vesica , o ad alcuna de las costas , o ad alcu dels spondils del dos , o ad alcuna de las juncturas compostas per composicio ayssi quo de la ma e del pe ; e de aquelas so que dan a lu propinquitat del membre principal e de semblantz .	0.656611
fistulae of this kind are among the diseases from which recovery is difficult ; they are not amenable to treatment and to occupy oneself with them is labour in vain .	e donc aquela de aquestas fistulas que es segon aquesta manieyra es de las malautias de dificil sanacio , e no recep curacio , e occupacio am aquela es trebalh e ignorancia .	0.849361
but if there are any fistulae which do not reach in depth the places we have mentioned , and you have some hope and expectation of curing them , and you wish to attain to recognizing these , then you take a probe of bronze or iron , if the fistula run in a straight line , and investigate it with that .	e si es de las fistulas alcuna la profunditat de la qual no perve ad aquestz locs que e dit , e esperas e confizas en la curacio de lu , e vols pervenir a cognicio de lu , lahoras pren tenta de eram o de ferr , e si la fistula va segon rectetut , e perquireys aquela am lu .	0.975033
but if the fistula be tortuous then investigate it with a thin leaden probe ; for lead is soft , so as to flex on entry and follow the curves of the fistula .	mays si la fistula es tortuissitat , lahoras investigua aquela am tenta de plom subtil , quar plom am la levitat del sieu cors es alleujat e curvat deves la tortuositat .	0.539394
but if the fistula have multiple openings so that you cannot explore it with the probe , then make an injection into one of the openings .	e si la fistula es havent motz horrificis , no es a tu possible que signifiques sobre lu am tenta .	0.721705
the fluid you inject into that one will run to the other openings and flow out from them .	adonc cristeriza le orrifici per sos orrificis , quar la humiditat per la qual clisterizas aquela va deves las autras orrificis e corr de lor .	0.560959
then make a complete exploration by whatever means you can , to find out whether there be at that place a bone or nerve , and whether the fistula be deep or superficial , and whether the fistula be one with multiple openings . ~~~ inform yourself of all these points , exerting yourself to inquire of the patient whether he feels pain while you are compressing with the hand , and seeking other indications and causes of tumour that may arise .	e aprop inquier exquisitament , segon qual manieyra a tu es possible que conoguas si aqui has os o nervi , e es la conquavitat de la fistula longinqua o propdana , o es una fistula a la qual so motz orrificis e esta sobre aquo tot am la suma de la tua fortaleza , am la tua enterroguacio , am la qual enterroguas le malaute , e la invencio de la dolor deves la tua compressio am la ma sobre le loc , e semblantz de las significacios e de las causas accidentz al apostema .	0.339938
when you have made quite certain of all these points , then proceed confidently with the treatment , namely : see if the fístula be obvious and accessible , or in a harmless situation far removed from a joint or vein or artery or tendon or any of the other places i have mentioned to you .	e cum tu auras stat sobre totas aquelas causas am stacio veraya , lahoras ve a la curacio segon confidencia : e es que tu consideras lahoras si es fistula apparent propinqua o en loc sal , longinqua de junctura , o de nervi , o de arteria , o de vena , o de un dels locs les quals yeu a tu e ditz .	0.817241
then lay open the fístula by the method i have described and fetch out of it all the granulations and diseased and superfluous tissue and whatever tissue or growth be arising in its opening , and dress until healed .	lahoras tu secca la fistula segon que denant es dit de la naracio de lu , e osta aquo que es en aquela filtracio e de carns corrumpudas , e aquo que es nascut en le orrifici de la carn , o de theil e de semblantz , e cura aquela entro que sia sanada .	0.999685
if the termination of the fistula lies deep and its course be straight , you should cut it open as far in as you can and then clean out of it all diseased tissue ; then use swabs soaked in corrosive , and push them to the bottom of the fistula , which is as far as you can reach with the probe .	mays si la fistula es de longinqua profunditat , e es segon rectetut , lahoras cove que inscidas aquela en le preon atant quant a tu sira possible , e aprop mondifica aquela de totas las suas carns corrompudas ; e aprop administra calguas envolopadas en medicinas acutas , e intromet aquelas entro a la conquavitat de la fistula , la qual has conprenduda am ferr .	0.815021
do this repeatedly until the caustic has destroyed all the superfluous matter remaining at the bottom of the fistula .	e fay aquo am aquela alcunas veguadas entro que la medicina acuta corroda tot aquo que es romas en la conquavitat de la fistula de la corrupcio .	0.814429
then dress it with ointments that make the flesh grow sound , until it heals .	e aprop restaura aquela am enguentz les quals engendran carn sana entro que sia sanada .	0.782537
but if it does not heal thus , then cauterize it in the prescribed way .	mays si no es sanada per aquo , lahoras tu cauteriza aquela segon que havem recomtat .	0.232759
if a bone be the cause of the fistula , and you are sure of that , then examine the fistula and open it up in the way i have told you , if there be nothing in the way like a blood-vessel or nerve or important organ , as we said .	mays si la causa de fistula es os e es deves tu certificat aquo , lahoras tu inquireys aquela e secca aquela segon que havem recomtat , si tu no prohibeys alcuna causa de vena o de nervi o de membre principal ayssi cum havem dit .	0.788202
and if the bone is laid bare to you and there be in it some corruption and blackening , then scrape it until all the corruption be removed ; then put on dressings that will encourage granulation , until it be healed .	mays si le os es a tu descubert e es en lu alcuna corrupcio e negror , lahoras tu ratz aquel entro que la corrupcio sia hostada tota ; e aprop cura aquel am aquo que lu encarne entro que sia sanat .	0.604603
if it does not heal but discharges pus in the way it did before , then you may know that you have not yet managed to extirpate the corruption completely . ~~~ therefore you must expose it again and with the utmost diligence carry out the scraping and cleaning of it .	e si no es sana e gieta brac ayssi cum fazia , lahoras sapias que tu no est pervengut a la eradicacio tota de la corrupcio ; e adonc tu descuebre sobre lu segondanament e exquisitament fay la razio de lu e la mundificacio de lu am la deriera fortalasa tieua , e aprop restaura aquel .	0.365972
then dress it ; and if it heals , good ; if not , then you may know that this corruption is very deep-seated in the body and out of reach , and there is nothing you can do for it but leave it to nature .	e donc si es sanat , bo es ; e sino , lahoras sapias que aquela corrupcio es en la profunditat longinqua del cors , la qual no ha conseguida , e adonc a tu en aquel no es engen sino laysar aquela .	0.894194
if the diseased bone be a small one , and it be possible for you to extract it , then do so with a pair of fine forceps suited to the purpose .	e si le os corromput es petit , o es a tu possible atirar aquel , lahora tu le atira am forceps subtils las quals conveno ad aquo .	0.676923
and if there be a number of bones then you must accurately carry out the extraction of all of them , and spare no effort to ensure that none is left .	e si so motz osses , lahoras exquisitament fay la extraccio de totz aquels , e de aquels no laysses denguna causa am la tua fortaleza .	0.808442
if any ligaments lie in your way and there be no danger in incising them , then make an incision into the ligaments and whatever tissues are there , and free the bones .	mays si a tu fa contrarietat alcuna causa de las humiditatz , e en lor inscizio no ha temor ni error , lahoras inscideys aquelas liaments o carns si so aqui , e deliura les osses .	0.882482
if it is not possible for you to extract the bone immediately , apply over the wound something to induce suppuration , and leave it for some days until suppuration has set in in the tissues and ligaments around the bones .	mays si a tu no es preparacio de ostar les osses de la tua hora , lahoras pausa sobre la plagua aquo que poyresca la plagua aquela , e layssa aquela entro que aquo es al enviro de aquels osses de carns e de liamentz , e guarda la plagua que no sia consolidada , e sia constrengida la seccio la qual tu has inscidida en la tua operacio .	0.716381
keep an eye on the wound lest the incision that you made during your operation close up ; if you fear this , apply to it cotton wool soaked in sulphur beaten with olive-oil , or cotton soaked in egyptian ointment or in one of the green ointments .	habantz , si temes , pausa sobre lu coto submers en sopre trissat am oli , o coto submers en anguent egipciac , o en alcu dels enguentz vertz , quar quan poyriran aquelas liaments , e les osses son de lor seperatz la ablacio , e de aquels atraccio es alleujada .	0.7035
then , when those ligaments have been softened by putrefaction and the bones crumble , it will be easy to shift them and take them out .	mays si es un gran os ayssi cum le os de camba o de coyssa o semblantz ad aquels , e aquo que de lu es corromput es la facia de lu tant solament , lahoras ratz aquela am resio tant solament derriera entro que sia ostada aquela negror e corrupcio , e aprop restaura la plagua .	0.755405
if it be one large bone such as the tibia or the femur or the like , and the diseased part be only the surface , then scrape it thoroughly until all the blackness and corruption is gone , then close the wound .	mays si aquo que de lu es corrumpyt es gran partida , e la corrupcio ja ha conseguida la medulla del os , lahoras es causa necessaria cerrar aquel e aquel tot inscidir entro al loc on es pervenguda la corrupcio , e lahoras cura aquel entro que sia consolidada .	0.688095
if the corrupt portion be very extensive and reach to the marrow of the bone , you will not be able to avoid sawing it off and cutting it all away to the point where the corruption ends ; then dress until healed .		-0.3
now i shall tell you of a defluxion that once occurred in a man's leg , as an example and a help to you in your treatment .	e yeu recomti a tu aquo que endevenc ad un home en la sua coyssa per que pausez aquela a eyssempli e adjutori sobre la tua operacio .	0.889762
this man was young , about thirty years of age . ~~~ he once got a pain in the leg from something internal , which so worked that eventually matter came into the leg and caused it to swell greatly , there being no external cause .	foc un home jove per etat entorn xxx ans , al qual accideys dolor en la sua cueyssa , e de las partidas dedintz mauguda es sobre la materia dedintz le cors entro que la materia es pervenguda a la cueyssa , e es materia de apostema am gran apostema , e no foc a lu causa extrinseca .	0.216576
and time passed by , to the accompaniment of error on the part of the doctors , until the tumour opened and much discharge came away ; and the treatment was so mismanaged that fistulae formed in the leg and many sinuses opened up , all of which discharged pus and body humours .	e adonc foc extendut le temps am aquela per la error dels metges entro que l’apostema es hubert , e acorrero de lu materias motas , e la sua curacio foc aprop pausada entro que la camba foc fistulada , e faytz son en lu motz orrificis les quals totz getavan poyredura e las humiditatz del cos .	0.884071
a whole host of doctors had been treating it for a matter of two years , not one of whom had any skill in the surgical art .	e adonc le curec multitut de metges entorn dos ans , e no foc en aquels savia ma en la art , entro que yeu fu appelat .	0.801112
eventually he sought me . ~~~ i saw his leg , with matter coming away from the orifices in large quantities ; and the man's body was wasted and jaundiced .	e vi la camba de lu e las materias que corrian de lu aquels orrificis per gran cors ; e ja le cos de aquel home era tot stabozit e la color de lu era citrina .	0.256109
so i introduced a probe into one of the openings and the probe touched bone .	e adonc yeu intromesi la tenta ad un de aquels orrificis e pervenguec la tenta al os .	0.796078
then i investigated all the openings and found them all communicating with one another in all parts of the leg .	e aprop yeu e perscrutat tostz les orrificis e trobegui aquels pervenir a lor de totas partidas de la camba .	0.699091
so i quickly cut down upon one of these openings until a part of the bone was laid bare , and i found it diseased , by now eaten away , and black and foul and full of holes , down to the marrow .	e adonc yeu me coytegui e inscidegui sobre un dels orrificis aquels entro que descrobegui una partida del os , e atrobegui aquel corromput , e ja era terros e corrumput e denigrat ; e era ja corrumpuda una partida de la camba entro que havia penetrat entro a la mezola .	0.883181
so i sawed off as much of the diseased bone as i had exposed and could get at .	e adon yeu serregui aquo que a mi era discubert e preparat del os descubert .	1.00104
in fact i thought that there was no more disease in the bone beyond what i had cut and sawn away , and that i had completely eradicated it .	e yeu cujegui que no fos en le os sino aquela corrupcio la qual abscidigui e serregui , e yeu ja havia derraziguada .	0.846316
then i tried for a very long time to heal the wound with medicines encouraging growth of flesh , but it would not heal .	e aprop pausegui la restauracio de la plagua am medicina consolidativas per lonc temps , e no es consolidada .	0.712267
then i again uncovered the bone , above the first opening , and found the corruption co-extensive with the bone .	e aprop yeu iteregui e descubregui sobre le os segondament sobre le descubriment primier , e atrobegui continua corrupcio am le os .	0.654836
so again i sawed away as much of the corruption as i could see ; then i tried to heal it , but it would not heal nor unite .	e serregui aquo que a mi apares de aquela corrupcio , e aprop yeu fo perforsat fayre la curacio de lu e restauracio , e no es restaurat .	0.85625
then i opened it up once more and went on cutting away the bone piecemeal and trying to heal it , and it would not heal until i had cut away about a span of bone with the marrow ; then i treated it medicinally and it quickly healed over and was cured .	e adonc yeu descubri sobre lu autra veguada e no cessegui inscidir le os petit a petit particuladament e perforsa la restauracio de lu , e no es restaurat entro que inscidigui entorn un palm de lu , e aquel extraxi am la medula sua , e aprop restauregui aquel am medicinas , e es consolidat leugierament e sanat .	0.872045
but it would not have been necessary to repeat the operation and the incision thus , were it not for the patient's weakness and inability to tolerate much at a time , and because of my fears for his life , since an evil faint was constantly seizing him on account of the heavy drain .	e no es necessaria iteracio en la operacio de lu e seccio de lu sino per la disposicio de la freulesa de lu e per la paucitat de la tollerancia de lu e paor de lu de mort , quar a lu accidia en totas horas per superfluitat de evacuacio sincopi mala .	0.808822
but he was completely cured , and in place of the bone there grew up firm tissue ; his bodily state was sound and his strength was restored . ~~~ he went about his business , and no hurt whatsoever came to him from walking .	e donc sanat es per sanacio entiera , e nada es en loc de os carn dura ; e es fayta bona la disposicio de lu en le sieu cors e retornec la vertut de lu ; e es conversat en las suas disposicios e no fec a lu contrarietat en ambulacio ni nocument en denguna causa .	0.227632
now in the case of a prominent bone that has been broken in any part of the body , it should be sawn off in this manner : you take a ligature and tie it to the extremity of the prominent bone and bid someone keep it stretched upward ; then you put on another ligature of wool thicker than the first , tying it to the tissue that is beneath the bone , and pull on the end so that the flesh is drawn down and you lay bare of flesh the spot where you intend to saw , so that the saw does not injure the flesh .	mays si es os eminent en loc del cors ja trauquat , lahoras cove que tu secces aquel segon aquesta manieyra : e es que tu prenguas liament e strenh aquel en la extremitat de aquel os eminent , e comanda ad alcu que extenda aquel en sus ; e pausa aquel liament de lana pus gros del primier liament ; e aprop lia aquel sobre la carn que es dejos le os , e exten la extramitat de lu per que atires la carn a las partidas dejos , e tu descuebras la carn sobre le loc le qual voles serrar per que la serra no leda la carn .	0.805995
you should place a block of wood or a board firmly beneath the bone ; which done , there is no hindrance to the saw's cutting through the diseased bone .	e pausa fust o taula dejos le os decentment , quar quan tu fas aquo no es prohibida la serra que no secce la carn corrumpuda .	0.660255
the saw-cut should be made a little above the site of the disease in case there should be disease in the cavity of the bone that is not apparent on the surface , which might compel you to carry out the sawing a second time .	e cove que sia la serradura sobre le loc corrumput petit a petit , quar si es en la concavitat del os corrupcio e no appar en la sua apparicio al sentiment , e forssa a serratura de lu autra veguada .	0.890407
if the bone be diseased without any swelling , but it all seems the same from one part to another , and the disease be in the middle or in one segment of it , then expose it on all sides ; put the block beneath , and saw it from the first side , where the disease is . ~~~ when you have finished this , saw it from the other side .	e si le os es corrumput e no-eminent , abantz es la una partida continuada am la autra , e la corrupcio es al mieg loc o en partida de lu , lahoras tu descuebre la carn de totas partz tota ; e aprop pausa fust dejos , e aprop serra aquel de la primiera partida la on es la corrupcio entro que sia continuada la serratura del autra partida .	0.238343
the saw-cut should be at a little distance from the diseased part , as we have already said .	e sia la serradura segon le loc de la corrupcio un petit , segon que havem dit .	1.03322
if the disease be in one of the phalanges , amputate the diseased phalanx and saw through the bone where it is continuous on the other ( healthy ) side .	e si la corrupcio es en la junctura , inscideys aquela junctura corrumpuda , e serra le os la on es continuat del autra part .	0.679739
if the disease be in the joint between two members , then there is nothing to be done but scraping .	e si de la corrupcio es en la continuacio de doas juncturas , lahoras no es en lu razio sino engen .	0.568977
if the disease be in the carpus or tarsus it is a very difficult matter treating them ; you must peel off the disease in whatever way seems possible , and scrape it away and clean up the part in whatever way you can and by whatever technique is convenient for you , so long as there is no vein or nerve in your way .	e si la corrupcio es en le pecte de la ma o del pe , es mot dificil ; empero cove que tu inquieras la corrupcio en qual manieyra appareys a tu , e que abradas aquela , e mondes aquela segon quascuna disposicio la qual es a tu possibla , e am cascum engen sia rectificat a tu , quan no fa a tu contrarietat vena o nervi .	1.01642
