on the amputation of limbs and the sawing-off of bones .	de inscizio extremitatz e de la serratura dels osses .	0.838933
sometimes the extremities become gangrenous , either from an external or an internal cause . ~~~ now when you have treated this disease by medical means , ineffectively , and you see that the disease is spreading over the limb and nothing will stop it , you must cut off that limb as far as the disease has spread , so that the patient may escape death or great affliction , greater than the loss of the limb .	las extremitatz se poyresso o per causa intrinseca o per causa extrinseca , o cum tu auras medicat aquela corrupcio per curacio de aquelas medicinas e la curacio no comfereys , o vezes la corrupcio anar deves le membre la qual no percuteys denguna causa , lahoras cove que tu inscidas aquel membre entro aquo la hon acossec la corrupcio , per que le malaute evasesca per aquo de mort o de malicia que es major defeliment del membre .	0.130233
now the sign of the victim of this state is that the limb goes black , so that you might think it were burnt with fire , or , after the blackening , it putrefies , and the putrefaction spreads to parts adjacent to that limb and begins to attack the whole body ; cut it away as soon as you can .	e le senhal de aquel al qual accideys , es que·l membre es fayt negre entro que sia cujat que foc la ja comburit , o se poyreys aprop la negror entro que la poyredura aquela ane entro aquel membre que siec lu e que prengua tot le cors ; e donc coyta te am inscizio de aquel .	0.629358
so must you do if the disease is caused by the bite of some dangerous reptile such as the marine scorpion , viper , or venomous spider , and so on .	e semblantment si es causa de la corrupcio percussio de alcunas causas venenosas ayssi cum de scorpio mari o de vupera o de rutela e de semblantz .	0.913063
if the disease or bite be at the tip of the finger , cut off the finger , giving the disease no opportunity to spread to the rest of the hand .	e si la corrupcio o la percussio es en la extremitat del dit , lahoras tu inscideys le dit e no dones spazi a la corrupcio per que ane entro a la ma .	0.83218
similarly , if it attacks the hand , cut if off at the wrist , giving the disease no opportunity to spread and attack the two bones of the forearm .	e semblantment si accedeys a la ma , lahoras tu inscideys aquela de la razit del focil , e no dones spazi a la corrupcio entro que prengua en le focil del bras .	0.74354
similarly , if it attacks the forearm , cut it off at the elbow through the joint itself .	e si envezeys aquel , lahoras inscideys le bras entro al coyde en la junctura .	0.616018
if the disease passes onward and you perceive that it has reached the region of the shoulder , by no means cut the shoulder , for that will be the death of the patient ; use any treatment but that , as best you may .	e si passa otra la corrupcio e la vezes enviro le coyde , lahoras en aquel es la mort del malaute ; e aministrar autra causa otra aquo en curacio es quantitat de vertut .	0.806691
in the same manner act in regard to the foot when the disease attacks a toe ; namely , amputate the toe through one of the interphalangeal joints .	e semblantment fay del pe quan corrupcio envezeys le dit del pe , lahoras tu inscideys aquel entro ad un dels nozes .	0.475
if the disease attacks the tarsus then amputate the whole foot ; and if it ascends toward the knee , amputate the leg at the knee-joint .	e si pren en la pente del pe , lahoras tu inscideys tot le pe . ~~~ mays si pueja entro al denol , lahoras tu inscideys la camba entro a la junctura del denol .	0.0575893
if it be that the disease has passed on above the knee , there is nothing of any avail in this case but to leave it , and for the patient to resign himself to death .	e si la corrupcio ja es pervenguda sobre le denol , lahoras en lu no es engen sino dimissio , e layssar le malaute a la mort .	0.620793
