chapter eighty-eight . ~~~ on the treatment of sinuses and the way to irrigate them .	de cura sinuum et qualitate clisterizationis cum medicinis .	0.146429
when an abscess occurs in any of the fleshy parts and becomes chronic and eventually collects pus , and then it breaks open or is perforated , and all the contained matter comes out and the site is left hollow , like a vessel , and the overlying skin thinned like a rag , but the suppuration has not gone so far as to involve bone or tendon or ligament—and hence it merits the name of 'sinus' and is not called a fistula .	quan accideys apostema en alcus membres carnozes e·l spazi de l’apostema es prolonguat entro que fa colleccio de sania , e aprop es romput e perforat , e es eyssida de lu la sania , e roman le loc vuoyt quays cum si era vayssel , e la codena que es desobre lu ayssi cum drap subtiliat , e no es pervengut a deriera corrupcio , e no inprimeys en le os o en nervi ni en liament , es apelat sinu , e no es nompnat fistula .	0.8584
but if it goes on until the disease involves any of these parts it is then called a fistula or defluxion .	mays empero si le spazi es prolonguat entro que la corrupcio enprema en alcun membre , lahoras es appelada fistula e no zukem .	0.625025
the treatment of it will be to cut away all that skin with a circular incision ; specially if it be thinned and has become like a rag , and you are sure that it will not adhere to the place , because of its corruption .	e la cura de lu es que inscidas aquela codena tota ayssi cum es revolvut , e majorment quan es subtiliada e es fayta cum drap , e comfizas que no adhereys al loc per la sua corrupcio .	0.844898
but if you are in hope of its adhering , and the corruption has not reached that point , and there is in the skin some thickness of flesh , then treat it by irrigation .	mays si tu speras que la codena adheresca e que aquela corrupcio no aja conseguit per deriera consecucio , e en la codena ha spassitut de cara , lahoras tu cura aquel am clisteri .	0.69
the procedure is that you examine the sinus , and if it be large and the purulent discharge from it smell bad , then irrigate it with egyptian medicine , which is vinegar , oil , honey and verdigris , equal parts of each , mixed in a vessel and heated on the fire until the compound thickens and assumes the consistency of honey .	e es que consideras al sinu , e lahoras si es gran , e·l brac que yeys es de fetent odor , lahoras clisteriza aquel am medicament egipciac le qual es de oli e vi agre e ziniar recebent partidas enguals , e sian ajustadas en un vayssel , e sian coytas sobre le foc entro que’l medicament se fassa rog e pervengua a specitut de mel .	1.02501
then take as much as you need and dilute it with water and honey , and with this irrigate the sinus and bind up the opening , leaving the compound inside for two hours .	e aprop tu pren de lu aquo que es necessari e dissolveys lu am aygua e mel ; e clisteriza am aquel le sinu , e strenh le orrifici de lu , e layssa la medicina en lu per la quantitat de doas horas .	1.17696
then get it out by pressure . ~~~ do this for several days until the sinus is clean and the smell disappears .	e aprop extratz aquela am sprecio ; e fay aquo per tantz dias entro que sia mundificat le sinu e sia remauguda la pudor .	0.451705
it may be irrigated with water of ashes if the medicine is not at hand . ~~~ for that , you take ashes of vine or of oak , and put water upon them ; then clarify the liquor and with it irrigate the sinus until you are sure it is thoroughly clean .	e alcunas veguadas es clisterizat am aygua de cendre , quan no es a tu prezent aquest medicament ; e es que tu prenguas la cendra de vitz , e met sobre lu aygua ; e aprop cola aquela e clisteriza aquel am ela entro que te confizes que·l sinu lahoras es ostat .	0.304965
but if the patient cannot tolerate the egyptian medicine nor the water of ashes , then irrigate him with water and honey with which a little pounded verdigris has been mixed ; or irrigate with honey and wine mingled ; the value of the honey lies in its cleansing and washing , while the wine closes up the sinus , specially if it be a wine which has some dryness and astringency .	e si le malaute no ha tollerancia sobre le medicament egipciac ni l’aygua de la cendre , lahoras clisteriza aquel am aygua e mel e quays sia mesclat ziniar trissat , e clisteriza aquel am vi e mel mesclat , quar de proprietat de mel es que mondifique e lave , e le vi fa adherir le sinu , e majorment quan en le vi ha superfluitat de stipticitat e de siccitat .	0.807372
when you have done this several times and you are sure that the sinus is clean of diseased matter , then irrigate it with those compounds that will encourage granulation in it .	e cum tu fas aquo alcunas veguadas e te comfizes que·l sinu ja es remaugut , lahoras clisteriza aquel am aquo que fa naysser la carn en lu .	0.612389
for example , you may take a little palm ointment and dissolve it in oil of roses and some astringent wine ; or irrigate it with some of the other ointments and medicines whose prescriptions we have recorded in the treatise on ointments .	e es que prenguas de enguent dyafinicon e dissolveys aquel am oli rozat e vi stiptic ; o que clisterizas aquel am alcunas medicinas e enguentz autres que hajan las proprietatz les quals ja he yeu scritz en le tractat dels enguents .	0.701238
if the opening of the sinus be too narrow for the nozzle of the syringe , open it up slightly with the knife , or put in it a pad steeped in egyptian ointment or vermilion ointment , until it is dilated .	e si le orrifici del sinu es streyt en le qual no es recebuda la canula del clisteri , lahoras tu le amplifique aquel am ferr petit a petit , e pausa en lu calgua envolopada en enguent egipciac o en enguent basilicon entro que sia amplificat .	0.782878
on the other hand , if the opening be wide , bring the edges together with a suture , and leave of it sufficient width that the syringe may be only just introduced .	e semblantment si le orrifici es ample , lahoras tu agregua las labias de lu am sutura e layssa de lu quantitat en la qual intre le clisteri ses addicio .	0.8433
in the same way , if the opening from which the discharge flows be raised up , then incise it at its lowest part so that the discharge may flow downward out of it ; for when the discharge collects at the bottom of the sinus it prevents the formation of flesh in it .	e si le orrifici de lu del qual corr le brac es elevat a las partidas desus , lahoras secca aquel en le pus bas loc que es en lu per que le brac corra entro dejos , quar quan le brac es coartat en la preondeza de sinu la carn esser en lu engendrada .	0.756122
if you cannot open it up as you wish at the lower point , then try to set the part in whatever position you conveniently can to facilitate the discharge of pus , and try to ensure that no pus is held up in it .	e si no es a tu possible seccar le sinu entro al enviro del os pus bas segon que voles , lahoras te perforssa que prepares le membre am preparacio per la qual corr de lu le brac leugierament segon que es a tu apparelhat e que no sia en lu retengut alcuna causa del brac .	0.656447
as for the consolidating medicaments that are applied externally to the sinus , and the manner of their application : you take one of the ointments suited to your purpose , and spread it on a piece of lint of sufficient size to cover the whole sinus ; then with scissors cut a hole in the lint over the mouth of the sinus and a little wider than the sinus opening ; then spread on another piece of lint a quantity of softening ointment proportionate to the opening and put the one on the other so that it stands away from the opening of the sinus , in order to ease the discharge of pus from it ; and do not remove the larger dressing until after many days .		-0.3
but the dressing over the sinus opening you may constantly remove , so that the pus collected behind it may come out and so that you may know whether there be much or little ichor , and whether digested or not .	e pren medicinas consolidativas que sian pausadas sobre le sinu convenientz ad aquo que vols exxten aquelas sobre drap de li .	0.507342
and at the same time investigate the site of the sinus itself to see whether the patient feels any pain in it or no pain , and whether there be any swelling in it or not . ~~~ then when your treatment has reached such a point that you see that there is only a little superficial matter coming out round the mouth of the sinus , you may know that the sinus has closed up or is near to closing up .	e le drap sia de tan gran quantitat cum fa la comunicacio de tot le sinu ; e aprop inscidey am las forfexs en le dreyt del orrifici del sinu un trauc pus ample un pauc que l’orrifici del sinu ; e aprop exten sobre autre drap de li dels enguentz leons segon la quantitat del trauc , e pausa le sobre aquel per posicio longinqua del orrifici del sinu per que sia aleujat le eyssiment del brac de lu e no ostes le drap gran sino aprop alcus dyas una veguada .	0.236507
