chapter ninety-four .	de extraccio de sagetas .	1.02
on the extraction of arrows . ~~~ arrows vary both as to types and as to the different parts of the body pierced by them .	sagetas son diversificadas segon las specias , e segon les locs dels cors en les quals cazo , quar la lor diversitat es que de aquellas so que han grans puntas , e petitas , e concavas , e sordas , so es solidas ; e de lor so que han tres angles , e de aquelas a las quals so que han lenguas ; e de aquelas a las quals so astelas .	0.424485
they differ thus as to type : some are big and some are small ; some with hollow heads and some with solid ; some of them have three angles and some four ; some have tongues ; some have spikes . ~~~ the difference due to the part transfixed by the arrow is twofold : for there are either the chief hollow organs such as the brain , the heart , the liver , the lungs , the kidneys , intestine , bladder , and so forth—when one of these arrows transfixes an organ of this kind , and you observe the signs of death which i shall describe to you later , then you must avoid the extraction of the arrow in that case , for death will generally follow ; but when you do not see these fatal signs and the arrow is not quite buried in the depths of the organ , then extract it and dress the wound .	e aquela que es segon les membres e las pessas en las quals cazo es segon dos manieyras : quar les membres o so membres principals concaus , ayssi cum le cervel , le cor , e·l fitge , e le pulmo , e les ronhos , e les budels , e la vezica , e a lor semblantz ; e donc quan catz en alcu de aquestz membres e aparo a tu senhals de mort , la qual causa yeu recomtare aprop , lahoras cove que tu evites extraccio de aquela sageta en aquels quar la mort siec aquel en le qual en las majors disposicios , e quan a tu no appareysso aquestz mals senhals , e la sageta no es amaguada en la profunditat del membre , lahoras tu extratz aquela e cura la plagua .	0.313115
now the signs when the arrow has struck the brain , and penetrated the bone and injured the meninges covering the brain , are these : there arise from that a violent headache and vertigo and giddiness and a redness in the eye , and a redness of the tongue , and convulsion and mental confusion and bilious vomit ; perhaps also blood comes out of the nose or from the ears ; often also the speech is affected and the voice is lost ; also there comes out of the site of the wound a white fluid which resembles gruel , from which there flows something like the juice of meat .	e dels senhals del servel es quan catz en lu sageta , e trespassa le os , e es yssit del cyphac le qual es sobre le cervel , quar accideys per lu soda vehement , e scotomia , e vertige , e rogor en les huels , e imflamacio e rogor de la lengua , e spasme e permixtio de entendament e vomi de colera , e fort leu es abscindida la paraula e es destruida la votz , e es yssit del loc de la plagua humiditat blanca semblant a pols , e yeys de lu semblant ad aquositat de la carn .	0.766154
if you observe these signs , avoid treating the patient and extraction of the arrow if it has not come out .	e donc si appareyso a tu aquestz senhals , lahoras tu abste de la curacio e de la extraccio de la sageta , si non es fora .	0.660623
the signs of an arrow in the heart are : nearness to the left breast ; the patient feels it as if it were fixed in something solid , not hollow ; often also there will be imparted to the arrow a pulsating movement ; and black blood will issue from the wound ; and after this follow coldness of the extremities and a cold sweat and unconsciousness ; then you may know that death is surely on its way .	mays les senhals de la sageta quan catz en le cor , so que ela es prop de la mamila senestra , e sent am aquela quays sia ficada en causa dura , e no es causa vueda ; e fort leu le movement de la sageta es semblant a movement del pols , e corr de la plagua sanc negra , e siec aquel fregiditat de las extremitatz , e suzor freja , e sincopi ; e donc sapias que la mort descen ses tot dopte .	0.833043
the sign of an arrow that has wounded the lung is the exit of frothy blood from the wound ; also the vessels that lie along the neck swell up and the patient changes colour , breathes heavily , and seeks to inhale fresh air very strongly .	e les senhals quan la sageta ha plaglat le pulmo so eyssiment de sanc spumos de la plagua , e les vayssels que so prop del col so apostematz , e es mudada la color del malaute , e expira sperit gran aut , e demanda atraccio de ayre freg .	0.783447
but if the arrow strike the pleura then it will be close to the small ribs and he will breathe deeply with much pain and heaving of the chest , and all parts of his shoulders will be agitated .	e si catz la sageta en le velament le qual es en le pietz , e la dolor lahoras es prop de las costas petitas , e es fayt le ale gran am vehement dolor e am sospir , e no so maugutz totz les membres dels muscles .	0.939182
if the arrow hits the liver , there ensues violent pain , and blood flows from the wound , resembling the liver in its redness .		-0.3
if the arrow strikes the stomach , often undigested food comes out of the wound and renders the case obvious .	e si catz la sageta en le stomac , lahoras fort leu yeys de la plagua vianda alcuna indigesta .	0.531169
if the arrow wounds the belly and is fixed in it , and from the wound there comes excrement or omentum or torn bowel , there is no hope in treatment nor in extracting the arrow .	e si catz la sageta en le ventre , e es ficada en lu , yeys alcuna fenda de la plagua , o la tela , o budel le qual es disromput , e no es speransa en la curacio de lu extraccio de la sageta .	0.765293
