chapter ninety-five .	de fleubotomia de las venas .	0.975
	las venas de fleubotomia de las quals corr costuma de fleubotomar so . xxx . ,	-0.3
on venesection .	de las quals so en le cap . xvi . ,	0.83
the blood-vessels in the body which it is customary to open are thirty ( two ) in number . ~~~ there are sixteen of them in the head , and they are : two pulsating vessels behind the ears that are called the two occipitals ; the two external arteries in the temples ; and the two veins in the two internal angles of the eyes , called the vessels of sight ; and the vein running up the middle of the forehead ; and the vein situated at the tip of the nose ; and the two jugular veins in the neck ; and the two veins in the upper lip and the two in the lower lip ; these being the veins known as 'the four vessels' ; and two veins beneath the tongue .	so es doas venas pulsatils las quals so aprop las aurelhas , dic alhasisain ; doas herbas que so en les dos templars apparentz ; e doas venas que so en dos lacrimals de dos huels que son appeladas aspicientz ; e la vena preparada en le mieg loc del front , e la vena que es en la extremitat del nas ; e doas guidegi que so al col ; e doas venas que so en la labia desus ; e doas venas que so en la labia dejos ; e — aquestas so las venas que so appeladas algelic — ; e so doas venas que so dejos la lengua .	0.352133
as for the veins that are bled in the arm and hand , they are five .	mays las venas que so fleubotomadas en les brasses so . v . ;	0.47551
one is the cephalic , which is on the outer side ; popularly they call it the 'headvein' ; then there is the 'blue-black' , that is , the median vein , which is made up of a branch from the basilic and a branch from the cephalic ; popularly they call that the 'body-vein' ; then the basilic vein ; this is the one situated on the inner side and is termed also the axillary vein , but popularly it is called the 'belly-vein' ; and then the cord of the arm ; this is situated over the radius and is the one that is contiguous to it ; this is the one that is clearly visible on the thumb .	quar de aquelas es una cephalica , e es deves le latz silvestre ; e le poble appela “la vena del cap” , e sorda , e es vena migiera , e es composta de un ram de la basilica , e de autre ram de la cephalica ; e nomna aquela le poble “vena de tot le cors” , e basilica es vena la qual es pausada en le latz domestic , e es nomnada “citillar” , e nompnan aquela les vulguars “vena del ventre” ; e funis del bras , e es pausada sobre le focil , e es aquela en la qual es fleubotomat , e es aquela que appar sobre le poutz per apparicio manifesta ; e salvatella , e es la vena que es entre lo dit auricular e·l pus petit dit , e so en lu dos ramps .	1.22869
	e en le pe e la camba so tres venas ; la una de aquelas es que es dejos la curvatura del denolh del latz silvestre ; e la segonda es sophena , e·l loc de lu es dejos la camba del latz domestic ; e la vena sciatica , e·l loc de lu es dejos la camba del latz silvestre ; e en la camba son autras venas semblantz ad aquelas .	-0.3
and the salvatella which is the vein between the little and ring fingers ; it has two branches .	le juvament de las venas que so aprop las aurelhas es a cataris antics e emigranea e sahafati e ulceracios del cap malas antiquas .	0.939873
there are also three veins in the leg and foot ; one of these is the sciatic vein on the outer aspect ; the second is the saphena situated near the heel on the inner aspect ; and there is the external saphena situated near the heel on the outer aspect .	e la qualitat de sagnar aquelas es segon que yeu recomti a tu : es que sia ras le cap del malaute , e sia freguat le cap del malaute en le occipiti en le loc de amdoas las venas am drap ample am bona fricacio ; aprop strenha le malaute le sieu col am una benda entro que apparan las doas e les locs de lor so aprop las aurelhas en dos locs depremegutz del cap ; e quereys aquela am le tieu dit , e si tu sentes le pols de aquelas am le dit tieu , aqui senha am tenta .	0.964774
and there are three veins , counterparts to these , in the other leg .	aprop tu pren la lancea cutellar , e es aquela que es inscident , e aprop tu intromet aquel dejos la vena en la codena entro que·l fleubotomi vengua al os .	0.874342
venesection of the two veins behind the ears .	e aprop eleva la tua ma am la vena e la codena a las partidas desus e inscideys la vena am inscizio inscident .	1.11538
