on cupping and the manner of employing it .	de ventozacio e de las qualitatz de uzar de aquelas .	0.833333
cupping-vessels are made of horn , wood , bronze , or glass .	ventozas so de corns , o de eram , o de veyre .	1.25476
cupping is carried out in two ways : one with scarification and drawing blood , and the other without scarification .	e ventozacio es fayta segon doas manieyras : la una de lor es am scarificacio e extracio de sanc , e l’autra es ventozacio ses scarificacio .	1.33581
the latter , cupping without scarification , may be carried out in two ways : with fire and without fire .	e aquesta ventozacio que es ses scarificacio es segon doas manieyras , quar o es am foc o ses foc .	0.955568
the points at which cupping with scarification and extraction of blood is performed are fourteen places in the body : the occiput , which is the back of the head ; the interscapular region , which is the middle of the back of the neck ; the two sides of the neck , equally on both sides ; the chin , that is , beneath the lower jaw ; the two shoulders ; the coccyx , at the base of the tail ; the antibrachium , the middle of the forearms ; the two legs ; and the two heel-veins . ~~~ what cupping does is to draw blood out of the fine vessels dispersed over the flesh ; for this reason it does not cause the strength to decline as does venesection ; nor may you use cupping , either with fire or without fire , in any disease due to plethora , until the whole body has been evacuated .	e a las ventozas que so administradas am scarificacio e extraccio de sanc son xiiii locs del cors , dels quals la un en lo qual so pausadas ventozas es alnocrati , e es la deriera partida del cap ; e le mieg loc d’el de doas partz del col ensemp ; e ventozas del mento dejos la mandibula pus dejos de la boca ; e ventozas de doas spatulas ; e ventozas de alohoster , e es sobre la fi de la coeta ; e ventozas de dos focils , e so de dos brasses ; e ventozas de doas cavilhas ; e ventozas de doas cuoyssas .	0.469277
if disease or custom prescribe cupping we may apply it at any hour , at the beginning or end or middle of the month , at whatever time it may be .	e ventozacio no extratz le sanc sino de las venas menudas sparssas en la carn , e per aquo no catz la vertut per aquelas , ayssi cum es cazement per fleubotomia ; ni no cove que ventozacio sia fayta am foc o ses foc en alcuna malautia fayta per replecio entro que le cors tot sia evacuat .	0.727273
for there are some people who , when there is an abundance of blood in them , so as to need cupping , feel heaviness and pain in the head .	mays si necessitat provoca a ventozacio per malautia o per continua , aministrem aquela en tota hora al comensament del mes e en la fi de lu , e en le mieg loc de lu e en qualque temps sia .	1.03193
some find they have a fullness and redness of the face and also of the head and neck ; some have an itching in their face and forehead and a dimness and irritation in their eyes . ~~~ there are some who scratch the places where the cupping-vessels are applied ; some laugh immoderately ; some find a taste of blood in the mouth , and the gums swell up and they spit blood ; some sleep overmuch ; some frequently dream of seeing blood and redness and murdered men and wounds and the like .	la qual causa es quar dels homes es en les quals es sanc multiplicat entro que indigeys de extraccio de lu per ventozacio e atroba en le sieu cap graveza e soda ; e de aquels es que atroba replecio e rogor en la sua cara e en le sieu cap , e en le sieu col ; e de aquels es que atroba pruziment en la sua cara e en le sieu front e tenebrositat e hebetut en les sieus huels ; e de aquels que gieta le loc de la sua ventozacio ; e de aquels es que le lor ris es multiplicat ; e de aquels es que atroba gustament de sanc en la sua boca , o que la lengua es apostemada e escup sanc ; e de aquels es que lor dormir es multiplicat , e de aquels que vetz sanc en lo dormir rogor e antics e plaguas e autras causas a lor semblantz .	0.595368
so when we see anything of this kind , and especially if it be in the middle third of the month , we thereupon prescribe cupping after the second or third hour of the day has passed .	e donc quan vezes en alcuna causa de aquelas , e propriament si es en le tertz o miga del mes , lahoras comandam ventozacio esser fayta pus que so passadas del dia dos o tres horas .	0.91333
the effect of cupping the nape of the neck is to help in heaviness of the head and in a fluxion of humours into the eyes ; but it should be done after a complete evacuation of the body .	e juvament de ventozacio de la nuca es que quan aquela confereys a gravitat en le cap e ad aquo que es efondit als huels ; mays cove que aquo sia aprop evacuacio de tot le cors .	0.671939
this use of cupping may take the place of venesection of the cephalic vein .	e aquesta ventoza es en le loc de fleubotomia de la cephalica .	1.09368
