chapter one .	capitol primier .	0.95
in which is given the necessary compendious preliminary information on fractures .	summae et collectiones ex esse fracturae ossium , ex eis quarum praemissio necessaria est , antequam incipiamus rememorationem membrorum fraftorum et diversorum si uniuscuiusque .	0.180769
before we begin to speak of the fractures and dislocations of individual members we must , as an introduction to this book , give the general and particular information which compels your understanding and your being versed in it ; both you and anyone else beside who is eager to learn this noble art .	cove donc que diguam en le prohemi de aquest capitol las summas del sermo ; e les capitols al entendament dels quals en le comensament es forsat le artifexs e a stacio sobre la veritat de aquels ; so es vos e aquels que so promptz que sapian o aprenguan aquesta art nobla autres de vos .	0.867303
so i say that when anyone has sustained a fracture or dislocation or luxation or fall , you should first hasten to venesect him , or get his bowel open , or both , if there be nothing to hinder such as physical weakness , or unless it be a small boy or a very old man to whom an accident of this kind has happened ; or unless the weather be excessively hot or cold .	e donc dic que quan accideys a alcu fractura o dislocacio o torcio o cazement , lahoras cove que tu te coytes al comensament am fleubotomia o aleyar aquel , o quascu ensemps , si no prohibeys alcuna causa , ayssi cum debelitat de vertut , o es aquel al qual accideys effant , o viel en decrepitat , o es temps de vehement calor , o de vehement freg .	0.830991
next , let his diet be restricted to cold vegetables and the flesh of fowl and kids ; he is to be forbidden wine and rich meat and gluttony and all foods that fill out the blood-vessels , until you are sure that there is no abscess and see no reason to suspect a flux of matter to the place .	e aprop sia content en vianda sieua de erbas frejas e de carns de auzels e de crabotz ; e prohibem carns grossas e umplir si de viandas e de tota vianda que umple las venas de sanc , entro que siras segurat de apostema caut , e si no temes efusio de materia al membre .	0.84233
then let the patient return to his former diet according to his custom .	e lahoras retorne le malaute al sieu regiment primier am le qual corr costuma de lu .	0.85
when the broken bone has begun to mend , the patient should be nourished with very nourishing food , fat , strong , having some glutinous property , such as porridge , rice , heads , trotters , the tripe of cows , eggs , fresh fish , heavy wine , and the like ; for on this diet the mending of the fracture will be quicker and better .	e donc cum le os trencat comensa esser restaurat , lahoras cove que·l malaute sia pascut de viandas nutritivas de nutriment mot e gros e greu en les quals sia viscositat , ayssi cum so viandas faytas de froment cueyt am aygua , e ris , e caps , e pes , e ventres de vacas , e huous , e peys fresc , e vi gros e semblants ad aquels , e am aquest regiment es fayta coagulacio de fractura pus leugierament e miels .	1.37231
	e sapias que les osses trinquatz quan so en les homes que so en la primiera vilura e en los decrepitz , no es possible que sian continuatz e sian consolidatz segon lur natura per la exsiccacio dels membres de lor .	-0.3
you should know that fractures occurring in mature and old people cannot join and mend into the original condition , on account of the dryness and hardness of their bones ; though any bones that are extremely soft , like those of infants , may make a union and heal .	e son consolidatz e continuatz segon lor natura tot temps per la exsiccacio de aquels membres , e so continuatz e consolidatz aquels que so de lor en la fi de la lenitat , ayssi cum les osses dels petitz effantz .	0.91964
yet nature produces around the bone on all sides something like glue , with a certain viscosity , with whose help it joins , and it binds so that one part adheres to the other and they are linked to one another until it be good and firm as it had been before ; so that there is no impediment to any of its functions .	mays empero natura ajusta e amnecteys sobre le os trencat de tota partida alcuna causa semblant a glut en le qual es grossitut que adhereys e strenh aquel entro que so ensemps conglutinatz e liatz ensemps , entro que venen la fi de fortitut e de fermesa , ayssi cum foc al comensament , entro que denguna causa no prohibeys aquel de las suas obres .	1.02325
it is on this account that the patient's food should be the sort that has solidity and glueyness and thickness , as we have said .	e per aquesta causa es necessari que pauses las viandas del malaute , viandas en las quals so gravitat e viscozitat e grosseza , ayssi cum havem dit .	1.02966
you should know that there are as many different types of fracture as there are members .	mota diversitat de fractura segon diversitat del membre .	0.456
thus a fracture of the leg bone differs from a fracture of the cranium ; and a fracture of the breast bone differs from a fracture of the bone of the back ; and similarly there are differences among the other parts .	e sapias que las specias de fractura son diversas segon la diversitat dels membres , quar fractura del os de la camba es diversa de la fractura del os del cap ; e la fractura del os del pietz es divers de la fractura del os del dos ; e semblantment totz les autres membres son diverses entre lor .	0.73574
we shall give an exposition of each kind of fracture , each in its own chapter and distinguished from the others .	e yeu venc am rememoracio de tota specia de fractura , expausada en le sieu capitol distincta del autre .	1.27586
