chapter twelve .	capitol . xii .	1.00385
on setting a fracture of the forearm .	de restauracio de fractura del bras .	0.675
the forearm consists of two bones and is sometimes called 'the two firesticks' . ~~~ one of these bones is small and is in line with the thumb , the other is large ; this is the one placed lower , under the smaller one .	bras es compost de dos osses les quals so appelatz dos focils ; dels quals la un es petit , e es aquel que siec le dit pous , e l’autre es gran e es aquel le qual es pausat dejos le petit dit , de la partida pus dejus .	0.323713
the larger alone may be broken , or the smaller alone , or both broken together .	e fort leu es trencat le focil major solament , o le petit , e fort leu son trincatz ensemps .	1.09242
when the small upper bone ( radius ) is broken it is easy to set and its mending is rapid .	e quan es trencat le focil petit desus , lahoras la restauracio de lu es leugiera , e la sanacio de lu es pus leugiera .	0.609091
when the lower bone ( ulna ) breaks it is bad and its mending is difficult .	e quan es trencat le focil de lu dejos la fractura de lu es mala , e la sanacio de lu es dificil .	0.72623
worst of all is when both bones break together .	e pus mala de aquela es quan son trencatz dos osses essemps .	0.770455
if the broken bone is the radius , the doctor when setting it must use light traction , gently , until he has it straight .	donc si l’os le qual es trencat es le focil petit desus , lahoras es convenient al metge , deves la restauracio de lu , que pauze petita extencio am facilitat entro que aquel sia engualhat .	0.79697
if it is the ulna that breaks , he must employ stronger traction on it .	mays si le focil gran es aquo que es trincat , lahoras cove que pause extencio pus vehement .	0.559838
if both bones break he must employ very strong traction .	e si les dos focils so ensemps trincatz , lahoras cove que tu pauses la extritura mot pus fort .	0.8625
during setting and extension the hand must be disposed on a cushion , spread out with the thumb uppermost , higher than all the fingers , and the little finger downmost , while the patient sits cross-legged upon the floor .	e cove que pauses la figura de la ma deves la restauracio de lu e la extencio de lu estenduda sobre un coyssi , e sia le pols de la ma a las partidas desus , pus aut que totz les autres ditz , e le dit auricular sia pus bas dels autres ditz , e le malaute sia cezent sobre una cezela cayrada .	1.15357
the cushion should be on a level with him so that he does not suffer discomfort .	e sia un coyssi denant lu en la altetut o endreyt de lu , per so que·l malaute no encorra trebalh .	0.907576
then let an attendant extend the arm from below , either by hand or by means of a band , while another attendant extends it from above similarly .	e aprop le ministre extenda le bras de la partida pus dejos am la sieua ma o am liament , e autre ministre extenda desus semblantment .	0.704026
then the doctor may straighten the bone so as to restore it to the best possible shape .	e aprop le metge engualhe le os entro que redugua aquel segon la milhor figura que pot .	0.773684
if there be any splinters in the fracture he must do his utmost to restore each splinter to its place .	e si en la factura del os so satagias , lahoras te perforsa raduzir tota pessa en le sieu loc am la tua vertut .	0.827597
if a detached splinter appears there and is piercing the skin and you have no hope of restoring it , cut down upon it and remove it in the manner we have mentioned earlier .	e si appar en lu satagia separada que punh la codena e no es a tu speransa en la restauracio de lu , lahoras tu fen sobre lu e osta aquela segon la manieyra la qual havem dita desus .	0.872619
if the fracture is accompanied by a wound , we have devoted a separate section to this , so take the treatment of it from there .	mays si la fractura es am plagua , yeu ja he fayt ad aquo capitol singular , e donc pren la curacio de aquel .	0.702918
if , when you begin to set the bone , an effusion occurs , smear a cloth with the wax made from oil of roses and white wax , of medium thickness , and bind the dressing on gently .	e si accideys apostema caut al comensament de la tua restauracio , lahoras tu lineys un drap am cerot fayt de oli rozat e cera blanca , e sia migier entre specitut e subtilitat , e strenh drap sobre aquel am strictura subtil entro que le apostema sia cedat ; e lahoras remau le cerot e pausa emplastre preparat de polvera de moli am clayre de huou , e aprop pausa stelhas ; e sia la stela la qual es pauzada sobre aquela fractura pus lada e pus fort .	0.93066
when the effusion subsides , remove the wax and apply the plaster prepared from mill-dust and egg-white , then apply splints ; the splint that goes on the actual fracture should be a little wider and stronger than the rest .	e sapias que·l nombre de las stelas del bras so vi en las majors disposicios , o sia la fractura en un focil o en dos focils ensemps .	0.381308
you should know that the number of splints for an arm is , as a rule , six , whether the fracture be of one bone or of both together .	e aprop pausa la tua strictura sobre le loc de la fractura pus fort e pus vehement , e quan mays sira la extrictura a las partidas desus de la fractura o a las partidas pus bassas de lu , pausa la strictura un pauc pus molh segon que es precedida la rememoracio de lu en le comensament del capitol .	0.570536
then bandage more tightly and strongly over the site of the fracture , and , as you wrap the bandage above and below the fracture , bind little by little more loosely according to the instruction given at the beginning of the book .	e les draps que so envolopatz sobre la fractura sian draps mols humitz , e no sian durs ni aspres , e·l fiel am le qual es strenhut sia de li propriament migier entre subtil e gros , ayssi cum havem recomtat .	0.737987
the dressings wound round the fracture should be gentle and soft , not very hard , while the cord for binding is best made of linen of medium thickness as we have prescribed .	e considera le membre e·l liament aprop alcus dias .	0.170455
some days later , examine the limb and the bandaging and if anything has happened that should be put right , such as pruritus in the limb , the limb should be bathed in warm water until the pruritus has subsided .	e si accideys alcuna causa de la qual rectificacio es necessaria , ayssi cum prusiment le qual accideys al membre , e lahoras cove que tu enbroques le membre am aygua cauda entro que cesse aquel pruziment .	0.833167
let the limb be unbandaged for one night so that he may rest , then put the bandage on again .	e leysses le membre no costreyt entro que repause , e aprop torna la strictura .	1.31791
if the bandaging has become loose and the bone has shifted or anything of that sort , correct it all diligently .	e si la extrictura ja es mollificada e l’os ja es remaugut e semblantz ad aquels , lahoras rectifiqua tot aquo am la tua vertut .	0.913464
look also to see if nourishment is being prevented from reaching the part on account of over-bandaging , in which case you will have to loosen it a little and leave it for a few days until nourishment flows to it ; then bind it up .	e considera mays si le nutriment es prohibit pervenir al membre per superfluitat de strictura , quar lahoras cove que mollifiques aquel un petit e laysses aquel per alcus dias entro que corra ad aquel le nutriment , e aprop strenh aquel .	0.76123
but if none of those things that we have mentioned happens to the patient , it should not be loosened until after about twenty days .	mays si al malaute no accideys alcuna causa de aquelas que havem ditas , lahoras no cove que sia desliat entro aprop xx dias o enviro de aquels .	0.719674
then the patient's hand is to be suspended from his neck , the arm being level , and he should guard carefully against agitated movements , and should sleep on his back .	e aprop sia suspenduda la ma del malaute per la sua vertut de movement agitatius , e fay aquel dormir sobre le sieu dos .	0.751413
you should know that this fracture of the arm mends in thirty or thirty-two days , and sometimes in twenty-eight , depending on the individual's constitution and the condition of his strength .	e sapias que aquesta fractura es restaurada en xxx dias o en xxxii dias , o fort leu es restaurada en xxviii dias , e tot aquo es segon la disposicio de las compleccios e las disposicios de la vertut .	0.917647
		0.3
