chapter two . ~~~ on a fracture occurring in the head .	capitol segon : de fractura quan accideys en le cap .	0.333333
the kinds of fracture occurring in the head are many , of various forms and differing causes .	las specias de fracturas son motas , e las figuras de lor son diversas , e las causas son distinctas , quar de fracturas alcuna es fayta per percussio de spaza , e la percussio osta tot le os entro al ciphac , le qual es dejos le os , ayssi cum fay ayssa en le fust , e per aquo aquesta specia es nompnada ascial ; o la spaza inscideys alcuna partida del os , e inscideys la carn de lu e no passa la inscizio entro al derier de lu ; e aquesta specia de fractura es nompnada levatio absoluta .	0.517206
some fractures are due to a sword-stroke which may cut right through the bone and reach the membrane beneath the bone , like an adze-cut in wood , for which reason this kind of cut is called 'ascial' .	e la plagua de aquestas doas fracturas o es gran o pauca , e de fractura que es contricio o atricio ; e causa de lu es percussio am poyra o cazement sobre peyra , e a lor semblantz .	1.08333
or the sword may cut through part of the bone , only slicing through the surface and not reaching the depth ; this kind is called an absolute avulsion .	e aquesta fractura o es penetrant que ja apropinqua al pannicol le qual es dejos le os ; o es en la facia del os , e la plagua de aquestas doas fracturas o es gran o pauca .	0.948387
the wounds in these two fractures can be either big or small .	e de fractura es que es ameguada en le os , en la subtilitat del cabel petita , e per aquo es nompnada aquesta specia fractura capillar .	0.804202
there are also some fractures accompanied by smashing or crushing ; such as by a blow from a stone or by falling on a stone , and the like . ~~~ a fracture of this kind will be either penetrating , reaching the membrane beneath the bone ; or superficial ; the wound in these two fractures may be either big or small .	e es fractura que es fayta o per cazement o per percussio de peyra e a lu semblantz , que fa intrar alcuna lamina del os a las partidas dedintz , e es fayta en le loc concavitat ayssi cum accideys als payroles de eram quan accideys a lor percussio e es partida de lor intrada a las partidas dedintz .	0.47578
then there is a type of fracture that is hidden in the bone , as fine as a hair , a thin crack ; therefore this kind of fracture is called 'capillary' .	e majorment es fayt aquo en les cors de osses humitz , ayssi cum so caps de efantz .	0.658209
there is a fracture due to a fall or a blow from a stone and the like , making a dent in the surface of the bone and a hollow at the site as occurs in a bronze bowl when a blow falls on it and a portion of it is pushed in .	e so a totas aquestas specias fracturas satagias , so son pessas ayssi cum stelhas separadas .	0.6173
this mostly occurs in heads whose bones are soft , as those of children .	e yeu vindre am reremoracio de tot aquo en son loc .	0.863736
any of these kinds of fracture may also have splinters , jagged or otherwise ; we shall deal with the treatment of all these in their place .		-0.3
all these kinds of fracture are diagnosed by laying them bare and investigating them with probes and removing all the lacerated tissues over them .	e conoyssem totas aquestas specias de fractura per deteccio sobre aquelas e per inquisicio de lor am tentas e ostament de carn corrumpuda que es sobre lor .	0.977792
the 'capillary' kind is diagnosed by laying bare the bone , wiping it clean , and rubbing ink on it , when the fracture will appear black .	e specia capillar es conoguda per aysso que es descubert sobre le os , e es abstergit , e linit sobre lu am tentha , quar la fractura appar negra .	1.11431
