chapter thirty-one .	capitol . xxxi .	0.942857
on the treatment of a dislocated hip .	de curacio de anca dislocada .	0.659341
you should know that a complete dislocation alone is sustained by the hip and shoulder joints ; they do not sustain the lesser displacements , with concavity , as do the other joints .	sapias que la junctura del ancha e la junctura del muscle no endeve sino dislocacio tant solament , e no accideys ad aquelas aquo que accideys a las autras juncturas de petita remocio e concavitat .	0.790602
now the hip joint is dislocated in four directions , interior , exterior , posterior , and anterior .	e la junctura de la ancha es dislocada segon quatre manieyras , quar es dislocada a las partidas dedintz , o a las partidas defora , o a las partidas denant , o a las partidas detras .	0.971429
most commonly it is dislocated interiorly ; and rarely is it dislocated anteriorly or posteriorly .	e majorment es dislocada a las partidas dedintz , e pauc a las partidas denant o a las partidas detras .	0.829412
the indication of an internal dislocation is that when you compare the patient's sound leg with the injured leg it will be longer and the knee will be prominent as compared with that of the sound leg ; nor will it be possible for the patient to flex the foot back on the groin ; and there will be an obvious swelling near the groin because the head of the femur has moved there .	e senhal de la dislocacio de lu a las partidas de dintz es quar , quan tu ajustas la camba del malaute sana am la malaute , es pus longua e·l denolh es pus heminent que de la sana , e·l malaute no pot doblar le sieu pe deves le lenguonar , e es le loc que siec le lengonar apostemat de apostema caut , per so que·l cap de la coyssa ja es pervengut aqui .	0.428862
the sign of the occurrence of an external dislocation : the symptoms will be the exact contrary to these .	e·l senhal de aquel al qual accideys dislocacio es a las partidas defora , es que les accidentz de lu so contraris ad aquest accident .	0.364448
the sign of an anterior dislocation is that the patient can stretch his leg out fully but cannot flex it without feeling pain in the knee ; and if he tries to walk he will be unable to walk forward ; and he has retention of the urine and his groin swells , and in walking he hobbles upon his heel .	e senhal de aquel al qual accideys dislocacio a las partidas denant es quar expan la camba sieua segon compliment , mays empero no dobla aquela ses dolor que es en le denol , e si se perforsa ad anar e no pot sobre aquo a las partidas denant ; e la urina de lu es retenguda e l’engonar de lu es apostemat , e deves la ambulacio de lu sobre le talo .	0.631793
the sign of a posterior dislocation is that he cannot extend the knee , nor can he flex it before flexing the hip ; also the leg will be shorter than the other , the groin will be relaxed , and the head of the femur will be evident at the lumbar region .	e senhal de aquel al qual accideys dislocacio a las partidas detras es que no expande le denol , ni no puesca doblar aquel denant que doble le engonar , e la camba de lu es pus breva que l’autra , e l’engonar es mollificat , e·l cap de la coyssa es deves aquel loc .	0.776058
as to the reduction of the various forms of this dislocation , you must examine the case and if it be an old dislocation which the patient has suffered from for a long time and the reduction of which has not been contrived and which remains as it was , there is no treatment for it at all , nor should any be attempted .	mays reduccio de las specias de aquesta dislocacio es que tu consideras , lahoras , si la dislocacio es vetusta et antiqua , que ja es anticada am le havent aquela aprop tu aministras reduccio de lu e roman segon la sua disposicio , lahoras no es en aquela curacio de tot ; e adonc no cove que en aquela sia fayta prosompcio .	0.707213
but in that case whose dislocation is recent , whichever of the four kinds of dislocation it be , hasten to rotate the joint and extend it internally and externally and move it to the right and the left ; for often it will return and no further treatment will be needed .	mays en aquel del qual la dislocacio es recent , e es una de las quatre specias de dislocacio , lahoras te coyta ad aquo que volvas la junctura e extendas aquela a las partidas dedintz e a las partidas defora , e mau aquela a la dextra e sinistra , quar fort leu retorna e no indigeys de autra cura .	0.939394
