chapter five .	capitol . v .	0.995455
on the repair of a broken collar-bone .	de restauracio de la furcula quan es trinquada .	0.560606
the collar-bone is very often broken from the end of the humerus anteriorly , and the fracture of it may be in one of three ways .	motas veguadas es trencada la furcula de la partida denant deves le muscle , e aquela fractura es fayta en una de tres manieyras .	0.871209
it may be broken and separated into two without splintering ; this is the easiest to repair . ~~~ or else splintering occurs , which is most difficult to repair . ~~~ or it is a compound fracture .	quar o es trencada , o seperada , o es seperada en doas partz otra que no accidan satagias ; e es leugier a la restauracio de lu ; o es ayssi que accideysso en lu satagias , e es dificil a restauracio de lu ; o es ayssi que la fractura es am plagua .	0.0626923
when it is a simple fracture the operation involves having two assistants present ; one of them to hold steady the arm adjacent to the fractured clavicle , and the other to stretch the neck in the opposite direction .	e la operacio en aquela , quan la fractura es ses plagua , es que tu fassas esser present dos ministres , per so que la un tengua le adjutori e siegua la furcula trencada , e l’autre extenda le col ves aquela partida .	0.805338
then level the fracture with your fingers until it is reduced to its proper form and there is neither prominence nor concavity .	e aprop enguala la fractura am les tieus ditz entro que sia fayta la forma de lu segon que cove , e no sia en lu eminencia pauca ni concavitat .	0.65257
if there is need of still greater extension , place in the armpit of the patient a ball of cloth or wool made to a suitable size ; and stretch and lift up the clavicle and squeeze the roll with your hand until the fracture is set in the proper way .	e si indigeysses mes de extencio , lahoras cove que pauses dejos le titillic del malaute spera de drap o de lana , e sia la grandesa de lu segon la quantitat de la tua necessitat ; e exten e eleva la furcula e coarta la spera am la tua ma entro que enguales la frectura segon que cove .	0.765715
if you are unable to draw the extremity of the clavicle outwards on account of its being depressed , the patient will have to lie on his back and there must be put under his shoulder a medium-sized bolster .	e si no podes atirar la extremitat de la furcula a las partidas defora , per so quar es pervenguda al preon , lahoras cove que·l malaute sia ressupinat sobre la sua cervitz , e pauses sobre le muscle de lu un coyssi migier en grandeza .	0.699971
the assistant is to press the shoulder down until the depressed collar bone is elevated , and then you can set the fracture and even it out with your fingers .	e le ministre prema le muscle de lu a las partidas dejos entro que l’os de la furcula sia elevat que es en le preon en sus , e lahoras tu rectifique la fractura e enguala aquela am les tieus ditz .	0.706442
if you feel a splinter separated from the clavicle and movable , you must cut down upon the splinter and gently remove it .	mays si sentes satagias de la furcula e so maugudas , lahoras cove que fendes sobre aquela e extraguas aquelas satagias am facilitat .	0.747327
if the splinter sticks to the bone , you must contrive to cut it with one of the chisels you have prepared for that , having first put beneath the clavicle the instrument to protect the membrane ; an instrument made of wood or iron , of which this is the figure .	e si es retenguda en le os , lahoras tu ingenia inscisio de lu am un dels inscissoris les quals has apparelhatz ad aquo , pus que havias pausat dejos la furcula le sturment que serve le ciphac ; e es sturment de fust o de ferr del qual aquesta es la forma de lu :	0.629027
