¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Qualitas autem Phlebotomiae, et accidentia eius ex ea, in cuius rectificatione oportet te cogitare.	The nature of bloodletting and its complications, about which you must think to correct.
Primum ergo illius est de quo oportet ut scias, quod phlebotomia non administratur, nisi in conseruatione sanitatis, et perseuerantia eius, et cautela ab aduentu aegritudinum.	Firstly, you must know that bloodletting is only practiced for the preservation of health, its persistence, and as a precaution against the onset of diseases.
Et ut fiat phlebotomia in una uenarum trium quae sunt in cubito, scilicet Cephalica, et Fusca, et Basilica.	And so that bloodletting may be done on one of the three veins in the elbow, namely the Cephalic, the Dark, and the Basilic.
Et ut fiat phlebotomia in principio Veris super ieiunium, in uere, et aestate: et autumno, et hyeme post comestionem, quando apparent significationes repletionis.	And so that bloodletting may be done at the start of Spring before fasting, in spring and summer, and in autumn and winter after eating, when signs of fullness appear.
Et fiat phlebotomia in die primo, aut in tertio, postquam praeterierint de die tres horae.	And let bloodletting be done on the first or third day, after three hours have passed since daybreak.
Phlebotomia autem quae administratur in aegritudinibus, non habet horam determinatam: sed quando prouocat conuenientia et necessitas ad illud, in nocte, aut die, et in omni hora, et in omni tempore.	However, bloodletting practiced in illnesses does not have a fixed hour; rather, when convenience and necessity call for it, it may be done at night, or day, and at any hour, and at any time.
Et non oportet, ut phlebotomentur pueri, donec ueniant super eos quatuordecim anni.	And children should not be bled until they have reached fourteen years of age.
Neque phlebotometur mulier praegnans, nisi a mense quarto usque ad septimum.	Nor should a pregnant woman be bled, except from the fourth to the seventh month.
Neque phlebotomentur senes, qui iam pertransierunt sexaginta annos.	Nor should the elderly, who have already passed sixty years, be bled.
Cum ergo aliquis uult phlebotomari propter quemcumque modum sit: oportet, ut mundificet intestina sua ante phlebotomiam cum clisteri leni, si in eis est stercus multum retentum: ut non attrahant uenae apud phlebotomiam ex intestinis superfluitates putridas nocentes membris principalibus.	Therefore, when anyone wants to be bled for any reason, they should cleanse their intestines before bloodletting with a gentle enema, if much stool is retained, so that the veins do not draw from the intestines putrid superfluities that harm the principal organs during bloodletting.
Neque phlebotometur patiens toctina, id est, satietatem nauseatiuam: neque crapulatus, neque euadens ab ebrietate, donec remoueatur illud ab eis.	Nor should a person suffering from toctina, that is, a nauseating fullness, nor a gluttonous one, nor one recovering from drunkenness, be bled until these conditions are cleared from them.
Neque infirmus cum hydropisi.	Nor should a person sick with dropsy.
Et caueatur phlebotomia iterum post colicam passionem, et uomitum, et fluxum uentris, et multiplicationem coitus, et laboris, et exercitii, et uigiliarum, et ieiunii, et omnis quod dissoluit uirtutem ex re corporea aut animali.	And bloodletting should also be avoided after an episode of colic, vomiting, diarrhea, excessive intercourse, labor, exercise, wakefulness, fasting, and anything that depletes strength from the body or mind.
Deinde considera in subtilitate humorum ante illud, si sanguis est grossus cum cibis et potibus, et medicinis: si possibile est ei illud.	Then consider the subtlety of the humors beforehand, if the blood is thick from foods, drinks, and medicines: if that is possible for him.
Deinde introeat balneum, si non prohibet ipsum aliquid: aut exercitetur aliquo exercitio, ut subtilietur sanguis.	Then let him enter the bath, if nothing prevents it; or engage in some exercise, to make the blood more fluid.
Et pone phlebotomiam eius in pectore, circa tertiam diei, sicut diximus: et conare, ut euacuetur pectus eius illa die ex omnibus accidentibus animalibus malis: sicut angustia, et ira, et timor: et ex omnibus accidentibus corporeis, sicut labor, et poena, et superfluicoitus, et illis similia.	And place his bloodletting in the chest, around the third hour of the day, as we said: and strive so that his chest may be cleared that day of all harmful emotional occurrences, such as distress, anger, and fear; and of all physical events, such as labor, pain, excessive intercourse, and similar things.
Et sedi suae faciat esse praesentes res cum quarum usu cucurrit consuetudo hominum ex aromaticitate, et odoramento, et tripudio et similibus illis per quantitatem possibilitatis.	And let him have present at his seat things with which people are accustomed to use, such as spices, perfumes, music, and similar items, as much as possible.
Deinde sedeat phlebotomator super puluinari, quod sit altius quam puluinar phlebotomandi: postea extrahat brachium suum, et fricet ipsum phlebotomator manu sua bis, aut ter.	Then let the bloodletter sit on a cushion that is higher than the cushion of the one being bled; afterward, extend his arm, and the bloodletter should rub it with his hand two or three times.
Deinde stringat ligamentum cum corrigia, et inuoluat eam bis.	Then let him bind the ligament with a strap, and wrap it twice.
Et sit strictura temperata, quoniam strictura quando est inaequalis, aut per superfluitatem in strictura, tunc prohibet cursum sanguinis: aut in mollificatione, tunc etiam prohibet cursum sanguinis.	And let the binding be moderate, for when the binding is uneven, or too tight, it then hinders the flow of blood; or if too loose, it also hinders the flow of blood.
Deinde post stricturam oportet, ut fricet phlebotomandus manus suas simul adinuicem, donec inflentur uenae, et declarentur sensui.	Then, after binding, the one to be bled should rub his hands together until the veins are engorged and visible to the touch.
Deinde abstergat phlebotomator phlebotomum cum pauco oleo, antiquo proprie.	Then the bloodletter should wipe the lancet with a little aged oil.
Deinde ponat digitum suum indicem manus sinistrae super ipsam uenam sub loco cuius phlebotomiam uult, parum: ut non fugiat uena, et cassetur percussio.	Then he should place the index finger of his left hand slightly on the vein itself below the spot where he intends the bloodletting, so that the vein does not slip away and the incision misses.
Quoniam ex uenis est quam inuenis sicut chordam fugientem apud phlebotomiam: et ex eis est quae est plena uentositate: et quando ponis phlebotomum super eam, contrahitur sub phlebotomo, et decipitur phlebotomator, et non aperit phlebotomus uenam: et si aperit eam, est stricta: propter illud ergo oportet, ut firmetur phlebotomator, et sit sollicitus in his rebus omnibus.	For among the veins there are some that you find to flee like a string during bloodletting: and among them are those full of air, and when you place the lancet over it, it contracts under the lancet, deceiving the bloodletter, who then does not open the vein; and even if he does open it, it is narrow. Therefore, the bloodletter must be steady and careful in all these things.
Deinde deponat phlebotomum.	Then he should put down the lancet.
