¶ De restauratione fracturae ossium, quando est cum vulnere.	On the Restoration of Bone Fractures When There is Also a Wound
Caput XX.	Chapter 20.
Conuenit ei cui accidit fractura cum uulnere, praecipue si est magnum, sicut os coxae, aut adiutorii, aut simile illi, ut properes, et phlebotomes ipsum statim: si attestantur tibi conditiones phlebotomiae, sicut praemisimus.	If someone experiences a fracture with a wound, especially if it is severe, like in the hip bone or its support, or something similar, you should act quickly and immediately perform bloodletting if the conditions for bloodletting are present, as previously mentioned.
Quod si uulnus effluit sanguinem, tunc oportet, ut properes ad abscisionem eius, ita ut puluerizes super ipsum zegi tritum: si non est tibi praesens aliud.	If the wound is bleeding, then you must proceed to cut it and apply powdered dried sage over it, if nothing else is available.
Deinde incipe restaurare fracturam in illo eodem die: et non postponas illud, si non accidit apostema.	Then begin to repair the fracture on the same day; do not delay unless an abscess develops.
Si uero accidit apostema calidum, tunc dimitte restaurationem eius usque ad diem nonum, donec sedetur apostema.	But if a hot abscess forms, then postpone the repair until the ninth day, until the abscess subsides.
Et non appropinques ei in die tertio, et quarto omnino, nam tu faceres ei accidere accidentia mala.	Do not approach it at all on the third and fourth days, for you could cause harmful complications.
Si autem os fractum est eminens super cutem detectum: tunc oportet, ut coneris reducere ipsum, et aequare ipsum manibus tuis cum facilitate et extensione parua.	If the broken bone is protruding from the exposed skin, then you must attempt to realign it and level it with your hands with gentle pressure and slight extension.
Si autem non praeparatur extensio eius, et ipsius aequatio manibus tuis: tunc reduc ipsum cum isto instrumento.	If alignment and extension with your hands cannot be prepared, then realign it with this instrument.
Et est instrumentum quod fit ex ferro, cuius longitudo est quantitas septem digitorum, aut octo: et eius latitudo est secundum quantitatem uulneris.	The instrument is made of iron, with a length of about seven or eight fingers, and its width corresponds to the size of the wound.
Et propter illud necesse est medico, ut accipiat ex eis tria, aut quatuor secundum quantitatem qua indiget ad illud ex curatione in omni specie fracturae.	Because of this, the physician needs to have three or four of them, depending on the amount required for treating any type of fracture.
Et sit rotundum: et sit in eo grossitudo parua, ut non duplicetur apud compressionem super ipsum in hora operationis: et sit acutae extremitatis, cui sit margo in extremitatibus suis.	It should be round, with a slight thickness, so that it does not compress under pressure during the procedure; it should have a sharp end, with an edge at its tip.
Et sit superius eius ad grossitudinem ex medietate eius usque ad inferiora.	The upper part should have thickness from the middle to the bottom.
Et haec est forma eius.	And this is its shape.
Oportet in Hac Operatione, ut ponatur extremitas eius acuta curuata super extremitatem ossis eminentis: et impelle ipsum cum eo uice una, donec quando redit os et aequatur quadam aequatione.	In this procedure, the sharp, curved tip should be placed over the protruding bone end and pushed once, until the bone returns and is somewhat aligned.
Conare ergo aequare extremitates fracturae adinuicem.	Try, therefore, to align the ends of the fracture with each other.
Quod si extremitates eius fracta est subtilis, et non accipit eam instrumentum accaeptione bona, tunc opotet, ut incidas extremitatem illius ossis, donec instrumentum potestatem habeat eius.	If the ends of the fracture are delicate and the instrument does not hold it well, then you should cut the end of that bone until the instrument can hold it.
Si uero non potes reducere eos cum eo quod narrauimus omnino, tunc incide ipsum cum eo quod conuenit ei ex Incisoriis quae diximus: aut serra ipsum cum una serrarum quocunque modo possibile est tibi.	If you cannot realign it completely with the method we described, then cut it with the appropriate tool we mentioned or saw it with one of the saws in whatever way is possible for you.
Deinde rade illud quod remanet in osse ex asperitate et corticibus minutis.	Then scrape off any roughness and small splinters remaining on the bone.
Cum ergo reducitur os, et inuenit infirmus post reductionem eius dolorem uehementem laedentem, tunc scias, quod os non rediit ad locum suum naturalem.	When the bone is realigned, and the patient experiences intense, piercing pain afterward, know that the bone has not returned to its natural position.
Fac ergo illud.	Do it, therefore.
Nam tu confers infirmo iuuamentum magnum, cum completur restauratio tua quam facis ossi.	For you provide great relief to the patient when the restoration you perform on the bone is complete.
Tunc submerge pannum in uino stiptico, nigro.	Then soak a cloth in black astringent wine.
Et proprie si est in aestate.	Especially if it is summer.
Et non ponas super uulnus caerotum, neque aliquid in quo sit oleum: ut non faciat accidere in ipso putredinem et corruptionem.	Do not place a poultice or anything containing oil on the wound, to avoid causing rot and decay in it.
Deinde administra astellas in hora complementi tui a restauratione ossis.	Then apply splints at the moment you finish the bone restoration.
Et dimitte uulnus detectum: ita, ut incidas cum forficibus foramen in inuolutionibus secundum quantitatem uulneris.	Leave the wound exposed, making an opening in the bandages with scissors to match the size of the wound.
Et caue omni cautela, ne stringas uulnus cum fractura.	Take every precaution not to tighten the wound with the fracture.
Multotiens enim fecerunt istud stolidi medici: et fecerunt accidere super infirmos suos aut mortem, aut corrosionem, aut zuchem, id est, saniem.	For foolish doctors have often done this and caused death, erosion, or “zuchem” (that is, discharge) in their patients.
Et sit strictura tua mollis, lenis, diuersa stricturae fracturarum reliquarum.	Let your binding be soft and gentle, different from the usual binding for fractures.
Quod si uulnus est malum, aut est uulnus magnum, et times super ipsum quaedam accidentia mala quae narrauimus, et inuenis dolorem in loco suspensum: tunc non oportet, ut ponas super ipsum astellas.	If the wound is severe or large and you fear certain bad complications we have described, and there is pain in the area, then you should not place splints over it.
Et fac eis inuolutiones ex pannis duris in loco astellarum, et stringe ipsum cum eis.	Instead, make bandages from firm cloth in place of splints, and bind it with them.
Cum autem est post diem unum, aut dies duos, et uides uulnus iam incipere, ut in eo generetur pus: tunc aufer desuper ipsum pannum quem posuisti super ipsum cum uino.	After one or two days, if you see that pus is starting to form in the wound, then remove the cloth you placed over it with the wine.
Deinde administra licinia, et unguenta cum quibus de consuetudine nostra est, ut medicemur uulnera: sicut unguentum tetrapharmacon, et similia illi.	Then apply linen bandages and ointments that we customarily use to treat wounds, such as tetrapharmacon ointment and similar ones.
Et conuenit tibi, ut soluas ligamentum.	And it is advisable to loosen the bandage.
Et considera uulnus in omni die mane et uespere, donec consolidetur, et sanetur.	Observe the wound every day, morning and evening, until it stabilizes and heals.
Et oportet, ut praeparetur membrum taliter, ut currat ex eo pus ad inferiora cum facilitate.	The limb should be positioned so that the pus can flow downward easily.
Quod si praetereunt uulneri dies multi, et non consolidatur, neque abscinditur pus ab eo: tunc scias, quod illic sunt satagie ossis parua.	If many days pass and the wound does not heal, nor does the pus cease, then you should know that there are small bone fragments within.
Quare oportet, ut inquiras uulnus cum tenta.	Therefore, it is necessary to probe the wound with a probe.
Quot uero ex illis alsatagie sunt separata, remoue ea, et extrahe ipsa.	Remove and extract any of those bone fragments that are loose.
Et quae ex eis sunt non separata, et pungunt membrum, et faciunt accidere dolorem, conare incidere ea, et auferre ea omni modo quo possibile est tibi illud.	For those that are not loose but pierce the tissue and cause pain, try to cut and remove them by any means possible.
Quod si accidat uulneri zuchen, aut ekileten, id est, estiomenus, aut species alia corruptionis et putrefactionis: tunc oportet, ut opponas unicuique ex eis cum eo quod conuenit ei ex curatione, cuius praecessit narratio in capitulo suo.	If the wound develops zuchen, ekileten (that is, necrosis), or any other form of rot or decay, then you must treat each of these conditions with the appropriate remedy, as previously discussed in its respective chapter.
Et ex eo in quo oportet ut stet sermo meus, et cui facias praesentem mentem tuam quando frangitur os, et eminet super membrum, sicut os coxae, et adiutorii, et similia eis ex membris magnis, est, ut non praesumas attractionem eius, multotiens enim accidit ex illo mors, imo dimitte ipsum, donec putrefiat.	What I must emphasize, and what you should bear in mind when a bone breaks and protrudes over a limb, such as the hip bone or its support, or other large bones, is not to attempt to pull it; often this causes death. Instead, leave it until it decays.
Fortasse enim cadet per se post uiginti dies, aut triginta.	It may indeed fall off by itself after twenty or thirty days.
Tunc ergo cura uulnus, si uidetur tibi: et sinon, dimitte ipsum.	Then treat the wound if you see fit; if not, leave it alone.
¶ De curatione Nodationis in uestigio fracturae.	On the treatment of knotting in the scar of a fracture.
Caput XXI.	Chapter 21.
Multoties accidit haec Nodatio in uestigio sanationis fracturae.	This knotting often occurs in the scar of a healed fracture.
Praecipue, quae est prope iuncturas: et foedatur ex ea figura membri.	Especially when near the joints, it distorts the shape of the limb.
Et fortasse prohibet membrum ab operatione sua naturali.	It may even prevent the limb from functioning naturally.
Considera ergo tunc, si nodatio est recens: administra in ea medicinas quae stipticitatem habent, sicut aloe, et olibanum, et myrrha, et sarcocolla, et acacia, et similia eis.	Therefore, if the knot is recent, apply medicines with astringent properties, such as aloe, frankincense, myrrh, sarcocolla, acacia, and similar substances.
Ita, ut accipias ex istis quasdam, aut omnes eas: et confice eas cum uino stiptico, aut cum albumine oui, aut cum aceto: et pone eas super nodationem in stuppa, et stringe eas super ipsam strictura bona.	Take some or all of these, mix them with astringent wine, egg white, or vinegar, and apply them over the knot in tow, binding them tightly.
Et dimitte stricturam, nec soluas eam diebus multis.	Leave the binding on and do not loosen it for many days.
Deinde solue eam, et itera aliam, donec remoueatur nodatio.	Then loosen it, reapply another, and repeat until the knot disappears.
Aut stringe super ipsam laminam plumbi decenter.	Or bind a lead plate over it firmly.
Plumbo enim est proprietas remouendi omne quod timetur ex membris.	Lead has the property of removing all such concerns from the limbs.
Si autem nodatio iam in lapidem conuersa est, et stricta est, et festine prouocat necessitas ad auferendum eam: tunc finde super eam ex superiori parte eius, et incide superfluitatem eminentem: aut rade eam cum quibusdam rasoriis, donec remoueatur: et cura ipsam, donec sanetur.	If the knot has hardened into stone and is constricting, and there is an urgent need to remove it, then cut it from above and remove the protruding excess, or shave it down with certain rasps until it is gone, and treat it until it heals.
¶ De curatione quando restauratur, et remanet membrum post illud subtile, non secundum naturam suam.	On the treatment when restoration leaves the limb thin and not in its natural state.
Caput XXII.	Chapter 22.
Quando restauratur fractura ossis, et remanet membrum post illud subtile, debile: tunc non fit illud nisi propter caussas multas.	When a bone fracture is restored and the limb remains thin and weak afterward, this happens only for several reasons.
