Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, sons, since I have completed for you this book, which is the last of the science of medicine, through its completion reaching its end, and through its expositions and its explanations, it seems to me that I should complement it for you with this treatise, which is about the operation by hand, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation by hand is laid low in our region and in our time, completely deprived, until the science of it is greatly endangered, and the trace of it is removed; and only a few small descriptions remain in the books of the Ancients, which mostly changed and turned into errors and doubts, so that their understandings are closed and the strength and art of it is extended away.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive it with the organization of this treatise in that way through exposition and explanation and abbreviation; and so that it comes with the forms of the cautery tools and other instruments of the work as well as with the addition of explanation, and with preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good practitioner is found with his hand in our time is because the art of medicine is long, and it requires its practitioner first to be trained in the science of anatomy, which Gualia recounted, so that he knows the arrangement of the limbs and their forms, and their joining and separation; and has knowledge of the bones, the nerves and the muscles, and their number, and their exit points; and of the pulsating veins and the still veins, and the locations of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore, Hippocrates says that with one name it is great, but in practice small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of that in the introduction of this book; for he who is not knowledgeable in what we have said about anatomy, cannot avoid falling into error, by which men will die, as I have seen too many of those, for some are trained in this science and throw themselves into it without knowledge and without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced doctor who had incised a scrofulous abscess in the neck of a woman, and cut some arteries of the neck so that much blood flowed and the woman fell dead in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who attempted to remove a stone from a man who had advanced in age, and the stone was large, and he came to it and removed that stone with a piece of the bladder, for which that man died on the third day.
E yeu ja apelat fuy a estrayre aquella, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I was already called to remove it, and I saw that because of the size of the stone and the condition of the patient, I recognized he would die from it.
E vi un altre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from a duke of our land for surgery, and came upon a black eunuch who had a fracture in his thigh; and the doctor, with his ignorance, set the fracture over the wound with cushions and splints with tight bandaging, and did not leave any breathing room for the wound.
