Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I completed this book for you, O Sons, which is the last [book] of medical science with its completion, and I achieved its end through its expositions and explanations, it seemed right to me to complete it for you with this Treatise which is the part about operation, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since operation by hand has been laid low in our region, and in our time is entirely absent: until perhaps its science has perished, and its trace has been cut off: and nothing remained of it, except small descriptions in the books of the ancients, which hands have altered: and error and uncertainty befell them, until its purposes were closed off, and its power was diminished: It seemed right to me to revive it with the arrangement of this Treatise according to the way of exposition, and declaration, and abbreviation: and to present the forms of cautery instruments, and other instruments of the work: as it comes from the addition of explanation, and from the hastening of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good practitioner of it with his hand is not found in this time of ours, is: because the art of medicine is long, and its author needs to be exercised beforehand in the science of anatomy, which Galen narrated, until he knows the uses of the limbs, and their forms, and their connections, and separation, and has knowledge of bones, and nerves, and muscles, and their number, and their exits, and of the pulsing and quiet veins, and their places of exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that Hippocrates said, that the name with the name is much, but with work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We indeed have already spoken about that in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since whoever is not knowing what we said about anatomy, cannot avoid falling into error, by which men are killed: as I saw many of those, who are formed of this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which is, because I saw a foolish physician who cut a scrofulous abscess in a woman's neck, and cut certain arteries in the neck: wherefore the woman's blood flowed, until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician, who presumed to extract a stone from a man, who had advanced in age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore reached it, and extracted it with a piece of the bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I indeed had already been called to extract it: and I saw from the size of the stone, and the condition of the patient, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician, who accepted payment from one of the Dukes of our land for medicine: and it happened to a black eunuch, who was with him, that there was a fracture in his leg near the heel: and the physician hastened with his ignorance, and bound the fracture over the wound with cushions, and splints with strong binding, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he released him according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he left him for several days, and ordered him not to loosen the bandage: and it remained thus until his leg became swollen, and his foot, and came to destruction.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	Therefore I was called to him: and I hurried to loosen the bandage: and tranquility followed, and he escaped from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, corruption was already confirmed in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore the corruption did not cease to spread in the limb, until it perished.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician, who pierced a cancerous abscess: and it became ulcerated after days, until its malignancy increased with its owner.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which is because when cancer is pure from melancholic humor, then one should not approach it with iron at all, unless it is in a limb that can tolerate having all of it cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of that, O Sons, it is necessary for you to know that operation by hand is divided into two divisions: namely, operation associated with health: and operation with which there is danger in most conditions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already warned in every place of this book where an operation occurs in which there is terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that and leave it alone: so that fools may not find a way to speak and dishonor.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore take measure with care and protection, and your patients with ease and firmness, and use the better way leading by God's grace to health and praiseworthy success: and leave terrible diseases of difficult healing: and remove your souls from that which makes you fear, lest hesitation enter upon you in your faith and your benefit.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining to your glory, and more sublime in this world, and finally to your measures.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat a bad disease: lest you be named bad physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have already divided this Treatise according to three Chapters. ¶
Capitulum primum.	Chapter First.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On Cautery with fire, and Cautery with sharp medicine, chaptered, and ordered from head to feet, and forms of instruments, and iron tools of Cautery: and everything that is necessary in operation. ¶
Capitulum secundum.	Chapter Second.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On cutting and perforation, bloodletting and cupping, and wounds: and extraction of arrows, and similar to that: and all chaptered, ordered with forms of instruments. ¶
Capitulum tertium.	Chapter Third.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and treatment of torsion, and similar to that: chaptered, ordered from head to feet, and forms of instruments.
Soli Deo Gloria.	Glory to God Alone.
Liber Chirurgici Albucasis.	The Surgical Book of Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	¶ On the Benefit and Harm of Cautery: and which complexions it suits, and at what time: and whether with iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But Before Indeed I recall operation with it, it is necessary that I speak of the quality of its Benefits, and of its Harms: and in which complexion it should be administered.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore, that discourse on the quality of the benefit of Cautery, and its harm, is a lengthy discourse, and subtle, a science, and a hidden secret.
