Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Having thus completed this book for you, which is the latest work on medicine with additions thereto, and having reached the end of it through his explanations and his own statements, it has seemed to me right to complete it for you with this Treatise, that is, with manual surgery.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since manual surgery is neglected in our region and entirely private in our time, until perhaps the knowledge of it has perished and its trace has been lost; and there remain from it only a few descriptions in ancient books, which have been distorted by hand, and errors and hesitations have arisen until the intentions of his art have been closed and its sight has faded: I have thought it right to revive it with the order of this Treatise according to the way of exposition, declaration, and abbreviation; and so to come to the forms of cautery tools and the rest of surgical instruments; with the addition of declarations and the elaboration of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Moreover, the reason why a good master of this art with his own hand is not found in our time is that the art of medicine is long; and it is necessary for its author to exercise himself in anatomy before he narrated what Galen did, until he knows the members' helps, their forms, their union and separation, and has knowledge of bones, nerves, tendons, the number of them, and their exit, and the pulsations and quietness of veins and arteries, and the exits of places.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this, Hippocrates said that the name is much with the name, and little with the work, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	Indeed, we have already spoken of him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not aware of what we have said about anatomy, will not succeed, but will fall into error, which harms men; as I have seen many among them who boast of this knowledge, yet lack understanding and experience in it.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	This is because I have seen a stupid physician cut into a scrofulous swelling on a woman's neck and he injured some arteries in her neck; therefore the woman's blood flowed until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I have seen another physician who presumptiously tried to extract a stone from a man whose urethra had become blocked due to age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore approached him and extracted it with a urinary probe.
Quare mortuus est uir in tertio die.	Why the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And indeed I had been called to extract it; and I saw from the size of the stone and the frailty of the patient that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician, who was receiving payment from a certain duke of our land for medicine. And there was a eunuch, black, who was with him; he had a fracture in his thigh near the calcaneum. The physician, through his ignorance, squeezed the fracture over the wound with lint and stitches, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he released him according to his wishes.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards, he released him after a few days and ordered him not to loosen the ligature. And he remained in that condition until his leg and foot were gangrened, and he came to his end.
