Praefatio.	Premise.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed to you, my son, this book, which is the last of the science of medicine with its supplement, and I have finished in it from its expositions and its declarations, it has seemed to me that I complete it to you with this treatise which is a part of surgery, that is, chirurgical manual.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because the operation with the hand is laid out in our region, and in our time it is private at all times: until perhaps the science of it has perished, and the trace of it has been lost: and there remained from it only a few descriptions in ancient books, which hands have changed: and it happened to them error and hesitation, until their intentions were closed, and its vision was extended. It has seemed to me that I can make it clear with this order of this treatise in it according to its exposition, declaration, and abbreviation: and that I can bring it into being with the forms of tools cautery, and the rest of the instruments of work: for the sake of adding a declaration, and properly establishing what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why there is not found a good workman of his hand in our time, is because the art of medicine is long, and it is necessary for its author to be exercised in the science of anatomy which Galen narrated, until he knows the joints of the limbs, and their forms, and their connection, and separation, and has a knowledge of bones, and nerves, and ligaments, and their number, and their emergence, and beating pulses, and quiet, and places of exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said, that the name with the name is much, and with the work is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Because he who is not aware of what we have said about anatomy, does not clear up, but falls into error, which are produced by the humans: as I saw many of them who formed themselves out of this science, and cast themselves down upon it without knowledge, and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is, for I saw a dull physician cut an aposteme scrofulous wound on the neck of a woman, and he wounded some arteries in her neck: why did the blood flow from the woman until she died between her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician, who presumed to extract a stone from a man, which had lodged in his body for many years, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he came to him, and extracted it with a twig of holly.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
