Praefatio.	Preamble.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed to you my son this book, which is the last of the science of medicine with its supplement, and having come to an end in it from its expositions and declarations, it has seemed good to me to complete it for you with this treatise which is part of surgery, that is, with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand is lying in our region and is private only at our time: until perhaps science has perished, and the trace of it has been lost: and there remain from it only a few descriptions in ancient books, which hands have altered: and it happened to them that they made an error and had hesitation, until their intentions were closed and his vision was prolonged. It seemed good to me that I should uiuify it with this arrangement of this treatise according to the second meaning of exposition and declaration and abbreviation: and that I may make it with the forms of instruments, and the rest of the tools of the operation: for so is it from its addition and its propering that it is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because for this reason an excellent craftsman with his own hand cannot find good surgery in our present time, it is: because the art of medicine is long, and the author of it must be exercised before it in the science of anatomy which Galen told, until he knows the movements of the limbs, and their forms, and their connection, and separation, and has knowledge of the bones, and nerves, and ligaments, and numbers of them, and their egression, and pulsatile beatings, and quietures, and places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that Hippocrates said, for a name with a name is much, and with work it is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since who does not know that we have spoken about anatomy, will not be cleared up, unless he falls into error, in which humans fall into, as I saw many of them who form themselves out of this science, and boast themselves from it without knowledge and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	A doctor was sawing off an apostema scrofulous wart on the neck of a woman, and he cut some blood vessels in her throat. Why did the blood flow from the woman until she died between her own hands?
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	I also saw another doctor who thought he would pull out a large stone from the urinary bladder that had been present for some time; but the stone was big.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached it, and removed it with a twig of bamboo.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I had already been summoned to remove it; and I saw from the great size of the stone and the care taken by the nurse that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	I also saw another doctor who was taking a fee from the Duke of our land for medicine; and a black eunuch, who was with him, broke his thigh near the heel; but the doctor went away without knowledge of the matter, and he bound the fracture together with thin bands and strong nails, and did not let the wound heal.
Deinde absoluit eum secundum desyderia sua.	Then he released it according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then after a few days he sent him away with instructions not to loosen the bands; but he stayed as he was until his leg became rotten, and it came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called to him; and I relieved him of the bands; and so it was quiet, and he was free from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already become established in the limb; and I could not prevent it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the corruption ceased to spread in the member, until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	I also saw another doctor who was piercing a cancerous pustule; and it got worse day by day, until the malignancy of it appeared to its lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	That is, because when it is cancer pure from the melancholic humor, then it should not be approached with iron at all unless it is in a member that can bear it so as to be cut off completely.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	For this reason, my sons, it is necessary for you to know that surgery is divided into two parts: namely, the operation which is associated with health and the operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already begun to explain in all the places of this book where surgery occurred, where there was terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why is it necessary for you to be careful about that, and to avoid it? So that we do not find stupid people talking, and disgracing themselves.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, receive with caution and protection, and guide our sick with ease and strength, and use a better path led by the grace of God to health and the admirable succession: and remove the terrible illnesses that cause difficulty in recovery: and take away our souls from there, since it makes you fear, so that it may come upon you a hesitation in our faith and comfort.
