Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed to you, my son, this book, which is the last of the science of medicine with its supplement, and having finished in it from its explanations and declarations, it has seemed to me useful to complete it to you with this Treatise, which is a part of surgery, that is, of the art of operation with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since operation with the hand is laid down in our region, and in our time it is entirely private: until perhaps the science of it has perished, and its trail has been lost: and there remain of it only a few small descriptions in ancient books, which hands have altered: and it happened to them that error and confusion occurred, until their intentions were closed and its meaning was extended. It seemed to me useful to set forth it with the arrangement of this Treatise in accordance with its explanation and declaration, and its abbreviation: and I wanted to add it with forms of tools, Cauteriums, and the other instruments of operation: for it is necessary to include its addition, and its proper definition.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Since there is no good craftsman of the hand in our time, it is: because the art of medicine is long, and its author must be exercised before it in the science of anatomy, which Galen related, until he knows the joints of the limbs, and their forms, and their connection, and separation, and has knowledge of bones, and nerves, and membranes, and their number, and their growth, and pulsations, and quiet, and places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said, The name that has a name is much, and the work that has a work is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since he who is not learning, that we have said about anatomy, does not clarify, but falls into error, by which men are formed, who form themselves from this science, and shout about it without knowledge, and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is, because I saw a doctor chop off an aposteme scrofulous sore on the neck of a woman, and he cut some of the arteries in the neck: why did the blood flow from the woman until she died between her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who dared to extract a stone from a man's bladder, which had been causing him pain for a long time, and the stone was big.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached him and extracted it with a twist of his hand.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I had already been called to extract it; and I saw from the size of the stone and the care of the nurse that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who took a fee from our King for medicine: and there happened to be a black eunuch near him, who had broken his thigh bone near the heel; and the doctor continued in his ignorance and bound the fracture with thin splints and strong ligatures and did not stay with the wound's exudation.
Deinde absoluit eum secundum desyderia sua.	Then he released him according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he let him go after a few days and commanded that the ligatures not be loosened; but he stood thus until the sore in his leg and foot began to putrefy, and came to ruin.
