Praefatio.	Praefatio.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Introduction.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Preamble.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Since there is a lack of good masters of this art in our time, it is because medicine is a long field of study, and the author needs to practice dissection before his art with his own hands on the anatomy taught by Galen, until he knows the movements of the members, and their forms, and their connections, and their separations, and has knowledge of bones, nerves, and veins, and their numbers, and their exit, and their palpitations, and quietus, and places of origin.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said, 'A name by itself is much, and a work by itself is little, especially in the art of the hand.'
Nos uero iam diximus de illo in introitu huius libri.	However, we have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since he who does not know what we have said about anatomy will certainly fall into error, leading to the destruction of humans: as I saw many of them forming a science from it, and boasting about it without knowledge or experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is, because I saw a dull doctor cut the apostema scrofulous wound on the woman's neck, and hit some blood vessels in her throat: why did the woman's blood flow until she died between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who assumed that he would remove a large stone from a man who had been walking for a long time, and the stone was big.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached him and removed the vein with a wisp of hair.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
