Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Since I have completed for you, O sons, this book which is the last of the sciences in medicine with its complement, and having reached the end in it through its expositions and declarations, it seemed good to me that I should complete it for you with this Treatise which is a part of action, namely surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	For the surgery with the hand has been prostrate in our region and in our time it has been entirely private: until perhaps its knowledge has perished, and its track has been cut off; and nothing has remained of it save small descriptions in the books of the ancients, which have been changed by hands; and error and hesitation have happened to them, until its intentions were closed and its sight prolonged. It seemed good to me that I should revive it with the arrangement of this Treatise according to the way of exposition, and declaration, and abbreviation; and that I should come with forms of the tools of cautery, and other instruments of work: with is accomplished from the addition of declaration, and from its properation which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Now the cause for which a good craftsman of it with his hand is not found in our time, is: because the art of medicine is long; and its author ought to exercise himself before that in the science of anatomy, which Galen narrated, until he know the joints of the members, and their forms, and their union, and separation, and have knowledge of the bones, and nerves, and sinews, and their number, and their going out; and of the pulsating veins, and quiet.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of that Hippocrates said, That what is a name with a name is much; and with work is little; and especially in the art of the hand.Et propter illud faciendum est ut ueniat ad vos hunc liber de chirurgia cum manu, qui est secundum uiam ex positione, et declarationis, et abbreuiationis: et habeat vobiscum ordines operacionum et instrumentorum eius: et super iis quae sunt necesse, et qui non possunt habere cum se, ut possint ueniere ad vos per ordines istos.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who does not know what we have said about anatomy will never be purged but will straightaway fall into error, the kind that causes men to perish: as I have seen happen to many of those who are trained in this science, and boast of it without knowledge or experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which happened because I saw a foolish doctor lancing an abscess on a woman's neck and cutting some veins in the neck; whereupon the woman's blood flowed until she died in his hands.Quod uero expositum est de faciendo in scrophulis, in capite etiam, et in ubere, omnia haec debent fieri cum magna provisione medicorum, qui habent experiensiam.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	However, what has been said about abscesses in the head and breast should all be done with great care by doctors who have experience.And I saw another doctor who presumed to extract a stone from a man in old age; but the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He went up to him therefore and extracted it with a knife.Et uidi alium medicum, qui praesumpsit ut curaret uiros clysteribus.
Quare mortuus est uir in tertio die.	Why a man died on the third day.
