Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, my sons, this book, which is the ultimate book of knowledge in medicine with its complement, and having reached the end of it through its expositions and declarations, it seemed to me that I should complete it for you with this Treatise, which is part of surgical operation, namely surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery by hand has been neglected in our region and in our time: until perhaps its knowledge is lost and its trace is cut off; and there remain only small descriptions of it in the books of the ancients, which have been changed by other hands; and they suffer error and hesitation, until their intentions are obscured and their insight is weakened: It seemed to me that I should revive it with the arrangement of this Treatise concerning it according to the way of expositions, declarations, and abridgments; and that I should come to the forms of cautery tools and other instruments of surgery: as this is done through adding declarations and by expediting what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good practitioner of this kind of surgery is not found in our time is: because the art of medicine is long, and its author must be trained beforehand in the science of anatomy, as described by Galen, until he knows the limbs' benefits, their shapes, and their connections and separations; and has knowledge of bones, nerves, sinews, and their number, their exits, pulsating veins, quiet veins, and their places.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this, Hippocrates said that names are many with names, but few with deeds; and especially so in the art of hand-surgery.
Nos uero iam diximus de illo in introitu huius libri.	We have indeed spoken about it in the introduction to this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since those who are not knowledgeable about what we have said regarding anatomy will inevitably fall into error, which leads to the death of people; as I have seen many of them, trained in this science, boast about it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened is that I saw a foolish doctor cut into a scrofulous abscess on a woman's neck and he struck some arteries in her neck; therefore the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to extract a stone from an old man, and the stone was big.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He reached for it and extracted it with a piece of bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had already been called to extract it; and considering the size of the stone, and the condition of the patient, I saw that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who was taking a fee from one of the Dukes of our land for his medical services; and it so happened that a black eunuch who belonged to him suffered a fracture in his leg near the heel bone: and this physician hastened with his ignorance, bound up the fracture above the wound with swathes, splints tightly binding them on with a strong ligature, and he gave no breathing space to the wound.
Deinde absoluit eum secundum desyderia sua.	Then he released him according to his own wishes.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	After a few days he let him go and ordered him not to remove the bandages; so he remained thus until an abscess had formed on his leg, foot and reached death's door.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called to him and I hastened to release his ligaments; and there followed calmness and he escaped from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the injury was already too advanced in his limb; and I could not reverse it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore, the injury ceased to progress further into his limb until it perished.
