Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, O my sons, this book, which is the last of the science of medicine with its completion, and I have reached its end, from its expositions and its explanations, it seemed to me that I should complete it for you with this treatise, which is a part of the operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because the operation with the hand has been destroyed in our region and in our time, completely deprived: until perhaps its science perished, and its trace was cut off: and there remained of it only small descriptions in the books of the ancients, which hands have changed: and error and hesitation happened to them, until its intentions were closed, and its force was removed: It seemed to me that I should revive it with the arrangement of this treatise in it according to the way of position, and explanation, and abbreviation: and that I should come with the forms of the instruments of the Cautery, and the other instruments of the work: when it is made from the addition of explanation, and from the haste of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason, however, why a good craftsman of it is not found with his hand in this our time, is: because the art of medicine is long, and its author must be exercised before that in the science of anatomy, which Galen narrated, until he knows the aids of the members, and their forms, and their conjunction, and separation, and has knowledge of the bones, and nerves, and muscles, and their number, and their egress, and of the pulsating and quiet veins, and the places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that Hippocrates said that name with name is much, and with work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We indeed already said about that in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Because he who is not knowing what we said about anatomy, is not emptied, but already falls into error, by which men are killed: just as I saw many of those who are formed in this science, and boast of it without knowledge, and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is, because I saw a foolish physician incise a scrofulous abscess in the neck of a woman, and he cut some arteries in the neck: wherefore the woman's blood flowed until she fell dead in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumed to extract a stone from a man who was advanced in age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore he arrived at it, and extracted it with a piece of the bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
