Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, children, this book, which is the last of the science in medicine with its completion, and have reached its end in its expositions and its declarations, it has seemed to me that I should complete it for you with this Treatise, which is a part of operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with the hand has been laid low in our region and in our time utterly private—until perhaps its science has perished, and its trace has been cut off—and there remain from it only small descriptions in the books of the ancients, which have been altered by hands, and error and hesitation have befallen them, until its intentions have been closed, and its sight has been withdrawn—it has seemed to me to revive it with the ordering of this treatise in it, according to the way of exposition and declaration and abbreviation, and to come with forms of cautery instruments and the other instruments of the work, with the addition of declaration and with the hastening of that which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The cause however for which a good craftsman of it is not found with his hand in this our time is: that the art of medicine is long, and it is necessary for its author to be exercised beforehand in the science of anatomy, as Galen narrated, until he knows the aids to the limbs, and their forms, and their connection and separation, and has knowledge of the bones, and nerves, and tendons, and their number, and their exits, and of the pulsating and still veins, and the places of their exits.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that Hippocrates said that a name with a name is much, and with a work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We however have already said about that in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since he who is not knowledgeable about what we have said regarding anatomy is not deterred from falling into error, whereby people are killed, just as I have seen many of those who are formed in this science and boast about it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is, because I saw a foolish physician cut an abscess in the neck of a woman, and cut some arteries in the neck, wherefore the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumed to extract a stone from a man who had advanced in age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he reached it and extracted it with a piece of the bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
