Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, O sons, this book, which is the last of the science of medicine with its completion, and I have reached the end in it, from its expositions and its explanations, it seemed to me that I should complete it for you with this treatise which is the part of operating, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because surgery by hand has declined in our region, and in our time has been completely neglected, until perhaps its knowledge has perished and its trace has been erased, and nothing has remained of it except short descriptions in the books of the ancients, which hands have altered, and error and hesitation have befallen them, until its purposes have been obscured, and its force diminished: It has seemed to me that I should revive it with the organization of this treatise on it according to the method of exposition and explanation and brevity, and that I should come with the forms of the cautery irons and the other instruments of the work, since it is made with additional explanation and with the speed that is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason, however, why a good practitioner of it with his hand is not found in our time is because the art of medicine is long, and its author must be trained beforehand in the science of anatomy, which Galen described, until he knows the structures of the limbs and their forms and their joining and separation, and has knowledge of the bones and nerves and muscles and their number and their origin, and of the pulsating and quiet veins and the places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that Hippocrates said that reputation is great in name, but little in practice, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about that in the introduction of this book. 
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since he who does not know what we have said about anatomy is not exempt from falling into error, by which men are killed, just as I have seen many of those who are instructed in this science and boast about it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which is because I saw a foolish doctor cut a scrofulous abscess on the neck of a woman, and he cut certain arteries in the neck: wherefore the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor, who presumed to extract a stone from a man, who was advanced in age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore reached it and extracted it with a piece of the bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I indeed had already been called to extract it: and I saw from the size of the stone, and the disposition of the sick man, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician, who was receiving a stipend from a certain Duke of our land on account of medicine: and it happened to a black eunuch, who was with him, that there was a fracture in his leg near the heel: and the physician hastened with his ignorance, and bound the fracture over the wound with cushions and splints with a tight binding, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he absolved him according to his own desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he left him for several days, and ordered him not to loosen the bandage: and he remained thus until his leg and his foot festered, and it came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called to him: and I hastened to loosen the bandage: and tranquility followed, and he escaped from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the infection was already established in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the infection ceased to spread in the limb, until it perished. 
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician, who perforated a cancerous abscess: and it ulcerated after some days, until its malignancy increased with its owner.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which is, because when a cancer is purely from melancholic humor, then it is not necessary to approach it with a knife at all, unless it is in a limb that can tolerate it, so that all of it may be cut away.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of that, O sons, it is necessary for you to know that operating with the hand is divided into two categories: namely, an operation which is associated with healing: and an operation, with which there is danger in many situations. 
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already indicated in every place of this book, in which an operation occurs, where there is dread and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of it, and leave it alone: lest fools find a way to speak, and to dishonor.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, take your measurements with care and protection, and [treat] your patients with ease and firmness, and use the better way leading by the grace of God to health and praiseworthy success: and leave aside terrible diseases of difficult healing: and remove your minds from that which makes you fear, lest hesitation enter upon you in your faith and your advantage.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more enduring for your glory, and loftier in this world, and ultimately for your status.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat a bad illness: lest you be called bad physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now, however, I have divided this Treatise into three chapters.
Capitulum primum.	Chapter one.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On cautery with fire, and cautery with a sharp medicine, divided into chapters, and arranged from the head to the feet, and the forms of the instruments, and the irons of the cautery: and everything that is necessary in the operation.
Capitulum secundum.	Chapter two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On cutting and perforation, phlebotomy and cupping glasses, and wounds: and the extraction of arrows, and things similar to that: and all divided into chapters, arranged with the forms of the instruments.
Capitulum tertium.	Chapter three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and the cure of twisting, and things similar to that: divided into chapters, arranged from the head to the feet, and the forms of the instruments.
Soli Deo Gloria.	Glory to God alone.
Liber Chirurgici Albucasis.	The Book of Surgery of Albucasis.
Pars I.	Part One.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the Benefit, and Harm of the Cautery: and for which complexions it is suitable, and at what time: and whether with iron, or gold.
Caput I.	Chapter 1.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But indeed before I discuss the operation with it, it is necessary that I describe the quality of its benefits and its harms: and in which complexion it may be exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say, therefore, that the discussion concerning the quality of the benefit and the harm of the cautery, is a lengthy and subtle discussion, a science, and a hidden secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also, a multitude of wise men have spoken on it, and they have disagreed on it: and for me indeed a little of their discussions suffices, fearing lengthiness. 
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say, therefore, that cautery is universally beneficial to every complexion, which is with matter and without matter: except for two complexions, which are the hot complexion without matter and the dry complexion without matter.
In complexione autem calida et sicca cum materia dissenserunt.	However, they have disagreed concerning the hot and dry complexion with matter.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some have said that cautery is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others have said the opposite of that, namely that cautery is not suitable in a disease, which is from heat and dryness: since the nature of fire is heat: and it is unsuitable that something be healed from a hot and dry disease, with something hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of that said: that by cautery benefit is made in every hot and dry disease, which occurs in human bodies: since when you compare the human body, and its humidities, to the complexion of fire, you find the human body cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I indeed say, according to his discourse, that experience has already revealed that to me several times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	Nevertheless, it is not appropriate that anyone approach it, except he who has already been proven, and practiced in the last exercise of the chapter on cautery, and has learned the diversity of human complexions, and the disposition of diseases in themselves, and their causes, and their incidental symptoms, and the length of their duration. 
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	From the remaining complexions, however, there is no fear for you: and especially in cold and humid diseases.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For indeed all physicians have agreed upon them: and they have not disagreed on the benefit of cautery in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, sons, that among the secrets of treatment by cautery with fire, and its advantage over cautery with a burning medicine, is this: that fire is simple, whose action does not reach beyond the part that is cauterized: and it does not harm another part connected to it, except with slight harm. 
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of a burning medicine, however, reaches those parts that are distant from the limb: and perhaps it causes a disease to occur in the limb that is difficult to heal, and perhaps it kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, on account of its subtlety and the excellence of its substance, does not do that, unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now truly that has become known to us through experience, because of long service and study with the art, and attention to the truth of things: and for that reason I am excused for the length of the discourse. 
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not because it is not permitted in this book of mine, I would bring to you a hidden secret concerning fire, and the quality of its operation in bodies by its expulsion, by which it expels diseases, in demonstrative philosophical language, which would be sharpened by your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, my sons, that they disagree on the time in which it is suitable to perform cautery, and they propose spring as the best time.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cautery is suitable in every season: because the harm occurring due to the season is submerged in the benefit that is obtained with cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cautery is for pains from necessary, strong, urgent pains, which do not tolerate delay: because it is feared from them that an evil may occur which is greater than the small harm entering because of the season.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not let it enter your minds, oh sons, that which only the common people and foolish doctors believe, namely that the illness which is healed by cautery never returns: and they consider this a consequence, and the matter is not as they think: because cautery is nothing but a substitute for medicine, which alters the complexion, and dries the humors which are the causes why pains occur.
