Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished with you, my son, this book, which is the most recent of my works in medicine, I have completed it after having finished explaining and describing it, and I have done so in order to complete it with this treatise which is a part of surgery, that is, medicine with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery is a work of the hand which is being practiced in our age and time, and since its secrets have been completely forgotten, except for a few passing references in the ancient books which have been altered by the hands of men: and because of this there has arisen both error and hesitation until its intentions have been closed and its purpose extended: it seemed to me good to write this treatise according to the order of this book, and in accordance with its declarations and abbreviations: and that I should speak of the forms of the instruments of cautery and other implements which are used in the work, as is done in accordance with the declarations and their preparation which is necessary
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	However, because a good practitioner of this work with his hand is not to be found in our age, it is because the art of medicine is long, and the author must exercise himself beforehand in the science of anatomy as Galen has said, until he knows the functions of the limbs, their forms, and their connection, and separation, and has knowledge of the bones, nerves, and lacerations, and the number of each, and their exit, and the pulsation of the veins, and the quietness and location of the exits of the veins.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	For this reason Hippocrates said that the name is much more important than the work, and that it is especially so in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already mentioned this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is ignorant of what we have said concerning anatomy will fall into error, and will endanger men’s lives: as I have seen many of them who have formed themselves in this science without knowledge and without experiment
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is this, since the doctor has secured the scrofula in the woman's neck with a stolidum, and it has injured some arteries in the neck: why does blood flow from the woman, until it dies between her hands?
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And the doctor has also said that he should extract a stone from the bladder, which had become enlarged, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So it came to pass that he extracted it with the bladder stone
Quare mortuus est uir in tertio die.	And the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too was called to extract it: and I saw from the greatness of the stone, and the condition of the patient, that he would die
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And the doctor saw another case where a certain Duke of our land was taken ill because of a medicine: and it happened to his black slave that was with him, that he fractured his leg near the ankle: and the doctor, with his ignorance, did not know how to treat it, and he bound the fracture with barley straw and nails, and with great tension, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	And he died according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he dismissed him for a few days, and commanded him not to move his ligament: and he stood thus until the swelling of his leg, foot and ankle had gone down.
