Praefatio.	Prefatory Note.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished with you, my son, this book, which is the most recent treatise on medicine that I have composed, together with its completion, I have reached the end of it through its exposition and statements. It seemed to me useful to complete it for you with this treatise which is a part of surgery, that is, of the art of healing with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand lies low in our age and in our time, and has disappeared from our age, except for a few faint indications in ancient books which have been altered by the hands: and there has arisen from this a fault and hesitation, until the intention of these things has been closed and prolonged. It is necessary, therefore, that we should speak of this treatise in a way which is in accordance with the order of things, and with the declarations and brevity: and that we should come to an understanding of the forms of the instruments of surgery, such as the cautery and the rest of the instruments of the art, as is declared and as is necessary for their preparation.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good surgeon with his hand is not found in our time is this: because the art of medicine is long, and the author must exercise himself beforehand in the science of anatomy as Galen has said, until he knows the functions of the limbs, their forms, and their connections, and their separation and union, and the knowledge of bones, nerves, lacerations, and their number, and their emergence, and the pulse of the veins, and quietness, and the places of their exits
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	Just as Hippocrates said, a name is much praised, but the work is little, especially in the art of the hand
Nos uero iam diximus de illo in introitu huius libri.	We have indeed spoken of this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is ignorant of the science which we have spoken of concerning anatomy, will not be saved, but will fall into an error which brings destruction to men: as I have seen many of them who form themselves in this science without knowledge and experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Since I have seen many doctors who have followed the old practice of applying poultices of wool soaked in vinegar to the scrofula in the neck of a woman, and have thereby caused the bursting of some arteries in the neck: whereupon the blood of the woman flowed until she died between their hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I have seen other doctors who have ventured to extract a stone from a bladder which was in process of bursting, and the stone was large
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So it came to pass that he extracted it with the bladder broken
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself was called to extract it: and I saw from the greatness of the stone and the condition of the patient that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I have seen another doctor who took charge of a case concerning a certain Duke of our land because of medicine: and there happened to a black slave who was with him, a fracture in his leg near the heel: and the doctor, in his ignorance, bound the fracture with nails and splints, and tightened the bandage too tightly, and did not let the wound breathe.
Deinde absoluit eum secundum desyderia sua.	He then died according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he sent him away for a few days, and commanded him not to move his ligament: and he remained thus until the swelling of his leg, and his foot, had subsided, and he perished
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I myself went to him: and I found that he had to move his ligament: and there was peace, and he was freed from his pains
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	Truly, corruption has been confirmed in the limb: and I am unable to restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	The corruption has ceased to progress in the limb, until it passes away
