Praefatio.	Prefatory.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished with you, my Son, this book which is the most recent of my works in medicine, completed with the addition of the present treatise, and following the exposition of its parts and the statements of its author, I have deemed it fitting to present to you this work which is a part of the art of surgery, namely surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand is a matter of great importance in our times and in our age, and since it is a subject which has been neglected for a long time: except for a few scattered descriptions in the ancient books, which have been altered by the hand itself: there has arisen a great error and hesitation, until the intentions of the art have been closed and its science prolonged. It seemed good to me to restore life to this art with the help of the ordination of this treatise according to its position, declaration and abbreviation: and to bring together the forms of the instruments of cautery and other implements of the art, with the addition of their declaration and the improvement of their preparation which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why one does not easily find a good surgeon of his hand in our time is that the art of medicine is long, and the author must exercise himself beforehand in the science of anatomy as Galen has narrated, until he knows the movements of the limbs, their forms, and their connection, and separation, and has knowledge of the bones, nerves, lacerations, and the number of each, and their exit, and the pulse of the veins, and quietness, and the locations of their exits
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said, "A name is nothing in itself, but in its work it is much.
Nos uero iam diximus de illo in introitu huius libri.	We have indeed mentioned this in the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is ignorant of the science of anatomy will fall into error, and will endanger human life. As for me, I have seen many who have puffed up with pride about this science without any knowledge or experience
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Why did the doctor order the securing of the swelling in the woman's neck with a scrofula, since it involved the incisions of some arteries in the neck? Because of this, blood flowed from the woman until she died between her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And the other physician thought that he should remove a stone which was in the urine, which was causing her pain, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore he came to him and extracted it with the bladder stone
Quare mortuus est uir in tertio die.	Because the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And indeed I was called to extract it: and I saw from the size of the stone and the condition of the patient that he would die
