Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, O sons, this book which is the last of knowledge in medicine with its completion, and I have reached an end in it, from its expositions, and its own declarations, it seemed to me that I should complete it for you with this Treatise which is a part of the operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because surgery with the hand has been in our region and time completely deprived, until perhaps the knowledge of it perished, and its trace was cut off: and there remained from it, except for small descriptions in books of ancients, which were altered by hands: and error and hesitation happened to them, until their intentions were closed, and the force of it was lengthened. It seemed to me, that I should vivify it with the order of this Treatise according to the way of exposition, and declaration, and abbreviation: and that I should come to forms of cautery instruments, and the rest of instruments of work: with the addition of declaration, and the preparation of it which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The cause why a good artificer of this art is not found with his own hand in our time is: because the art of medicine is long, and it is necessary for its author to be trained beforehand in the knowledge of anatomy as Galen narrated, until he knows the workings of the limbs, and their forms, and their connection, and separation, and has knowledge of bones, and nerves, and tendons, and their number, and their emergence, and the pulsation of veins, and quiet ones, and the places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said that the name when it is with a name is much, and when it is with work little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have now spoken of that at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not learned about what we have said concerning anatomy, cannot be purged but will fall into error, by which men are killed: just as I have seen many of those who fashion themselves from this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is, because I saw a foolish physician cut an abscess on the neck of a woman, and he struck some arteries in her neck; therefore blood flowed from the woman until she fell dead in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who dared to remove a stone from a man who had reached old age, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore it came to him, and he removed it with the bladder fragment.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I indeed had been called to remove it; and I saw from the size of the stone, and disposition of the sick man, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who was receiving a stipend from a certain Duke in our land for medicine: and it happened to an eunuch, black, who was with him, that he broke his leg near his heel: and the physician, in his ignorance, hastened, and bound the fracture over the wound with splints, and straps tightly, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he completed it according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterward he dismissed him for several days, and commanded him not to loosen the bandage: and he stood thus until the abscess had taken hold of his leg and foot, and came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	Therefore I was summoned to him: and I hastened to solve the ligament: and there followed tranquility, and he was eased from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already been confirmed in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore, when corruption has ceased to travel through the limb until it perishes.
