Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished this for you, O Children, a book which is the last knowledge in medicine with its completion, and I have reached the end of it through its explanations and its declarations, it was my wish to complete it for you with this treatise which is a part of the operation, that is, chirugery with my hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because the operation with the hand is laid low in our region and completely cut off: until perhaps science of it perishes, and its track is abolished: and they do not remain except brief descriptions in ancient books, which have changed their hands: and an error and hesitation happen to them until their intentions are closed, and the length of its will is elongated: It seemed good to me to enliven it with the life of this treatise in it according to the way of position and declaration and abbreviation: and to make it like the forms of the Cauteries and other instruments of work: when an addition is made to the declaration, and the operation of its being necessary is performed.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	However, the cause why this good craftsman did not find it with his hand in our time is: because medicine is long, and it is necessary for the author to exercise before that in the knowledge of anatomy which Galen narrated, until he knows the humors of the members, and their forms, and their connection, and their separation, and has knowledge of bones, and nerves, and tendons, and the number of them, and their exit, and the pulsatility and quietness, and the exits of their places:
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And therefore Hippocrates said that the name with the name is much, and with the work is little, and especially in the art of the hand:
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken of that at the beginning of this book:
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Because he who is not knowledgeable of what I say about anatomy does not understand, but already falls into error, wherein men are slain: as I have seen many of them, who are formed from this science, and cast it aside without knowledge, and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That which is, because I have seen a stupid physician cut the abscess of a woman's neck, and some arteries were cut in her neck: therefore blood flowed from the woman until she died at his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I have seen another physician, who presumed to extract a stone from a boy who had grown up, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore he went to him, and extracted it with a small instrument.
Quare mortuus est uir in tertio die.	And the boy died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	Indeed I had called to extract it myself: and I saw from the greatness of the stone, and the weakness of the position, that he would die.
