Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After having completed this book for you, which is the last of the sciences in medicine with its supplement, and having reached the end of it through its expositions and its declarations, it seemed to me that I should complete it for you with this Treatise, which is a part of operation, namely, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand has been laid low in our region and in our time, and has been entirely privatized: perhaps the knowledge of it has perished, and its trace has been lost: and there remained from it only small descriptions in the books of the ancients, which were changed by hand: and they suffered error and hesitation, until their intentions were closed, and the vision of it was lengthened: It seemed to me that I should revive it with the order of this Treatise in it according to the way of its exposition, and declaration, and abbreviation: and that I should come with the forms of Cauterii's tools, and of the other instruments of work: since it is made from its declaration addition, and from its operation which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	However, the reason why a good artisan of it with his own hand does not exist in our time is this: because the art of medicine is long, and it is necessary for its author to be exercised before that in the science of anatomy, which Galen narrated, until he knows the joints of the limbs, and their forms, and their connection and separation, and has knowledge of the bones, and of the nerves, and of the tendons, and of their number, and of their exits, and of the pulsatilae of the veins, and of the quiet places, and of the outlets of them.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of this Hippocrates said that the name with the name is much, and with work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have indeed already spoken of that in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since those who are not knowledgeable about what we have said about anatomy are not spared from falling into error, in which men perish: as I have seen many of those who are formed from this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which is, because I have seen a foolish doctor to lance a scrophulous abscess on the neck of a woman, and he happened to cut some arteries in the neck: therefore the woman's blood flowed, until she died between her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I have seen another doctor who presumed to remove a stone from a man who had grown old, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore he reached him, and removed it with a fragment of the bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
