Praefatio.	A preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed this book for you, son of mine, who is the last in medicine with an addition to himself, and I have finished at the end in it through his explanations and his own declarations, it has pleased me that I complete this same thing for you with this treatise which is a part of the operation, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery by hand has fallen into our region and our time, entirely private until perhaps the knowledge of it has perished, and his traces have been lost: and none remained from it except brief descriptions in ancient books, which were altered by hands: and it happened to them an error and a delay, until they had closed his intentions, and extended himself: It seemed to me that I should revive her with the order of this treatise on her according to the way of positions and declarations and brevification: and that we should make peace with the shapes of cauterizing instruments and the other instruments of work: with the addition of his declarations, and with the proper direction of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	But the reason for which a skilled artisan of his is not found with his hand in this our time, is: because the art of medicine is long and it is necessary to train its author beforehand on that science of anatomy, as narrated by Galen, until he knows remedies for limbs, and their forms, and their connection and separation, and has knowledge of bones, nerves, and muscles, and their number, and their movement, and the pulse of veins, and quieting, and the exit of places, and the application of plasters.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And Hippocrates said that the name with the name is much, and with work little, especially in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	We have already said that in the introduction to this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since those who do not know that we said about anatomy should not be cured, lest they already fall into error, by which men are harmed: as I have seen many of them, who form themselves from this science, and boast of it without knowledge, and without trying.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is because I saw a fool of a physician who followed the appendix of a skull on the neck of a woman and cut some arteries on her neck: why did blood flow out from the woman until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumed that he could remove the stone from an old man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore he came to him, and removed him with a broken liver.
Quare mortuus est uir in tertio die.	Why the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too had been called upon to remove him, and I saw from the size of the stone and the state of the patient, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who was receiving money from a certain Duke of the land for his medicine: and an eunuch black, who was with him, suffered a fracture near the heel of his foot: and the physician, with his ignorance, bound the wound tightly on the ulcer with splints and strong binding, and did not release the breath of the wound.
Deinde absoluit eum secundum desyderia sua.	Then he released him afterwards, according to his desire.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Later he released him after a few days and ordered him not to untie the bandage: and stood in this manner until his leg bone was severed, and his foot, and it came to pass that he fell into ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called upon therefore and proceeded to untie the ligament and it resulted in peace and freedom from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption was already confirmed in the member and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore the corruption ceased to roam in the member until it had perished.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who pierced the cancerous swelling on the apothema: and it became an ulcer after many days until its wickedness was magnified before its lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which is to say that when there is pure cancer from the melancholic humour, it should not be pierced with iron at all unless it is in a limb that can tolerate it, so that the whole of it may be cut out.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore it is necessary for you, O Sons, that you know that an operation with the hand is divided into two divisions: namely, the operation which is associated with safety, and the operation, with which there is peril in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already stirred up in every place of this book where the operation has come about, in which there is fear and terror.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why it is necessary for you to beware of this and refrain from it, so that they may not stumble upon foolish men who take the wrong way of speaking and dishonouring.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore the measure with caution and protection, and deal gently with your patients with firmness, and may you employ the better way leading to grace of God towards health and glorious succession: and dismiss great fearful suffering difficult of healing: and take away from yourselves the fear that makes you hesitant to approach them, so that there be no delay on your faith and on your profit.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	It is more for your glory, and greater in the world at large, and finally according to your quantities.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his warnings.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not pretend to treat the bad disease: lest you be called bad physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	But now I shall divide this Treatise into three Chapters.
Capitulum primum.	Chapter the First.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On cautery with fire, and on sharp cautery, treated, and ordered from head to foot, and on forms of instruments, and tools for cautery: and on all that is necessary in the operation.
Capitulum secundum.	Chapter the Second.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On section and perforation, bleeding through a vein, and on breathings, and wounds: and on extracting arrows, and like cases: and everything treated, ordered in forms of instruments.
Capitulum tertium.	Chapter the Third.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and treatment of twisted limbs, and like cases: treated, ordered from head to foot, and in forms of instruments.
Soli Deo Gloria.	To God be the glory.
Liber Chirurgici Albucasis.	The Book of Surgery by Albuçàs.
Pars I.	Part the First.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the harms and benefits of cautery: and to whom it is suitable, and at what time: and if with iron, or gold.
Caput I.	Head the First.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before anything else, it is fitting that I should recall the nature of the instruments of his treatment, and its harms: and in which complexion it is shown.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I therefore say that the discourse on the quality of cauterization, and its harm, is a long and subtle discourse on science, and an obscure secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	For it has also been spoken of by a multitude of wise men, and they disagreed on the matter, and it meets with me that little comes from their words, fearing prolongation.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I therefore say that cauterization is conferred universally upon all composition, whether with matter and without matter: except for two compositions, which are the warm without matter, and the dry without matter.
In complexione autem calida et sicca cum materia dissenserunt.	However in the hot and dry composition with matter they disagreed.
