Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed the book for you, Son of Mine, this one, which is the last book on medicine with a supplement from himself, and after I have reached the end in that, by his explanations and declarations, it seemed to me fitting to complete myself with this Treatise, which is part of Operations, namely, Surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with hand has fallen into disrepair in our region and in our time, entirely private, until perhaps the knowledge of his had perished, and his trace was lost: and there remained from it, only brief descriptions in ancient books, which they have altered with their hands; and they fell into error and hesitation, until their intentions were sealed, and their way extended by himself: It seemed fitting to me, to revive it with the order of this Treatise on it, following his ways through positions and declarations, and abridgments: and to make peace with the forms and instruments of Cauterization, and other tools of work: with an addition from his declarations, and proper arrangement, as is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a skilled surgeon of his hand cannot be found in this time is: because the art of medicine is long, and it requires training its author in beforehand that science of anatomy, as told by Galen, until he knows remedies for limbs, and their forms, and their conjunctions, and separations, and has knowledge of bones, nerves, and muscles, and their number, and their movement, and the pulse of veins, and quieting places, and exits of their locations.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And Hippocrates said that the name is much with the name, and little with the work, and especially in the art of hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already said that on that in the introduction to this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since he who is not knowing what we said about anatomy should not be relieved, lest now he falls into error because they kill men thus: as I have seen many of them who are formed in this science, and cast themselves from it without knowledge and without trial.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is because I saw a foolish doctor following the appendix of a scrophagus into a woman's neck and struck some arteries in her neck: why did the blood flow from the woman until she fell dead between his hands?
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to remove the stone from a man who had been afflicted for many years, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	It therefore happened that he came to him, and removed him with a knife of the liver.
Quare mortuus est uir in tertio die.	Why was the man dead on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had also been called to remove him, and I saw from the size of the stone and the infirm condition of the man that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who accepted a stipendium with one of the lords of our land because of his medicine: and it happened to a eunuch black, who was with him, that he broke a fracture near the heel of his foot: and the doctor, ignorant of this, tied the fracture over the wound with thongs and splints, and did not stop breathing again.
Deinde absoluit eum secundum desyderia sua.	Then he finished him off according to his own desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Later he let him go for a few days, and ordered him not to loosen the bandages: and so he remained until his crucified limb was removed, and his own foot, and it ended in disaster.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called upon therefore and I proceeded to untie the ligature and there was tranquility, and he departed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However the corruption had already been confirmed in the limb and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So therefore the corruption ceased to wander about the limb until it had perished.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who perforated the aortic aneurysm cancerous: and the ulceration was after some days until his malice became magnified before his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which is because when the cancer is pure from melancholic humour, it does not require to be approached with iron entirely, unless it is in a limb that can tolerate it, so that the whole of it should be cut out.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of this, O sons, it is necessary that you know that an operation with the hand is divided into two divisions: namely, the operation to which salvation is associated, and the operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already stirred up in every place of this book, where the operation has come in which there is fear and terror.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why you must beware of this and abstain from it: so that the foolish may not take up the path to speaking and dishonouring.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore the measure with care and protection, and those who are infirm with ease and firmness, and make use of the better way which leads to the grace of God towards healing and glorious succession: and let you dismiss terrible pains of difficult recovery: and take your souls away from that which makes you fear, so that there be no hesitation on you when it approaches over you in your faith and your good.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more fitting that you remain for your glory and elevated in this world, and finally for your measurements.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his warnings.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not suffer from ill diseases: lest you be called evil physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	We will now divide this Treatise into three chapters.
Capitulum primum.	Chapter first.
