Praefatio.	Here is the translation:
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I had finished the book for you, my sons, this book, which is the last part of knowledge in medicine with its complement, and I have reached the end of it, based on explanations from it, and declarations by it, it seemed to me that I should complete it for you along with this Treatise, which is a part of operation, namely, surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with hand is almost forgotten in our region and time, and its knowledge has almost perished, and a trail of it has been cut off: and except for brief descriptions in ancient books, which hands have altered: and mistakes and hesitation occurred to them until the intentions were closed off and the force was spent. It seemed to me that I should revivify it with the arrangement of this Treatise, according to the way of exposition, declaration, and abridgment: and come along with the forms of iron instruments Cauterii, and other tools of work: as it is necessary from the addition of declaration, and its properation.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good craftsman of it with his own hand is not found in our time, is: because the art of medicine is long and requires its author to be exercised beforehand in the science of anatomy, as Galenus narrated, until he knows the benefits of limbs, and their forms, and their connections, and separations, and has knowledge of bones, nerves, tendons, and their numbers, and their exit, and the emergence of veins, both pulsating and quiet, and the locations of their exits.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for that reason Hippocrates said that a name is much with a name, and little with a work, and especially in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not knowing what we have said about anatomy, is not purified, but rather falls into error, by which men are killed: as I have seen many of those who claim to be formed from this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that I saw a foolish doctor cut away a scrofulous abscess on a woman's neck and then severed some arteries on her neck. Wherefore the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who attempted to remove a stone from an elderly man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he came to him and removed it with a piece of bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had been summoned to remove it; and I saw from the great size of the stone and the patient's condition that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who was receiving payment from a certain Duke of our land for his medical services; and it happened to a black eunuch who was with him that he suffered a fracture in the leg near the heel: and the doctor hastened without knowledge, and bound the fracture over the wound with bandages, and with strong ligatures, and did not permit the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he finished with him according to his own desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he released him after a few days and instructed him not to loosen the bandage; and he stood thus until his leg and foot became gangrenous and he came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was summoned to him: and I hastened to loosen the bandage; and as a result there was peace, and he was relieved from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, corruption had already taken hold in the member, and I was not able to prevent it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the corruption ceased to spread in the member until he died.
