Praefatio.	Foreword.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I had completed for you, my sons, this book, which is the final part of the science in medicine with its complement, and I had reached the end in it, through its explanations and declarations, it seemed to me that I should complete it for you with this treatise, which is a part of the operation, that is, surgery with manual skill.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with manual skill was prostrate in our region and completely deprived of it at that time; so perhaps its science had perished, and its investigation was cut off. And there did not remain from it except small descriptions in ancient books, which were altered by hand. And errors and hesitations occurred, until its intentions were locked up and its utility was prolonged. It seemed to me that I should revive it with the arrangement of this treatise, according to the method of positions, declarations, and abbreviations. And that I should bring it together with the forms of cauterium and other instruments of work; so that it would be fitting from the declarations added, and from its proper preparation, which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good manual skill operator is not found in our time is: because the art of medicine is long and it is necessary for its author to be exercised beforehand in the science of anatomy, as Galen described, so that he may know the juices of the members, and their forms, and their connections, and separations, and have knowledge of bones, and nerves, and tendons, and their number, and their emergence, and of veins, pulsating and quiet, and of the outlets of these.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that, Hippocrates said that a name with a name is much, and with work is little, and especially in the art of manual skill.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since one who is not knowledgeable about what we said concerning anatomy will not be cautious, lest he already falls into error, by which people are harmed: just as I have seen many of those who boast about this science and claim to know it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that a foolish doctor cut open an abscessed scrofulous swelling on the neck of a woman, and he severed certain arteries in her neck; as a result, the woman's blood flowed out, until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And another foolish doctor, who presumed to extract a stone from a man's bladder, which had been tormenting him for years, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He approached him therefore, and extracted it with a fragment of the bladder.
Quare mortuus est uir in tertio die.	For which reason the man died on the third day.
