Praefatio.	Prologue.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you, O sons, this book which is the last of medical knowledge with its complement and reached the end of it through its explanations and declarations, it seemed good to me to complete it for you with this Treatise which is part of operations, that is surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because surgery by hand is prostrated in our region and time, entirely lacking until perhaps its knowledge has perished and its trace has been cut off, and there remain from it only brief descriptions in ancient books which have been altered by hands: and error and hesitation have befallen them, until their intentions were closed and its sight was prolonged. It seemed good to me to revive it with the ordering of this Treatise according to the way of position and declaration and abbreviation, and that I may come with the forms of instruments of cautery, and others, making clear through addition declarations, and hastening what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why there is not found a good craftsman of it with his hand in this our time is because the art of medicine is long and its author must exercise himself before that in the science of anatomy which Galen narrated until he knows the joints of members and their forms and their conjunction and separation, and has knowledge of bones and nerves and muscles and their number and their exit and pulsating veins and quiet ones and the places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of this Hippocrates said that "a name with a name is much, but with work it is little," especially in the art of hand.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not knowing what we have said about anatomy will not be able to avoid falling into error which kills men, as I have seen many of those who are formed in this science and boast about it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which means that I saw a foolish physician incise an ulcerous boil on a woman's neck and he cut some arteries there so that blood flowed from the woman until she fell dead in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who undertook to remove a stone from a man who had had it for many years, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached him and removed it along with a piece of bladder.
Quare mortuus est uir in tertio die.	Whereupon the man died on the third day.
