Praefatio.	PREFACE.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	AFTER completing this book for you, O Sons, which is the last of medical science with its complement and having reached its end through its explanations and elucidations, it seemed fitting to me to complete it for you with this Treatise which is part of operative practice, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	BECAUSE the practice of manual operation has been prostrate in our region and time, and perhaps its science has perished and its trace has been cut off, and there remain from it only brief descriptions in ancient books which have been altered by hands, and errors and hesitations have happened to them until their intentions were closed and their way was made distant: It seemed fitting to me to revive it with the ordering of this Treatise in it according to the way of position, elucidation, and abbreviation: And that I may come with forms of instruments of cautery, and other tools of operation, making additions from explanations and providing what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	THE reason why there is no good artisan of this manual practice in our time is because the art of medicine is long and its author must be trained beforehand in the science of anatomy which Galen described until he knows the ligaments of members, their forms, their conjunctions and separations, and has knowledge of bones, nerves, muscles, their number, their exits, and the pulsating and non-pulsating veins, their locations, and outlets.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this, Hippocrates said that "a name with a name is much, but with work it is little, and especially in the art of manual practice.
Nos uero iam diximus de illo in introitu huius libri.	WE have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	FOR he who is not acquainted with what we have said about anatomy will certainly fall into error, which leads to the death of men, as I have seen many of those who claim knowledge of this science without true understanding and experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	And this is because I saw a foolish doctor who incised an ulcerous sore on a woman's neck and accidentally cut some arteries thereupon blood flowed from the woman until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to remove a stone from a man who had had it for many years, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached him and removed the stone along with a piece of his bladder.
Quare mortuus est uir in tertio die.	And thus the man died on the third day.
