Praefatio.	 Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 After I have completed for you, O Sons, this book which is the last in medicine with its complement, and I have reached the end of it through its explanations and declarations, it seemed to me that I should complete it for you with this Treatise which is a part of operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Since operation with the hand is abandoned in our region and time altogether, so that perhaps its knowledge has perished and its trace has been cut off; and nothing remains of it except for small descriptions in the books of the ancients, which have been changed by hands; and errors and hesitations occurred to them, until their intentions were closed and their strength was weakened. It seemed to me that I should revive it with the arrangement of this Treatise on it according to the way of positioning, explanation, and abbreviation; and that I would come with figures of the cautery iron and other instruments for work: as is done by adding explanations and hastening what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 But the reason why a good artisan of it is not found with his hand in this our time is that the art of medicine is long, and it is necessary for its author to be trained beforehand in the science of anatomy, as Galen narrated, until he knows the supports of the members, and their forms, and their conjunction and separation, and has knowledge of the bones, and nerves, and sinews, and their number, and their exit, and of the pulsatile and quiet veins, and of the exits of these.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And because of this, Hippocrates said that a name with a name is much, and with work it is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	 But we have already spoken about that at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 "Since he who is not knowledgeable about what we said regarding anatomy is not purged of error, whereby men are killed: just as I have seen many of those who claim to be formed in this science and boast about it without knowledge or experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 "Which is to say, I have seen a foolish physician cut out a scrofulous abscess on a woman's neck, and he sliced into some of the arteries in her neck; therefore, the woman’s blood flowed until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 "And I have seen another physician who presumed to remove a stone from a man who had grown old, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 "He came to him and removed it along with a piece of the bladder.
Quare mortuus est uir in tertio die.	 "Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 "And I was called to remove it, and seeing the great size of the stone and the condition of the patient, I knew that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	 "And I have seen another physician who received payment from a certain Duke of our land for his medical service: and it happened to a black eunuch who was with him that he suffered a fracture in his leg near the ankle; and the physician, in his ignorance, hastily bound the fracture over the wound with bandages and strong clamps, allowing no air to reach the wound.
Deinde absoluit eum secundum desyderia sua.	 "Then he released him according to his wishes.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	 "After that, he released him after a few days and ordered him not to loosen the bandage; and so it remained until his leg became gangrenous, along with his foot, leading to its destruction.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	 "So I was called to him and hastened to loosen the bandage; and he found relief and was freed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	 "But the corruption in the limb had already taken hold, and I could not stop it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	 Therefore, the corruption ceased to walk in the limb until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	 And I saw another physician who pierced a cancerous abscess, and it became ulcerated after several days until the evil of it was greatly increased with its lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	 That is, because when the cancer is pure of black bile, then it is not necessary to approach it with iron at all unless it is in a member that can bear it, so that all of it may be cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	 And because of this, O sons, it is necessary for you to know that the surgical operation is divided into two divisions: namely, the operation associated with health and the operation which involves danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	 And I have already pointed out in every place of this book where an operation occurs which involves fear and dread.
