Praefatio.	 Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 After I have completed this book for you, my sons, which is the last one concerning knowledge in medicine with its supplement, and after I have reached the end of it through explanations and declarations of the same, it seemed to me that I should complete it for you with this Treatise, which constitutes a part of operation or surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Since operation with the hand is laid low in our region and is completely absent at our time; until perhaps the knowledge of it has perished and its trace has vanished; and only minor descriptions of it remain in old books, which have been altered by hands; and errors and hesitations occurred until the intentions were closed and the force waned: It seemed to me that I should revive it with the arrangement of this Treatise according to the way of positioning, declaring, and abbreviating; and that I should come with patterns of iron instruments of Cautery and other tools of work; which is done by adding declarations and by properating what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 The reason why a good craftsman with his hand is not found in this our time is that the art of medicine is long, and its author must be trained beforehand in the science of anatomy as narrated by Galen, until he knows the means of limbs, their shapes, their connections and disconnections, and has knowledge of bones, nerves, muscles, their number, their origin, the pulse vessels, and the quiet ones, and the locations of their exits.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And because of this, Hippocrates said that name with name is much, and with work it is little, especially in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	 We have already spoken about it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 Since he who is not knowing what we have said about anatomy, will already fall into error, in which people are killed: just as I have seen many of those who are formed from this science and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 I saw a foolish surgeon cut an aposteme on the neck of a woman and accidentally cut some arteries in her neck. Consequently, blood flowed from the woman until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 I also saw another surgeon who presumptuously attempted to extract a stone from an elderly man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 Therefore it came to him, and he extracted the stone with a piece of bladder.
Quare mortuus est uir in tertio die.	 Therefore, the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 I myself had already been called to extract it; and I saw from the size of the stone and the weakness of the patient that he would die.
