Praefatio.	 Praise
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 After I have finished this book with you, my sons, which is in the aftermath of medicine's science and complete, having reached its end by examining it from his explanations and his declarations; thus has been given to me that I may finish reading it along with you as a part of surgery, namely, hand surgery.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Since the operation has been completed in our region and at our time, unless knowledge of it was lost by mistake or a deliberate act; unless descriptions have not been recorded in ancient books that were copied out by hand: and thus there was an error and a waste until the intentions of him were set forth; and prolonged thereafter. It is given to me so that I may execute her along with this Treatise according to its terms, as described above from positions, declarations, and abbreviations: and so you will come back in forms of tools for Cautery, and the remaining instruments of works: until it is clear by declaration addition or by his proper statement what should be necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 On the other hand, because the art of medicine is long and requires its author to exercise before that in knowledge of anatomy is described by Galenus; until he knows how members are connected together, and their forms, and their connection, and separation, and has knowledge of bones, nerves, veins, and vessels, and numbers of them, and their exit from it, and pulsations of the arteries, quietness, and places where they go out.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And Hippocrates said that a name with its name is much; but the hand of art is small and especially in the art of surgery.
Nos uero iam diximus de illo in introitu huius libri.	 We have already spoken about it when entering into this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 Since he who is not known what we spoke about anatomy does not enter and falls into an error from which men suffer; just as I have heard many of those who are formed in this science, but do not practice it without knowledge or experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 "That happened because a medical student cut through the veins of a woman's neck and caused blood to flow from her; this ultimately led to her death.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 "I saw another medical student who took pride in extracting a stone from the bladder of an old woman; after that, the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 "Therefore he punished him by removing his beard with scissors.
Quare mortuus est uir in tertio die.	 "This is why the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 "And I too had spoken to him about removing it; and I saw that there was a large stone in his bladder, which would lead to death.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	 "And I saw another medical student who was treating a man from Ducum terrae nostrae propter medicam; and he injured the eunuch with black hands (possibly due to anger), which were near his heels; after that, the doctor bound up the fracture on top of them using rope, sticks, and strong cloth. But they did not release his breath.
Deinde absoluit eum secundum desyderia sua.	 "Then he was relieved by his desire to get away.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	 "After that he released him on several days and said to him, 'Don't let the rope out,' and he stayed there until his wrists were loose, and then he led him to destruction.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	 "I therefore spoke to him about removing the rope; after that there was tranquility, and he experienced relief from his suffering.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	 "However, already corruption had been confirmed in his member; I couldn't stop it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	 "Therefore the corruption ceased to walk around in his member until it ended.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	 "And I saw another medical student who cut off the cancerous tumor; and he was infected after some days, until great malice came with its lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	 "That is because when the cancer is pure due to melancholy at that time it does not need to be burned with iron entirely unless there's something inside of him that allows him to live.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	 Because of this the sons need to know that a surgical operation is performed with two divisions; for one it associates health and the other has peril associated with many divisions
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	 I have already explained this in another chapter of this book where there is terror and fear involved
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	 Therefore it's necessary for you to remember this so that they don't get confused and may not fall into the trap of speaking or being dishonest
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	 Take care of yourselves with diligence and security; support the weak and the infirm with kindness and firmness so that you may be guided to a better inheritance through grace from God towards salvation and blessed succession: remove terrible anxieties and difficult healings, and let go off your souls when they fear it, so that the desire for conversion may come upon you in trust and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	 It will be more beneficial to your glory and higher in this world as well as ultimately on the quantities of yours.
Galenus enim iam dixit in quibusdam suis admonitionibus.	 Galen has already said it in certain his own statements.
Non medicetis aegritudinem malam: ne nominemini medici mali.	 Do not cause harm to yourself, for you are the best doctors of your bodies.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	 I am about to divide this Treatise into three Chapters
Capitulum primum.	 Chapter one
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	 Chapter one on the treatment of burns and acute medicine
Capitulum secundum.	 Chapter two
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	 Chapter two on the topic of sections and perforations, phlebotomy and venography, ulcers: extraction arrows, similar to those: and all that is in chapter one, ordered by forms of instruments.
Capitulum tertium.	 Chapter three
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	 Chapter three on the topic of restoration and dislocations, and the care of twists: similar to what was in chapter two, ordered by forms of instruments.
Soli Deo Gloria.	 To God be the glory.
Liber Chirurgici Albucasis.	 The book of surgery by Albucasis.
Pars I.	 On the first part
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	 To begin with, concerning the cutting of flesh and bones, the manner in which it is performed, at what time and whether using iron or gold.
Caput I.	 Concerning the opening (of an incision), when to start it, how much depth should be made initially, and where
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	 Before starting an operation concerning the cutting of flesh and bone, it is necessary to mention (the quality) of the instruments used; this should be noted down. And what kind of incision reveals the complexion?
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	 Therefore, I will say that regarding the quality of instruments used in cutting flesh and bone, this is a long, short, knowledgeable, and hidden
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	 Having spoken on the quality of instruments used for cutting flesh and bone, they have made their decisions; to me, however, only a few things from what was said are sufficient.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	 Therefore, I will say that cautery is universally applied to all kinds of flesh where there is no material substance; and for the two types mentioned earlier: one which is hot without any material substance and another which is dry without any material substance.
In complexione autem calida et sicca cum materia dissenserunt.	 But regarding the cold type and the dry type with a material substance, they have spoken.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	 And someone said that cautery is useful (in this situation).
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	 And others said the opposite of this, namely that cautery is not useful for cutting into a cold substance which is both hot and dry; because nature is (hotness) is heat.
