Praefatio.	 Preface
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 After having finished teaching you the book that follows and is complete with its explanation of medical sciences, I have come to an end in it. From reading this book's explanations and notes, I find it necessary for me to teach you this Treatise on surgery, which also includes manual skills required for performing surgeries.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Because the operation has been laid out in our region and time, because its knowledge is exhausted, it has fallen away; and they have not returned to what was necessary for its completion except these few notes from ancient books that were copied with their hands: and they came to destruction and confusion until all of them had been settled. I find it necessary for me to teach you this Treatise on surgery together with the manual skills required, which includes how to make use of Cautery tools and other surgical instruments according to its explanation, notes, abbreviation; that is, along with the forms of Cautery tools and the remaining ones used in the operation: as long as they have been added by these and taken from this necessary thing.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 However, because the good surgeon does not come with his own hand in this time and place, there is: so that the teacher of medicine exercises before he becomes a master at knowing the parts of the body which Galen has described, until he knows about the joints of the bones, and their forms, and their connection, and separation, and has knowledge of the joints between the ribs, and nerves, and ligaments, and numbering them all, and their exit from there, and pulse points, and quiet places, and the locations that have ended up with them.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And because of this, Hippocrates said, "the name is much and the work is little, but especially with regard to skill.
Nos uero iam diximus de illo in introitu huius libri.	 Now we have already spoken about that at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 Since he is not aware of what we have spoken about anatomy, they do not come out unscathed; just as I heard many from those who are formed in this science and practice themselves without any knowledge or experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 Because the man had a stiff tongue from which blood flowed into the woman's neck, until it died by his hand
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 And I saw another man who was superior to taking out the stone of wine, which he had prepared and the stone was great
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 Therefore, it was brought to him, and he took it with a sieve of flesh.
Quare mortuus est uir in tertio die.	 Because the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 And I had already called upon him to remove it; and he saw from the greatness of the stone, and with the infirmity of his strength that death would occur.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	 And I saw another man who had taken a staff near the place of our earth for medicine; and he struck him with blackness, which was by his hand, a fracture on his forehead near his heel; and the physician with his ignorance took away the fracture above the wounds with powder and strings, and walls of strength and did not release from death.
Deinde absoluit eum secundum desyderia sua.	 Therefore, he was released by his own desire.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	 After that, he released him from days and said to him not to abandon the chain; and he stayed there until his feet were bound and of his weight and was taken to destruction.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	 Therefore, I went therefore; and he received in order to release the chain; and tranquility came upon him with his pain.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	 However, corruption had already occurred in the limb; and I could not delay it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	 Therefore, corruption ceased to walk around in the limb until death came.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	 And I saw another man who had pierced through a cancer-forming post; and it was ulcerated after days until great malice with its lord came upon him.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	 Because when a pure cancer is from the melancholy of the mind, then it should not be treated with all iron unless there is something that can tolerate it to be removed entirely from him.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	 For this reason, sons of man must learn that surgery is divided into two operations; one being with health and the other with peril involving multiple situations.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	 And I have brought this book to every place where operation is mentioned, where there is fear and trembling.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	 Therefore, you must be cautious of it (the operation) and dismiss the idea that one should rush to speak about it or describe it.
