Praefatio.	 Praiseworthy introduction
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 Having finished explaining this book to you, my sons, and having come to the end of it after considering its contents along with all its explanations, I have decided that I will now read aloud to you the part about surgery itself—that is, the art of performing operations or surgeries using your hands.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Because the art of performing operations has been covered by hand in our region and time period as well, I will now explain to you its rules regarding surgical instruments—that is, the specific tools used for performing surgeries with their own explanations.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 However, in our current time period and given the length of medical training required for an artifex to become proficient at surgery, I must explain that the surgeon needs to study anatomy first—that is, Galen's explanation of it before studying how each member of the body functions with its own explanations.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And according to Hippocrates, the name is closely related to the work performed and should be more about the performance than the theory behind it.
Nos uero iam diximus de illo in introitu huius libri.	 Now I have already explained this book's introduction to you.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 Since the one who did not know what I said about anatomy cannot correct himself by merely reading it without knowing it or experimenting with it, just like many others before him who were training in this field and were ignorant of its theory but had no experience to speak of.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 It is because I saw a woman with a stiff neck as if she were a horse and it pierced arteries on her neck—causing blood to flow out of the women until death took hold of his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 A physician amputated another, who surpassed him in extracting a stone from urine, and who had also processed it in his old age - the stone was great
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 Therefore he turned to him (the other physician) and extracted him with the help of a bladder.
Quare mortuus est uir in tertio die.	 Because he died on the third day
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 And I too had already turned to him for extraction - and because of the greatness of the stones, and from the infirmity of an attendant, it seemed that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	 Another physician was at the time of a man who possessed his own land and practiced medicine - he fell upon him suddenly with a blow that fractured in his thigh near his ankle: and the attendant physician treated him unaware, tied up the fracture on top of a mule with ropes and stakes, and set about with strong iron bars to strengthen it so as not to release his breath.
Deinde absoluit eum secundum desyderia sua.	 So he let go of him according to his wish.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	 Afterwards he released him in several days and told him not to let go of the strap - and remained so until his leg was healed completely, and its weight, and led towards death.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	 I therefore turned to him - and helped him to undo the strap. And tranquility returned, and he was relieved from his pain.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	 However, corruption had already been confirmed in the leg - I could not prevent it any longer.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	 Therefore, the corruption stopped from spreading to another part of his body and died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	 And I too had a physician who cut through the cancerous abscess - an ulceration occurred after several days until his malice with its master was great.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	 Which is because when the cancer is pure from melancholy humor then it must not be treated with iron everywhere unless there is a member that can tolerate it so that all of it may be cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	 And because of this, O sons of healing, it is necessary for you to know that the treatment must be done with two divisions - namely by associating the health and the division from which there was danger in many ways.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	 I have read through this entire book from beginning to end, where it contains an operation that is described with both fear and trembling
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	 For you need to read it carefully so that you understand it clearly and distinguish its parts; otherwise there will be a risk of misinterpreting the meaning or confusing yourself while reading it aloud.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	 So then, with great care and respect for the text, and assistance to the weak from both inside and outside of them, you will obtain a more effective path towards grace and good health which leads to salvation and a praiseworthy succession; and let go of terrible terrors that are difficult to endure. And may you release the burden of fear on yourself so that it falls off by itself into faith and comfort for yourselves.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	 But then remaining as a glory to you (personified) on this earth more so than before, and finally becoming higher among all things; and after that towards the extent of your own possessions.
Galenus enim iam dixit in quibusdam suis admonitionibus.	 Galen has already spoken about certain matters with advice.
Non medicetis aegritudinem malam: ne nominemini medici mali.	 Do not treat your burden as a disease, but rather call yourself the doctor of your own self.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	 And I have divided this Treatise according to three chapters
Capitulum primum.	 The first chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	 The first chapter is about caution when using fire and sharp medicines; the second one is about acute medicine of cautery with instruments up to the feet, forms as well as tools for cautery; including all that is necessary in operations.
Capitulum secundum.	 The second chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	 The second chapter is about incision and perforation; bleeding and vomiting; ulcers; extraction of arrows and others like them; all that pertains to it; the forms of instruments ordered up to their heads.
Capitulum tertium.	 The third chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	 The third chapter is about restoration and dislocation; the correction of twists and bends, and others like them; all that pertains to it; the forms of instruments ordered up to their feet, and as well as the tools themselves.
Soli Deo Gloria.	 To God be the glory.
Liber Chirurgici Albucasis.	 The surgeon's book by Albucasis.
Pars I.	 Chapter One
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	 On Bleeding and Wound Dressing; about which he says what causes bleeding, when to use iron or gold
Caput I.	 The First Head
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	 And before the beginning of an operation with him, it is necessary to mention the quality of the cuts he made and how to dress wounds, showing this through his complexion.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	 Therefore I will speak about the quality of a dressing for wounds and how to dress them, because this is a complex matter with many nuances and subtleties that only someone who understands it can explain properly.
