Praefatio.	This is an introduction to a medieval Latin textbook on
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I fulfilled your request to the Lord of Life (Christ), this last book in science that pertains to medicine with its conclusion following suit is assigned me so that together we may complete this treatise on surgery with hand and tool.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with hands is established in our land and at this time entirely dedicated to him: perhaps science will die out one day; it has already fallen into oblivion after its initial achievements were discovered by others, which had been done using tools of old times that have now left their traces on these writings. Accordingly, what I wish is for me to fulfill this treatise in such a way as the voice and time express, through abbreviations where appropriate, along with terms like "Cauterii" (the branding tool) and other remaining instruments of surgery: after adding something according to declarations made by him; elongated so that he may complete his intention. It seems fitting for me at this point in my life when I have reached an age where fulfillment is possible, provided the Lord grants strength not only with words but also through means such as iron tools like cautery and other remaining instruments of surgery: until all things are completed according to declarations that remain.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because it does not find a skilled hand at the present time using his own hands in this surgery: since medicine is an art that lasts long and needs its author to exercise beforehand in anatomy as described by Galen, until he learns about muscle forms, their connections with each other, separation from them, knowledge of bones (os), nervous system (nerves), fish scales, number of such components, their outward protrusions and egresses, pulse rhythm in resting states, quietation methods for various things exiting the body to that location: until he understands all these aspects.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of what was said by him (Hippocrates) that has a lot for its name and work is small, especially pertaining to the hand art: until he fulfills this treatise on surgery using manual tools such as cauterization with metal sticks or stones.
Nos uero iam diximus de illo in introitu huius libri.	We have already said about this matter at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For whom is not knowing that which we have said about anatomy enough? For those who at this point are falling into error and destroy human life: I have seen many of these people form opinions on this science without knowledge and act as if they knew, and all without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is this? Because I saw a certain dull-minded physician who treated scrofulous swellings on the woman's neck and cut some arteries in her neck: blood flowed from the woman until she died between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumes that he will extract the stone from a man'deed-size boulder which had been formed at an age: it was indeed large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So I came to him and took out the stone with a clubfoot twisted in backward. In medieval Latin texts like Albucasis's surgical treatise 'Al-Tasrif li-man fa al-at
Quare mortuus est uir in tertio die.	Why was the man dead on the third day?  
