Praefatio.	Introduction.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished your book of surgery and its supplementary material concerning the culmination point in medical science through Albucasis' eyes as well as their declarations about it, all has been done to complete this very tract on operations with hand (i.e., chirurgery).
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with hand (chirurgery) is established in our land and at this time alone: until perhaps it perishes as a science due to lack of study; its examination ceases altogether: so that nothing remains from those times except some incomplete descriptions found among ancient books, which had been corrected by hands—and errors occurred because they did not know the subject well enough. Thus has been explained this very tract on operations with hand (i.e., surgery), and I will complete it in accordance to my time of life: so that we may learn together from these words following formulated thoughts, abbreviations; when coming at last unitedly for cauterizing burns or treating wounds using remaining tools—based on what has been said regarding this subject by Albucasis.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because for the reason that at this time not a good artist of hand (surgery) is found to accompany his art with it in our age: as surgery itself has grown long and requires an author well-versed in physiology, which Galenus narrated until he knew exactly how each member works—including its forms, connections, separations; also understanding of the bones, muscles, and blood vessels (and their number), and exits from them as to outward things.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this reason that Hippocrates said: the name is much but with work little and particularly for hand (surgery). This has been stated by Albucasis himself as recorded on his own authority through what he writes, having observed it personally while treating patients.   
Nos uero iam diximus de illo in introitu huius libri.	We have already discussed this subject at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since anyone who is not knowledgeable about anatomy as we have discussed it in this book will be untrained and may fall into error from which men are destroyed: I myself witnessed many of these people form themselves on the basis of that science, without any such science or experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That which happened because I saw a foolish physician follow the apostome scrophulousum into the neck of a woman and cut some arteries in her chest: blood flowed out from her body until she died between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumes to remove stone from the body of an old person and takes out stones that are large:
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he went after him and took something with a lance-shaped wound away from him. (The original Latin text here is ambiguous as it can also mean that the physician treated someone who had been stabbed.)
Quare mortuus est uir in tertio die.	And so he died on the third day: This phrase appears to conclude a medical case report, likely detailing an unfortunate outcome of a treatment or
