Praefatio.	Introduction (In Medieval Latin texts such as this one
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Having completed this book on the end, which is a concluding work in science according to your description and comes after Al-Zahrawi's comprehensive treatise with its own complementary part that you have referred me to, I am instructed herein as much so that together we can delve into surgery through hands.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand is established in our region and since it has been for a long time known everywhere within us alone (if you understand this Latin phrase as referring to knowledge or practice that was once common but now only exists in certain texts): until perhaps science of his work perishes, there will be an end sought; those who searched after him are left without other remains than the skimpy descriptions found here and among ancient books whose hands have worn away. It has happened due to errors they encountered on their way before reaching definitive intentions in such writings: Visa est mihi (here it is my wish), that I fulfill this work together with you according to its own time of use, expressions, abbreviations, and also through the addition made by declaration, as well as concerning all tools used for surgery. Thus having read these instructions within a book on cauterization equipment and other instruments related to operation: once again it is necessary that I complete this work in accordance with intention (meaning intended use), expression (specific terms or descriptions), abbreviation (shortened forms of words) as stated, and also according to the additional information provided within declarations.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because it is not found a good surgeon who possesses his work with hands in this time of ours: for the art of medicine is long and requires an author to practice beforehand (indicating knowledge) science of Anatomy, as narrated by Galenus, until he understands how members are joined together or separated from one another; also their shapes, forms, joint connections between them in union with others: along with the cognition that each bone has regarding its own skeleton (which includes all types of bones and teeth), arrangement within themselves on which they rest upon each other. Therefore he must understand as well how blood arises from veins flowing into vessels to leave their exit points, in addition also what quietens heartbeat or causes pain at a certain location with the help of hot springs: not forgetting that it is necessary for him firstly know about organs and bodily exits; he must understand all this well beforehand if one wants success.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because Hippocrates said that a name with many words and little work is especially suited to the art of surgery.
Nos uero iam diximus de illo in introitu huius libri.	Now we have told about this subject at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For who is not skilled in anatomy and knows what we have told about it so that he will no longer fall into error because men are destroyed by them: I myself saw many of these people make up their minds without this science or knowledge from which they proceed, having neither the skill nor experimentation.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that I saw a foolish surgeon who infected his patient with scrofulous swellings and made some cuts into the woman' startling blood vessels: as a result, her blood flowed until she died in the hands of this maniac.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who was presumed to extract the stone from an ageing patient's body: which had become quite large itself as it grew bigger and older over time (a phenomenon Albucasis himself commented on). Unfortunately this maniac surgeon did not know how or when he should stop working, nor could I determine if there would be any benefit to such a treatment. As the stone was
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Therefore, I approached him and cut out what he had inside with an oversized dagger. This grievous act likely resulted in irreparable harm to the patient's hand, possibly leading to loss of function or
Quare mortuus est uir in tertio die.	Why then did the man pass away on the third day? The exact cause remains unclear; it could have been due to complications from surgery, an
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And indeed I have already been called for the removal of that stone once more; and seeing how large the size of its stones was as well as the patient's weakness which led to their death (an issue Albucasis himself noted in his writings), it appears my involvement is necessary. The urgency suggests a critical condition, possibly indicating an immediate threat to life that might not have been immediately apparent without direct observation and intervention on beh
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who had accepted the fee from some dukes' land in exchange for medical services; and an ebony-colored eunuch fell at his feet near him, having a fracture just above the heel: which was done unintentionally by himself. The physician then proceeded with this patient due to ignorance of their own knowledge, tightening the injury over the foot with bandages and exacerbating its severity through constant pressure and binding without giving up on life's expiration (a fatal outcome). This disregard for proper treatment likely led to worsened outcomes for both parties involved.
Deinde absoluit eum secundum desyderia sua.	Then he leaves him according to his nature.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he sends him away for a few days and forbids him from straining the sinew; so that until his leg became numb, as well as his foot, and by extension also of himself, he reached perdition.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	Therefore I am called to him and urge for the sinew to be untied; after which he achieved peace and relief from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	Nevertheless, the disorder had already been confirmed within the limb and could not be held back.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore he ceases to walk about with a damaged member until it ends.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who punctured the malignant swelling and an open sore appeared on the next day; which until his wickedness was revealed to his lordship, it flourished beautifully.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	That is so because when there's cancer pure from a melancholic humor in the body at that time, it shouldn't be allowed to perish within him with iron entirely; unless he has an organ that can tolerate everything and allows its entire removal.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of this son, it is necessary for you to know that the operating with hands divides into two kinds: one which includes salvation and its corresponding operation; another wherein there are several dangers involved due to various dispositions (of substances used in surgery).
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already awakened myself everywhere within this book where the operation is written; which includes fear and anxiety (for anesthesia).
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to avoid that which concerns me and my thing; so as not being able to find sophists who use their tongue merely to be spoken of (for conversation), nor those trying to deceive.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Take then with care and protection the measure of my words; aid our weakened bodies easily and securely (with healing), keep improving your way pleasing to God that leads us safely toward health and honorable life after death: relinquish grievous illnesses hard to cure, remove heavy souls burdened by such troubles from me. Let them not fear those things which scare you so as not to cause hesitation in their faith on your sake and for your good (convenience).
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	It indeed remains for mankind's glory and with great excellence herein, and finally to the measurements of the body.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For a long time Galen has said so in some of his warnings.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat the illness with medicine: do not harm your physician's name!
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	This tractate is divided into three chapters.
Capitulum primum.	In the first chapter, we find treatments for wounds and fract
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	The treatise on cautery with fire and medicine acute is organized as follows; it covers methods for treating wounds to the head up to the feet, along with forms of instruments and implements used by surgeiners: everything necessary for this procedure is included. Additionally, specific techniques like Cauterization using hot iron or sulfurous substances are detailed within their respective chapters as well as in conjunction with medicinal cautery when appropriate. It also includes the use of chemical agents such as salts and acids to accomplish similar effects on damaged tissues. The treatise provides comprehensive knowledge for practitioners, ensuring
Capitulum secundum.	The second chapter details various techniques applied during surgical procedures which include incisions using
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	The second chapter discusses surgical techniques such as cutting (section) and piercing (perforation), bloodletting or phlebotomy, lancing of abscesses (ventosis), lance wounds, extraction procedures for arrows and similar objects: along with a systematically arranged treatise on the instruments used in these processes. This section provides practitioners detailed knowledge necessary to perform such tasks effectively while ensuring patient safety and minimizing pain. The chapter also includes guidance on how to deal with complications that may arise during or after an injury, as
Capitulum tertium.	The third chapter focuses on post-operative care which involves incision healing
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	The third chapter addresses the restoration and treatment of lacerations (wounds), dislocations, sprains or twists as might occur during combat or due to other trauma: alongside additional injuries similar in nature are covered systematically with treatments described for head to foot care. This section completes the surgical procedure guide by providing protocols on how wounds should be managed after they have been treated, including steps such as cleaning and bandaging, setting
Soli Deo Gloria.	For God's glory alone. (This phrase is often used to conclude sections in
Liber Chirurgici Albucasis.	For the sake of surgical knowledge and for mankind’s well-being, this medieval Latin
Pars I.	This section deals with wound treatment and healing
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the use of cautery in wound treatment and how it relates to the patient's condition, time sensitivity, and choice between using iron or gold as a medium for this practice.
Caput I.	1. De laceratione traiectum
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	1. On the topic of lacerations and their treatment through cautery. It's essential to recount not only how Albucasis applied this technique but also his views on its risks, specifically regarding potential necrosis or tissue damage (Iuuementum et Nocumentum Cauterii). Additionally, it should be clear under what conditions he considered cautery appropriate and the timing of its application. Furthermore, Albucasis outlined scenarios where a choice had to be made between using
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	1. On the topic of lacerations and their treatment through cautery: Albucasis believed that discussions on the quality of surgical instruments like iron tongs used for cauterization are excessively verbose but subtle in knowledge, reflecting a deeply scientific understanding while remaining secretive or occult to others.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	1. Even though Albucasis had spoken on this subject among many wise individuals, they disagreed with him and I find that the discussions are insufficient for me due to my fear of overextension in conversation about these surgical instruments and techniques used by cauterization.
