Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After finishing the book for you, my son, which is this last on medical science with its appendix and being completed in it, from its explanations and declarations, I thought to complete it for you with this treatise which is part of surgery itself, that is, surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with hand has been abandoned in our region and time altogether: until perhaps the knowledge of it disappears entirely and its track is severed: and nothing remains from it except brief descriptions in ancient books, which have been transmitted by hands: and error and hesitation occurred to them until their intentions are closed and elongated their own views. I thought that I should make it live for you with the arrangement of this treatise therein according to its positions, and declarations, and abbreviations: and come together with forms of surgical instruments such as Cautery, and other operating tools: accompanied by additions from its clarifications and specifications which are necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	However, the reason why such a skilled craftsman is not found in our time with his hands on this matter is: because the art of medicine is long-standing, and its author needs to be trained beforehand in the knowledge that Galen described, until he knows the parts of the body, and their forms, and how they are joined together, and separated, and has knowledge of bones, nerves, muscles, their numbers, their outflows, pulse movements, quiescence, where those things end.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for that reason, Hippocraster said: a name with a name is much, and little with the work; primarily in manual art.
Nos uero iam diximus de illo in introitu huius libri.	We have already discussed this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since who is not knowing what we have discussed about anatomy cannot be emptied out of it so that he does not fall into error, as which many people perish: as I saw many from those formed in this science and boast themselves of it without knowledge, and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What occurred when a foolish doctor followed the abscess of a woman's throat and struck some arteries therein; hence her blood flowed out until she died in his arms.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw a doctor who intended to extract the stone from another man's bladder, which was an old one, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	Thus he approached him, and extracted the remnant of his bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And indeed I had been summoned to extract him: and from the size of the stone, and the sickly state, it seemed he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who had accepted a bribe from someone of our land for his medicine: and it happened to an eunuch black who was with him, that he fractured his leg near the calcaneum; and the doctor acted without knowledge, and compressed the fracture over the wound with bandages, straws tied firmly together, and did not allow for the wound's expansion.
Deinde absoluit eum secundum desyderia sua.	Then he released him according to his desire.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he let him go for a few days and instructed him not to break the bandage: but it stayed like this until his leg swelled up, and his foot came, and went towards ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called to him as well, and I desired to break the bandage: peace was achieved, and he was freed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But indeed, the rot had already been confirmed in the limb; and I could not restrain it anymore.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So put an end to the decay roaming within the limb until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who pierced the cancerous swelling; and it became an open wound after days, until its foulness was greatly praised by his master.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which means that when the cancer is pure from black bile humor, then it should not reach with iron at all unless it's in a limb that can tolerate, to be completely removed therefrom.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for this reason, my son, it is necessary that you know that the surgical procedure is divided into two divisions: namely, a procedure associated with healing, and a procedure which entails danger in numerous dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already awakened everywhere in this book where surgery is presented, which involves fear and dread.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to be aware of this and diminish it: so that fools do not find a way to speak, and defame.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	So take the measure with diligence and protection, and assist the sick ones easily and firmly, and make use of a better way to lead to health and praiseworthy succession: and send away terrible illnesses that are difficult to cure: and lift your spirits from what makes you fearful, so that hesitation enters into your faith and convenience.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	It indeed remains more enduring for your glory, and higher in this world, and finally at your quantities.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his exhortations.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not heal the bad illness: do not call me, the physician of evil.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now however this Treatebut has been divided into three Chapters. ¶
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter One. Of the use of cautery with fire and sharp medicinal instruments, from head to toe, their shapes and tools for cautery, and everything necessary for surgery operations.
Capitulum secundum.	Chapter Two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter Two. Of incision and perforation, phlebotomy and aspiration, wounds: and extracting arrows, and similar things: and the whole chapter on forms of instruments.
Capitulum tertium.	Chapter Three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Chapter Three. Of restoring function and dealing with dislocations, treating torsions of the organs (possibly referring to wrists), and similar matters: chapter organized from head to toe in terms of methods and forms of instruments.
Soli Deo Gloria.	To God alone glory.
Liber Chirurgici Albucasis.	The Surgery Book of Albucasis.
Pars I.	Part One.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Concerning the application and harm of cautery: when it is appropriate and in which cases, as well as when to use iron or gold.
Caput I.	Chapter One.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before we discuss the application of this procedure, it is necessary that I tell you about the nature and harm of the cautery itself: and which cases it should be used for.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	Thus I say that the discourse on the nature of cautery application and its harm is a lengthy, detailed, scholarly and hidden science.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	It was also said by many wise men and they disagre cued to that issue: but I find my own discussions sufficient without their debates, fearing excessive lengthening.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say that cauterization generally strengthens every composition, whether with matter or without it; except for two compositions: hot mixture without matter and dry mixture without matter.
In complexione autem calida et sicca cum materia dissenserunt.	However, the hot and dry mixtures separated with matter.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some say that cauterization is helpful in those cases.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others argue against it, namely that casterization is not suitable for ailments characterized by heat and dryness: since the nature of fire is warmth; and unsuitable to be healed from hot and dry conditions with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who argues against it said that cauterization helps with all hot and dry ailments found in the bodies of humans: for when you compare a human body and its humidity to the nature of fire, you find the human body cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I indeed say through his speech: because from experience he has explained it to me several times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not necessary for him to come upon that unless he has already been proven and trained on the last chapter of Cautery exercise, and knew about the variety of human complexions, and disposition of diseases in themselves, and their causes, and incidents, and the space of time they take.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	However, for other complexions there is no fear among you: and especially in cold and wet disections.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	Now, therefore, all physicians have agreed on those: and they did not disagree with their use of cautery.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know that children understand that from the secret healing by means of Cautery with fire and its goodness is greater than Cautery with burning medicine: because fire is simple, whose action reaches only to the member being cauterized: and it does not harm another adjacent member except in a very slight detr cued.
