Praefatio.	 Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	 After I have completed this for you, my son, this book, which is the final in the science of medicine with its supplement, and having reached the end thereof by its explanations and statements, it seemed good to me to complete it for you as well with this Treatise, that is, on surgery with hands-on practice.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	 Since hand surgery is absent in our region and entirely from our time: until perhaps the science of it may have perished, its trace being severed: nothing remains of it but small descriptions in ancient books, which were carried out by hands: error and hesitation befell them until their intentions were closed off and their power was extended. It seemed good to me to vivify it with the organization of this Treatise in that manner according to its positions, statements, and abbreviations; and to come along with forms of tools for Cautery and other surgical instruments: made by additions from its declarations and necessary adjustments.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	 The reason why no skilled artisan of it with his hands is found in this our time lies in the fact that the art of medicine is long-standing and its author must be versed beforehand in the science of anatomy narrated by Galen, until he knows the members' joints and their forms, and their connection and separation, and has knowledge of bones, nerves, muscles, and their number, and their exiting and coming to rest, and pulsating movements and quietness, and places of egress.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	 And for this reason Hippocrune said that the name with a name is much, and little with the work, especially in hand art.
Nos uero iam diximus de illo in introitu huius libri.	 However, we have already mentioned it at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	 Since he who is not knowing what we have mentioned about anatomy cannot be emptied out but falls into error where people are destroyed: as I have seen many of them formed from this science and boasting themselves without knowledge or experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	 What I have seen is that a foolish doctor treated an abscess of the groin in a woman and accidentally punctured some artercuoses; therefore, the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	 And I have seen another doctor who attempted to remove a stone from the bladder of an elderly man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	 Therefore, he approached him and removed him with a broken urinary bladder.
Quare mortuus est uir in tertio die.	 Why the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	 And I myself had been summoned to remove him: and I saw from the great size of the stone and the patient's condition that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	 And I have seen another doctor who was receiving payment at the home of a certain Duke because of his skill in medicine: and it happened to an eunuch of black complexion who was with him, that he broke his shin near the heel; and the doctor, out of ignorance, pulled on the fracture over the wound covered with dust, and applied strong straps without releasing the expiration from the wound.
Deinde absoluit eum secundum desyderia sua.	 Then he released him according to his own desire.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	 Then he sent him away for several days and instructed him not to dissolve the bandage; and it stayed so until an abscess formed in his leg, and his foot, and it came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	 I was called then to him: and approached to dissolve the bandage; and calmness prevailed, and he was delivered from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	 But already the decay had been confirmed in that limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	 Therefore the spreading of the decay stopped walking around the limb until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	 And I have seen another doctor who perforated a cancerous abscess: and it was ulcerated after days, until his wickedness with the master of himself had been magnified.
